Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.10392749752492303,0.05514867822432215
t1,ID,0,0.016502293636578017,0.0638784208512824
t1,ID,678,0.011132576733051458,0.3594030920197996
t1,ID,728,0.009590657855166596,0.32910956195351604
t1,ID,2284,0.014973639088214898,0.34958390498780245
t1,ID,817,0.04733372837302163,0.3812912811183883
t1,ID,2611,0.05986266247333445,0.3625612309579381
t1,ID,684,0.09477149367558808,0.3470297923474719
t1,ID,674,0.08963956168836042,0.38059143309482546
t1,ID,2281,0.20383074789175326,0.39078230519114626
t1,ID,366,0.05852408277188083,0.36533826339396697
t1,ID,368,-0.009569043635961144,0.36885871045247576
t1,ID,1369,0.017666909830631832,0.3357656825716973
t1,ID,355,-0.08840545818875255,0.3410433841008515
t1,ID,364,0.04946207365875243,0.32477731989738695
t1,ID,1367,-0.001993458296645407,0.34252013486297045
t1,ID,1417,0.011031588008935748,0.28065685979202
t1,ID,322,0.029160878620817825,0.34310150563805325
t1,ID,328,-0.02301865014342097,0.3740479514169367
t1,ID,1338,-0.03780076477783163,0.362061330587188
t1,ID,323,-0.044626546431365766,0.3575102476678197
t1,ID,327,0.06496083228545312,0.36575848377754366
t1,ID,1336,0.04499835583676589,0.350033456416352
t1,ID,1342,-0.018812960834161292,0.3432949552237811
t1,ID,371,-0.02293575982770636,0.3602487057783471
t1,ID,1396,-0.02835260594392744,0.3594591301116467
t1,ID,1480,0.05816530797624667,0.3612089227981772
t1,ID,438,-0.0064831355273231184,0.37904087460023245
t1,ID,431,0.012433113220722327,0.3743763022014085
t1,ID,1467,-0.07433236882201853,0.3344522174335842
t1,ID,2039,0.016679488547335104,0.3088919111149202
t1,ID,350,0.06562038628643849,0.35290557159382585
t1,ID,349,0.01347942704406495,0.36637849221711466
t1,ID,1357,0.012184784640586633,0.3595297226977215
t1,ID,353,0.02344482781741877,0.371116243403347
t1,ID,361,-0.01510661488564086,0.38573366078355176
t1,ID,1361,0.0008646645498232705,0.3697228927327439
t1,ID,1409,-0.026523530134885825,0.3576317234251364
t1,ID,346,-0.025988822907478268,0.35371516614551507
t1,ID,338,0.027975029473458216,0.36847960909519917
t1,ID,1347,-0.004576224447879431,0.35152611244666354
t1,ID,333,0.017099986431978527,0.35647094167728016
t1,ID,329,0.04180799271684663,0.3356807758699246
t1,ID,1339,0.0355816250289899,0.2957185978950624
t1,ID,1390,0.018067041552341366,0.32754847592594444
t1,ID,1462,0.022134403213159015,0.34849573525704003
t1,ID,448,-0.006613108381778702,0.3778235633121917
t1,ID,451,0.0791392468747871,0.38616667608355393
t1,ID,1486,0.05436157620500671,0.38310892871500285
t1,ID,2045,0.08594005726955249,0.34599384898842617
t1,ID,2139,0.16273126434394036,0.36325062697419935
t1,ID,2643,0.4165249519164494,0.40516612002149827
t1,ID,3266,0.1980446044552219,0.3925130407706758
t1,ID,337,-0.11003080792661557,0.3963560222695781
t1,ID,1349,-0.18503360047852416,0.29176891707266267
t1,ID,356,-0.011570962363921317,0.3829564266605008
t1,ID,352,0.0009204182192440388,0.3543767949494886
t1,ID,1358,-0.06309856752918976,0.32994784004196626
t1,ID,1406,-0.14628633104225108,0.355171851333552
t1,ID,445,-0.07550304566537511,0.36484537695078195
t1,ID,1469,-0.2163496751049331,0.3974556020777529
t1,ID,403,-0.014617401891517785,0.34265780911882476
t1,ID,411,0.040023863617232945,0.3586277231329049
t1,ID,1423,0.006293924777414429,0.3347293036268455
t1,ID,387,0.04491229802308095,0.3793617196328625
t1,ID,375,-0.011783510408138253,0.343736831035519
t1,ID,1402,0.008419342995899848,0.3775880386363423
t1,ID,1492,0.032257118106175584,0.32783712248323776
t1,ID,2063,-0.2211485749474604,0.33121773303481056
t1,ID,2220,-0.11886757153516785,0.32645142004017536
t1,ID,362,-0.1815543580069042,0.32671198094784437
t1,ID,1366,-0.1529799231355388,0.3786918955493449
t1,ID,339,-0.07190233578572688,0.3904191640793552
t1,ID,1348,-0.07932152648928067,0.317943951107106
t1,ID,1412,-0.143598950934754,0.39820653262690187
t1,ID,372,0.012889875998954243,0.3444625383578266
t1,ID,369,-0.0546418705366952,0.3767731984521205
t1,ID,1370,-0.050500406316660765,0.3166362665085474
t1,ID,1478,-0.13607266276135402,0.3442279309118981
t1,ID,354,-0.022516320905260997,0.33064031335777594
t1,ID,344,0.0178825128939429,0.3166560043155424
t1,ID,1359,-0.017901771460656656,0.35676828513712155
t1,ID,343,-0.0694526454738202,0.3552275438055775
t1,ID,332,-0.0634753816701464,0.33419056453361456
t1,ID,1344,-0.10287689574954265,0.3694770049858307
t1,ID,1408,-0.11505706987756498,0.33326517931519195
t1,ID,386,-0.059654251649543494,0.34095714892372386
t1,ID,374,0.010472122588088618,0.3698387300878855
t1,ID,1398,-0.12118812197219857,0.3233133499710736
t1,ID,1472,-0.2093680524645402,0.32130102174941366
t1,ID,2032,-0.18755368446039164,0.31213119825838787
t1,ID,722,-0.053379577137472,0.3502745608875686
t1,ID,2349,-0.15124580631062262,0.3231047843450691
t1,ID,2595,-0.24144835213831528,0.3194703817876756
t1,ID,741,0.05542727002104693,0.3803573756436116
t1,ID,753,0.07706612019633023,0.3523147262190373
