Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,7,0.005600278752506655,0.019779441983821696,1.0
t1,12,-0.004983411798516147,0.019381160167990935,1.0
t1,19,-0.0016112508168382124,0.01627942696661264,1.0
t1,20,-0.003343477493350446,0.01998458051359369,1.0
t1,29,-0.0025878591893959742,0.0210832634445486,1.0
t1,44,-0.0018338926306791605,0.017990419300217355,1.0
t1,45,-0.0082867203715995,0.0241762310297182,1.0
t1,53,-0.002450727383125743,0.029509390532661633,1.0
t1,69,-0.012833235877841449,0.027097583861535695,1.0
t1,107,0.0007759115412793939,0.02128005717950241,1.0
t1,116,-0.004234922916503682,0.02349159216432245,1.0
t1,122,0.005319970107703548,0.020558085583167077,1.0
t1,126,-0.0033670661768278446,0.02249931150538454,1.0
t1,128,0.0038899863959332304,0.018878863249925163,1.0
t1,141,-0.010891574940970539,0.023523052691854587,1.0
t1,142,0.009135977017419675,0.021255763255753148,1.0
t1,150,0.004146308299603295,0.023095770391536742,1.0
t1,168,0.013459785533375011,0.02233551341687754,1.0
t1,186,0.0005338585159018222,0.015292273613574521,1.0
t1,208,0.004252595700555301,0.0230953065338529,1.0
t1,212,-0.0018668347415895178,0.019592538158493367,1.0
t1,213,-0.006462131538465217,0.018758041578345916,1.0
t1,214,0.00221281094844163,0.021079907622473578,1.0
t1,218,0.0014712999312243241,0.023985298503210375,1.0
t1,219,-0.0003575461737703924,0.019405045998008113,1.0
t1,227,-0.006578153582224829,0.020288564539043083,1.0
t1,234,0.0005228803127727182,0.022414066193860077,1.0
t1,248,-0.0039697983396439415,0.017864297111742117,1.0
t1,259,-0.007634546260608288,0.020085218852116577,1.0
t1,261,0.005606464168852864,0.019984844369729103,1.0
t1,270,0.010045766892746107,0.020573367720846013,1.0
t1,287,-0.01025517778940075,0.01781261672739926,1.0
t1,295,-8.084794161801337e-5,0.01835881962599253,1.0
t1,320,-0.004309069661549835,0.018401665314614728,1.0
t1,333,0.005552205140684828,0.01983478891233239,1.0
t1,338,-0.006735831092163765,0.019407790365089047,1.0
t1,345,-0.004097556114938844,0.018210888739402846,1.0
t1,369,-0.009087354360256227,0.023385875409281328,1.0
t1,384,-0.006598539455518745,0.017940968514500128,1.0
t1,390,-0.01760695113535791,0.018097489766828106,1.0
t1,392,-0.015263390074760408,0.025446713944967374,1.0
t1,393,0.0025049921252799615,0.02313024513236543,1.0
t1,419,-0.00405507249322079,0.0222616500760432,1.0
t1,443,0.0006728520871675366,0.019554268433266613,1.0
t1,466,0.03198930090480536,0.025885647630277793,1.0
t1,481,-0.004957673262337756,0.021420375408699118,1.0
t1,489,0.007489433967756907,0.021583230146942523,1.0
t1,509,0.0057843844455332805,0.022806589234507763,1.0
t1,513,-0.0020536386312875856,0.020662416030767114,1.0
t1,523,0.00932403013886331,0.018670901402663226,1.0
t1,525,-0.017253552356771375,0.021829622821128197,1.0
t1,529,-0.002974092698480457,0.01969510552952674,1.0
t1,540,-0.004271008931944568,0.02300582997783275,1.0
t1,547,-0.01163098479834306,0.024076842415542064,1.0
t1,560,0.018360618807617548,0.02350441781135747,1.0
t1,561,0.005035079917484267,0.021242003468127914,1.0
t1,565,-0.0017415856262421874,0.02253825758593649,1.0
t1,589,-0.007730849833861345,0.021076833140202787,1.0
t1,590,0.003136408013215646,0.02062573169263397,1.0
t1,601,0.0058705544977548756,0.023143264016938375,1.0
t1,602,-0.004707746627436162,0.02150376580256145,1.0
t1,610,0.001410096966862347,0.0191790486356467,1.0
t1,616,-0.009073200737881962,0.022093214563084926,1.0
t1,621,0.0015229988948192016,0.02180125856960566,1.0
t1,630,-0.004106907784184832,0.016310016973801432,1.0
t1,635,-0.010243454195383783,0.018129920323001283,1.0
t1,652,-0.0012342075313538433,0.02001019396811828,1.0
t1,661,-0.005616568585406207,0.01757064122982362,1.0
t1,685,-0.004158455412138011,0.023235429932302244,1.0
