Covariance,Estimate,SD
t1:ID_t1:ID,0.25953978561205027,0.06271431653533832
t1:ID_t2:ID,0.05455799364039321,0.027248619646968765
t1:ID_t3:ID,0.07186321623550693,0.05842871816629651
t1:ID_t1:dam,-0.010188063466085315,0.0253954240509477
t2:ID_t1:ID,0.05455799364039321,0.02724861964696878
t2:ID_t2:ID,0.2628348135370267,0.07969012917582294
t2:ID_t3:ID,0.03310034185644033,0.04591221676811761
t2:ID_t1:dam,0.05351519594032467,0.03232238503418099
t3:ID_t1:ID,0.07186321623550693,0.058428718166296495
t3:ID_t2:ID,0.03310034185644033,0.0459122167681176
t3:ID_t3:ID,0.31026339253022545,0.06097909877781236
t3:ID_t1:dam,-0.00204564145739646,0.02306898848886168
t1:dam_t1:ID,-0.010188063466085313,0.025395424050947704
t1:dam_t2:ID,0.053515195940324674,0.032322385034180987
t1:dam_t3:ID,-0.0020456414573964596,0.02306898848886168
t1:dam_t1:dam,0.1959256157916766,0.06667321138716271
