Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.047561799000724526,0.06188450341411626
t1,ID,0,-0.056903335595713304,0.056337352851073316
t1,ID,678,-0.06592266884873106,0.4403785893471373
t1,ID,728,-0.1559645015631568,0.4340712049990782
t1,ID,2284,-0.21461150059027895,0.3771420226492926
t1,ID,817,-0.03354928953037315,0.41600137131230247
t1,ID,2611,-0.19506644162460235,0.37171138945328097
t1,ID,684,-0.015032200510776524,0.3898236563663556
t1,ID,674,-0.14028688294974992,0.46120675469547395
t1,ID,2281,-0.029150345070106512,0.42590210236239434
t1,ID,366,-0.11895420283032736,0.45746691660270244
t1,ID,368,-0.1035990735861909,0.39751576645530184
t1,ID,1369,-0.14186322298263,0.42973426415765553
t1,ID,355,-0.1407242349931597,0.4354359190604849
t1,ID,364,-0.12916030845073273,0.4099819279839947
t1,ID,1367,-0.20779381951243786,0.42882562506415284
t1,ID,1417,-0.23429752661690467,0.3846469675678013
t1,ID,322,-0.057563874751700106,0.44037387683332074
t1,ID,328,-0.13757070837876223,0.40276626596143994
t1,ID,1338,-0.14091887404534584,0.38987041512786647
t1,ID,323,-0.14632431388307685,0.4347882823836396
t1,ID,327,0.010378645796119641,0.4543812782712347
t1,ID,1336,-0.018097758165076482,0.4266383200013219
t1,ID,1342,-0.023063235845453844,0.4033369523118826
t1,ID,371,-0.039901283517124464,0.44276585181336325
t1,ID,1396,-0.0574399534552032,0.4722999625415803
t1,ID,1480,-0.13126888598775585,0.329484797489962
t1,ID,438,-0.05436695281521552,0.35066255706151056
t1,ID,431,-0.14886521640017247,0.37238671515197763
t1,ID,1467,-0.22590167125398228,0.34444849186168736
t1,ID,2039,-0.19056181034307312,0.3609380182060219
t1,ID,350,-0.01688845332434627,0.3844822299652339
t1,ID,349,-0.10530833267097643,0.45873714152938505
t1,ID,1357,-0.09534234629356149,0.41348054682758034
t1,ID,353,-0.14394238952609073,0.37986996161916725
t1,ID,361,-0.15550966656800502,0.439107854985493
t1,ID,1361,-0.11714274672300772,0.41823627248993334
t1,ID,1409,-0.14550578885688387,0.3493343225403722
t1,ID,346,-0.18546190270443721,0.40875423938062716
t1,ID,338,-0.049430106932345654,0.35798650836258367
t1,ID,1347,-0.13142106697821201,0.3856459479949122
t1,ID,333,0.013359850213760599,0.42573193021144684
t1,ID,329,-0.06023239567939431,0.4244202742208365
t1,ID,1339,-0.10550131144481047,0.4573101899786759
t1,ID,1390,-0.19599904989479985,0.42127745728088234
t1,ID,1462,-0.2159896269791745,0.3607430602285008
t1,ID,448,-0.038974845742064425,0.3589049155328565
t1,ID,451,0.0021045891596674646,0.399714212663338
t1,ID,1486,0.01101542200061654,0.3452546314574777
t1,ID,2045,-0.06213284619343949,0.38780006166269315
t1,ID,2139,-0.05644887074737863,0.3942964209686941
t1,ID,2643,0.20958425489892646,0.45376280413959363
t1,ID,3266,-0.028724635513835483,0.357721536948057
t1,ID,337,-0.09148173485996132,0.3621220336520924
t1,ID,1349,-0.1981624765612497,0.41848301494765006
t1,ID,356,-0.15616086318169434,0.417511163010783
t1,ID,352,-0.08455548473223994,0.40477406645142083
t1,ID,1358,-0.12418833852140715,0.3724564088047607
t1,ID,1406,-0.13900753921395462,0.3733550866380478
t1,ID,445,-0.07143883446327025,0.4174531483637834
t1,ID,1469,-0.10331526793652918,0.3830992746267127
t1,ID,403,-0.10531324701296725,0.40259388131904045
t1,ID,411,-0.0384111824438065,0.3497475219080205
t1,ID,1423,-0.0653067754869219,0.3876649061862603
t1,ID,387,-0.08726357005309068,0.46646295510444347
t1,ID,375,0.01464527862310515,0.44042105529995274
t1,ID,1402,-0.009169039521124642,0.41750196210688484
t1,ID,1492,-0.07916706079604521,0.46142128037948243
t1,ID,2063,-0.2528671154957648,0.4597475124171695
t1,ID,2220,-0.26181018139037043,0.42815923581453996
t1,ID,362,-0.1844481037755493,0.3983632213387135
t1,ID,1366,-0.1531742234731368,0.42094245999590757
t1,ID,339,-0.10263102349449764,0.4296467265399336
t1,ID,1348,-0.10706335255285698,0.37178221810223167
t1,ID,1412,-0.10451239487207399,0.36403156676279946
t1,ID,372,-0.24807254991727584,0.40392517253625143
t1,ID,369,-0.1149976230593232,0.42463557725739004
t1,ID,1370,-0.16599318882941222,0.37999298477480825
t1,ID,1478,-0.18977584361981933,0.3589934942810998
t1,ID,354,-0.12062964256298685,0.3968106840730784
t1,ID,344,-0.06595844789080631,0.3462273623605561
t1,ID,1359,-0.14227832375829125,0.4097241502567746
t1,ID,343,-0.14316076733989605,0.41152246976653883
t1,ID,332,-0.1724363552132901,0.3686966210229415
t1,ID,1344,-0.17316903616200774,0.40634530186403445
t1,ID,1408,-0.213648840745975,0.3843236867491099
t1,ID,386,-0.14172560000903592,0.37194785375064854
t1,ID,374,-0.10735073721977652,0.40853451100589305
t1,ID,1398,-0.2021084712135827,0.4277034015123651
t1,ID,1472,-0.30133594104788985,0.4396897699658258
t1,ID,2032,-0.170230273576747,0.32861020105822136
t1,ID,722,-0.01234224405742351,0.3513005343578046
t1,ID,2349,-0.14040133156878085,0.3674066224935672
t1,ID,2595,-0.4168307302269102,0.3709816493014422
t1,ID,741,-0.01632332863240978,0.3886576512140894
t1,ID,753,0.0107931578524354,0.4017362054581375
t1,ID,2320,0.05777131863550944,0.3991259217179297
t1,ID,690,0.035422282673946155,0.374531692460347
t1,ID,715,-0.004678761130704579,0.3614915692242772
t1,ID,2259,0.10904940587489033,0.4077817802322231
t1,ID,2905,0.10031080605499665,0.4508236739292332
