Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.019566210427228496,0.04258734359337673
t1,ID,0,0.07607433070651247,0.04534535614808434
t1,ID,678,0.14294724167347736,0.3481345149443832
t1,ID,728,0.005292728045853387,0.3941976938850851
t1,ID,2284,0.08309389830548297,0.321270615122264
t1,ID,817,0.038146321782871265,0.3163074339154063
t1,ID,2611,0.0045429837527525664,0.30613260492984906
t1,ID,684,0.11674080524025257,0.37414036563142505
t1,ID,674,0.07142038542650476,0.35897266881317585
t1,ID,2281,0.13350034935496907,0.3376300732775386
t1,ID,366,0.03518127952533236,0.370254729144275
t1,ID,368,0.02775528165616627,0.3630854182244871
t1,ID,1369,-0.02133523834164483,0.3594514564014043
t1,ID,355,0.029516046965188454,0.36998260544310013
t1,ID,364,0.006367555848773179,0.36620083607264425
t1,ID,1367,-0.0032478550695731294,0.3504724082272741
t1,ID,1417,-0.028518258168168664,0.3430509917388254
t1,ID,322,0.05075253342039859,0.4117447606670463
t1,ID,328,0.007215234240983312,0.3688247721935684
t1,ID,1338,0.09813165034396748,0.3953379804966614
t1,ID,323,0.08259614778957193,0.41320785887926315
t1,ID,327,0.21670321319118097,0.41636768409012703
t1,ID,1336,0.16463318768901916,0.4113301023501357
t1,ID,1342,0.13394396665928412,0.36941408347500326
t1,ID,371,0.08813634846705924,0.3643602414931303
t1,ID,1396,0.1277417863347946,0.37742367639839275
t1,ID,1480,0.11340481072426611,0.3976846512531172
t1,ID,438,0.013985115994809845,0.37730947937536247
t1,ID,431,0.01778250243760768,0.4084789439651031
t1,ID,1467,-0.09669973009968758,0.4161680148089347
t1,ID,2039,0.0397134653592463,0.40347488078817956
t1,ID,350,0.06975631139042775,0.38631581673592497
t1,ID,349,-0.04679448704205004,0.36421129219508824
t1,ID,1357,-0.06348022504334272,0.3967178757689662
t1,ID,353,0.03898810629628299,0.3680605730617539
t1,ID,361,0.0015757340464437435,0.3729475763388748
t1,ID,1361,0.04276677612421429,0.4062862091047889
t1,ID,1409,-0.06592151512721808,0.3524484204349548
t1,ID,346,0.06891162290126977,0.34294532672763817
t1,ID,338,0.13685997191113114,0.37589074736798
t1,ID,1347,0.09179336451433304,0.36409653780987
t1,ID,333,0.13444003466451912,0.32580437436090404
t1,ID,329,0.11184154479293354,0.3964064738467754
t1,ID,1339,0.10819375516470696,0.35537739734894686
t1,ID,1390,0.09927033836144156,0.31756710365598967
t1,ID,1462,-0.06229121853242689,0.3246832609924477
t1,ID,448,0.03238652450739666,0.34307409166084035
t1,ID,451,0.14595400359429744,0.3810928377388064
t1,ID,1486,0.13562601156025447,0.36112946802708024
t1,ID,2045,0.011007537784309167,0.37813628220812234
t1,ID,2139,0.07153526822865813,0.3912502854274065
t1,ID,2643,0.29558908483414575,0.3754076415807102
t1,ID,3266,0.16510290301747294,0.36748356075311084
t1,ID,337,-0.0055552506291340715,0.377303137193683
t1,ID,1349,-0.02970715838872025,0.408639966117242
t1,ID,356,0.05750838867934565,0.34598937652554446
t1,ID,352,0.1496695035092359,0.36804347995985454
t1,ID,1358,0.10493695083823222,0.3877548221657496
t1,ID,1406,-0.01502160688324427,0.3850362864592413
t1,ID,445,0.03583352735787068,0.40089923711540354
t1,ID,1469,0.005106588886201463,0.38263214083455926
t1,ID,403,0.08077166630792303,0.3264673680660848
t1,ID,411,0.1441232529140409,0.3556688128988557
t1,ID,1423,0.10561321957762616,0.3287306860976353
t1,ID,387,-0.03917174914628913,0.38108023021527615
t1,ID,375,0.02755351650589564,0.4029089901920284
t1,ID,1402,-0.01533301669650079,0.3242777861474414
t1,ID,1492,0.0617136146261678,0.3230298791512921
t1,ID,2063,9.967747110464211e-5,0.33062985006000206
t1,ID,2220,-0.009222352474991206,0.3109533034360367
t1,ID,362,-0.10547139516128126,0.373651963803992
t1,ID,1366,-0.037082895838359976,0.3802650990356666
t1,ID,339,0.0548380763673495,0.38057260065382614
t1,ID,1348,0.04434588750453069,0.38793256022407063
t1,ID,1412,-0.05239720369965594,0.36985539758004615
t1,ID,372,-0.01719540903317213,0.3814535304077903
t1,ID,369,0.12236792536238461,0.35877232458347885
t1,ID,1370,0.03063038471323445,0.3780961892830962
t1,ID,1478,-0.02901665419195871,0.3736156662287114
t1,ID,354,0.004908432439478758,0.3633963228919503
t1,ID,344,0.12181169166004145,0.34211272087342065
t1,ID,1359,0.05926522970269629,0.37087579412528443
t1,ID,343,0.04110188102872707,0.3829601147950808
t1,ID,332,0.005850587712452814,0.3777145675835124
t1,ID,1344,-0.052436621891841624,0.3674902036227398
t1,ID,1408,-0.05786850335283896,0.3348414741220971
t1,ID,386,-0.018777456639362092,0.4332176059057941
t1,ID,374,0.06137850262237129,0.4033808609225292
t1,ID,1398,0.041355680682749155,0.36249358900224093
t1,ID,1472,-0.07802117839909736,0.34355308360323955
t1,ID,2032,0.023466687344760918,0.3200567067636785
t1,ID,722,0.22167373040019955,0.3683776553490655
t1,ID,2349,0.1220678843845497,0.36316749671364656
t1,ID,2595,-0.05912506004002422,0.3907422724633778
t1,ID,741,0.10770379405384072,0.34856676027210837
t1,ID,753,0.1595606991573073,0.4338631095850103
t1,ID,2320,0.23700717240568359,0.3545497798652982
t1,ID,690,0.23150789329809124,0.3818108853838006
t1,ID,715,0.11347554045212624,0.3828463574046839
t1,ID,2259,0.22335185805083557,0.378882238033996
t1,ID,2905,0.26121289877058157,0.3353087119274232
t1,ID,3551,0.16448245596758962,0.3663442724818804
t1,ID,4304,0.19477261792887998,0.3554908284766779
t1,ID,2347,0.18155463108278708,0.2649091983628683
t1,ID,378,0.06179491749618321,0.35767349104845025
t1,ID,359,0.12293474040850992,0.3426286264567744
t1,ID,1386,-0.009475780537503767,0.3459021688856656
t1,ID,345,0.01290884286711033,0.423273110179406
t1,ID,340,0.0514509203895987,0.34949047459007293
t1,ID,1351,-0.016137170300805852,0.39323139891142667
t1,ID,1393,-0.03883087200099975,0.4033025279922039
t1,ID,1452,0.004263059697926695,0.3728758238882062
t1,ID,377,0.12422083681872283,0.3691197861379112
t1,ID,1380,0.03730241938722389,0.36258224739650985
t1,ID,382,0.13604510929524968,0.36852669210392947
t1,ID,1378,0.22540442710866787,0.3980930372694276
t1,ID,1439,0.137966788497336,0.37516123891513947
t1,ID,1531,0.1140208434987018,0.3526576300399541
t1,ID,489,0.1395388836275657,0.3981764948110116
t1,ID,2091,0.10686832672764962,0.408156777959501
t1,ID,370,0.06898945394345604,0.3578670257897827
t1,ID,379,0.05833238905905614,0.38673268667345195
t1,ID,1375,0.10043464638685157,0.3167147589469258
t1,ID,1495,-0.0032628562281251466,0.3264470731056173
t1,ID,426,0.021587777293202867,0.35875229330594044
t1,ID,1476,-0.033063110102137715,0.3939886810846765
t1,ID,2051,0.015127936870174438,0.3065227392134626
t1,ID,2258,0.0794617415378511,0.32480345405608974
t1,ID,2655,0.03914903753691472,0.26532157412665014
t1,ID,475,0.037678458729131364,0.3739833029425126
t1,ID,477,0.04532572464061716,0.36316762429204263
t1,ID,2069,0.05206528909884552,0.3440177612137685
t1,ID,381,0.10743497441105226,0.39820915849168603
t1,ID,1376,0.16522455042578357,0.378701007529666
t1,ID,363,0.15579005212283403,0.38681863685306284
t1,ID,1362,0.08364721096104492,0.36251373398962305
t1,ID,1427,0.17305764173014423,0.39725673261252226
t1,ID,419,0.16716166233501178,0.4274718263497993
t1,ID,412,0.198822001661535,0.39183272718012063
t1,ID,1437,0.22724477453850636,0.40264107244469866
t1,ID,1516,0.35349949570821415,0.37588027962392273
t1,ID,2212,0.18743015380706327,0.33009107962066897
t1,ID,2700,0.15586231231042227,0.30904263053037545
t1,ID,3355,-0.06391186281731076,0.2663032673605325
t1,ID,757,0.2617807266846776,0.35705374457696637
t1,ID,452,0.1745027022240845,0.41034922599111534
t1,ID,1487,0.1115199201432594,0.38495300846004227
t1,ID,2031,0.2874230237152528,0.424150452856755
t1,ID,376,0.08030069507841364,0.33722297151535424
t1,ID,1371,0.011188308783798208,0.3093238958845734
t1,ID,357,-0.022232774625837008,0.34531055375613107
t1,ID,1360,-0.09411386538542972,0.36080365452899843
t1,ID,1425,-0.12104650708849622,0.3501330655977854
t1,ID,1509,0.011595122655455979,0.33543203504487296
t1,ID,2147,0.14243948218501287,0.3802071853202499
t1,ID,2350,0.29280731211408595,0.36259607981585856
t1,ID,655,0.12985365131936155,0.360266157276646
t1,ID,334,-0.013313257926289287,0.3499538528244504
t1,ID,1345,-0.08063820151999909,0.3702770307705682
t1,ID,1382,-0.16510905671792706,0.3444905895299395
t1,ID,398,0.023479217197062037,0.3796531558642369
t1,ID,1436,-0.11175826217411672,0.3616805523253946
t1,ID,1514,-0.19223596568226417,0.3497093869248034
t1,ID,2168,0.068309666362914,0.35027638974997727
t1,ID,360,0.03898886403478307,0.38525244121287705
t1,ID,1365,-0.035313677551594175,0.33744140021713337
t1,ID,348,-0.005459502728864741,0.37438324679017154
t1,ID,351,0.046981716124897065,0.3367085315459921
t1,ID,1354,0.03680401866309172,0.353777241763315
t1,ID,1413,-0.0684694072836722,0.32099584714484003
t1,ID,1353,0.01807956626049725,0.3527217548497411
t1,ID,1415,0.005256852810959094,0.35297547733646356
t1,ID,1474,-0.03352638187527964,0.3336385672250646
t1,ID,409,1.1539213327395326e-6,0.3262423489933037
t1,ID,1426,0.16779809478095173,0.35530579272367485
t1,ID,2026,0.1667896876733254,0.32024894579070745
t1,ID,1383,-0.15206761289692036,0.3595549605140226
t1,ID,1441,-0.13464510923612838,0.3653668182826373
t1,ID,416,0.055007628911822204,0.3601181701222116
t1,ID,1447,-0.04527163322189147,0.40640051698435414
t1,ID,1526,-0.13667937582372508,0.3653636667759305
t1,ID,2152,0.09419499971362459,0.28905639550615797
t1,ID,2365,0.03133668876939932,0.3509973102489439
t1,ID,2789,0.1843559316813184,0.3793063506068402
t1,ID,347,0.11926449931606,0.3737055129713059
t1,ID,1346,0.09603432440946028,0.39429996079130425
t1,ID,341,0.0787906538545868,0.3852009836887324
t1,ID,1352,0.11957327096529548,0.35614504517768725
t1,ID,1394,0.12396780816293596,0.3830371393239228
t1,ID,384,0.12010464711454374,0.3462182069157534
t1,ID,1399,0.08211334784412962,0.40726571007941503
t1,ID,1457,0.1534882234471188,0.42188472605656524
t1,ID,427,0.0736684272280665,0.4077832831219251
t1,ID,1466,0.003548019072997519,0.4484600927517325
t1,ID,2015,0.055308703360270224,0.3918355701665582
t1,ID,1379,0.17895534034645294,0.3636789118323335
t1,ID,1435,0.12540158558949235,0.3398704332423865
t1,ID,385,0.12176973630885629,0.37719772005526175
t1,ID,1392,0.10204307519819492,0.3758317309797295
t1,ID,1517,0.1224313602639249,0.3360852699341259
t1,ID,487,0.1360398765714067,0.37609514548947043
t1,ID,2086,0.1634009008627714,0.3965971096003705
t1,ID,2217,0.20682058781303364,0.36009919579910477
t1,ID,751,0.08522099264357381,0.4009002378008116
t1,ID,2618,0.10163134543554145,0.3566636055909149
t1,ID,3456,0.1589844703548379,0.4107103303175923
t1,ID,3935,0.08172697144279951,0.3317572729731043
t1,ID,391,-0.045315211140546784,0.3950261922298047
t1,ID,1405,-0.1080153424746792,0.35527334451207215
t1,ID,1460,-0.15308189006033754,0.3189988024258711
t1,ID,424,0.056815008357560176,0.3804320475237748
t1,ID,421,0.09822880998599012,0.38884970783437767
t1,ID,1451,0.05084424798999043,0.39972098103492665
t1,ID,1543,-0.06675480056413712,0.3728979387359591
t1,ID,1384,-0.02925818366236444,0.3616224350578395
t1,ID,383,0.0607307919540776,0.3770257412777301
t1,ID,1389,0.09939541065152524,0.3804191335743378
t1,ID,1449,0.05579204378745345,0.38174840713777675
t1,ID,456,0.05365210819393451,0.38134348342510427
t1,ID,1532,0.023576876037976154,0.36909317304418215
t1,ID,2126,-0.0074478607670696575,0.37464703900375307
t1,ID,2456,0.1765220455550194,0.30858229953817795
t1,ID,418,0.09242872479836241,0.3717771628763882
t1,ID,1444,0.015436278410774046,0.3619958624025116
t1,ID,394,0.048263858822091124,0.40262254261456576
t1,ID,1428,0.12973716896065166,0.3210013835228279
t1,ID,1519,0.014366838653562815,0.3062457672725314
t1,ID,493,0.061594719263291325,0.3822201672158894
t1,ID,2088,0.05292115348494173,0.3212043749449317
t1,ID,697,0.08393944593264467,0.3535047324135096
t1,ID,2239,0.053972158040178214,0.35657007260763984
t1,ID,2040,0.0817149952378562,0.3562406679099143
t1,ID,2174,0.10283498555866785,0.35282995849040893
t1,ID,2494,0.19164682873988861,0.3796800098042567
t1,ID,2971,0.21523600804574372,0.3319290803737487
t1,ID,1529,-0.049628045684314906,0.3608280047960039
t1,ID,325,0.10505205831599755,0.3434203987505033
t1,ID,326,0.04609951954552805,0.4231125806174993
t1,ID,1337,0.03222160666882966,0.37081857146872343
t1,ID,324,0.08427968188308232,0.3553790196079729
t1,ID,1335,0.10341757291590568,0.3880027043822771
t1,ID,1341,0.07408725824173869,0.3778322569420589
t1,ID,1403,0.1764182561125448,0.35190389816665746
t1,ID,1489,0.176449454438224,0.3614766075690496
t1,ID,2092,0.03280168341176864,0.34312730103374006
t1,ID,1438,0.21313803505645426,0.3723135868136291
t1,ID,1414,0.05064864925026086,0.34714479248029523
t1,ID,1521,0.1834387811434924,0.37170376704884156
t1,ID,497,-0.010542373767031255,0.35604935512322283
t1,ID,2095,0.017675209219699905,0.366582799863407
t1,ID,2208,-0.05053454581249982,0.31650290829067373
t1,ID,2477,-0.02552284727972396,0.32922815313142667
t1,ID,3723,0.16159228779949633,0.3685054787983402
t1,ID,2173,0.05157339441175173,0.3739386767243917
t1,ID,1395,0.06252610517476413,0.3623739642928403
t1,ID,1471,0.011738180925284347,0.29954543015340607
t1,ID,434,0.009958533134513253,0.41765731287636987
t1,ID,1502,-0.013937633801735363,0.3541297603044052
t1,ID,2047,-0.02312098218904058,0.33001835625158116
t1,ID,2170,0.1411198228866357,0.32275191214158605
t1,ID,2355,0.1880957773652866,0.3246503968621243
t1,ID,502,-0.01749353895240986,0.4034842684079875
