Covariance,Estimate,SD
t1:ID_t1:ID,0.29068754116448375,0.06779662868981758
t1:ID_t2:ID,0.1041007167767878,0.046902781908955644
t1:ID_t3:ID,0.02377666083038194,0.04503516451836902
t1:ID_t1:dam,-0.0773691935080244,0.055526996124506636
t2:ID_t1:ID,0.10410071677678778,0.046902781908955665
t2:ID_t2:ID,0.4409647237926352,0.0690390274130422
t2:ID_t3:ID,0.13825358371006063,0.042700919051237914
t2:ID_t1:dam,0.042939712218098294,0.03140729594889556
t3:ID_t1:ID,0.02377666083038194,0.04503516451836902
t3:ID_t2:ID,0.13825358371006063,0.042700919051237955
t3:ID_t3:ID,0.4879482971903534,0.08236944521413408
t3:ID_t1:dam,0.08688312457977006,0.04037029067599142
t1:dam_t1:ID,-0.0773691935080244,0.05552699612450666
t1:dam_t2:ID,0.042939712218098294,0.03140729594889556
t1:dam_t3:ID,0.08688312457977006,0.0403702906759914
t1:dam_t1:dam,0.28793379563344407,0.0663017299516305
