Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.12268062180939142,0.052498462064758875
t1,ID,0,0.043458308922800254,0.045392793968269486
t1,ID,678,-0.08685195279350458,0.31065810131228216
t1,ID,728,-0.010784983610605649,0.30591199861106355
t1,ID,2284,-0.10158116873079237,0.303868161202754
t1,ID,817,-0.021432443582969276,0.37709344141564205
t1,ID,2611,-0.145845304093332,0.24806326863688336
t1,ID,684,0.11549769519429384,0.34265458691820466
t1,ID,674,-0.00884142677592516,0.3394560282342914
t1,ID,2281,0.12486659172005136,0.29193597914411046
t1,ID,366,0.13767653855994846,0.3267140853130993
t1,ID,368,0.04584180022329939,0.29476252421026833
t1,ID,1369,0.09762526624016406,0.2701939408677042
t1,ID,355,-0.01106795730244361,0.29761037061542983
t1,ID,364,0.038531612630241706,0.37374754480011974
t1,ID,1367,0.020741665490647206,0.343806916822393
t1,ID,1417,0.008178854602895361,0.29281492639671797
t1,ID,322,-0.00019510124600521277,0.34645114071235755
t1,ID,328,0.0939007642751877,0.32612771259982004
t1,ID,1338,0.08091782129874084,0.36674904097384864
t1,ID,323,0.07726079717533112,0.32150082229296784
t1,ID,327,0.027263527736704107,0.31663631932896896
t1,ID,1336,0.08593568925695749,0.353832885953597
t1,ID,1342,0.13308061515874983,0.32822792888736185
t1,ID,371,-0.01343390779631306,0.32226560715379826
t1,ID,1396,0.08271890537691484,0.31104755853031985
t1,ID,1480,0.0711817728371796,0.29265187265276577
t1,ID,438,0.1033293719179921,0.3123210986828928
t1,ID,431,-0.094082011242108,0.3040874129420846
t1,ID,1467,-0.10357417287402396,0.309436688112294
t1,ID,2039,0.019570352662201546,0.265103391178269
t1,ID,350,0.05771583061715435,0.3473901538166165
t1,ID,349,0.0005468255754508774,0.32183160374774156
t1,ID,1357,0.003634137942113407,0.33873792371943134
t1,ID,353,0.06373075778598915,0.3287354129794249
t1,ID,361,0.011791817516098266,0.359201996510996
t1,ID,1361,-0.0008387566429477638,0.35730846459158666
t1,ID,1409,-0.0387164020393352,0.3258210211341303
t1,ID,346,-0.0036134451125347795,0.34776177906128086
t1,ID,338,0.038307958321233425,0.34608098216566113
t1,ID,1347,-0.013052380993772827,0.32926931124979675
t1,ID,333,0.004823044775726918,0.33017949740163255
t1,ID,329,-0.032210030079525706,0.3158388861036777
t1,ID,1339,-0.05155874819590863,0.3043109395629468
t1,ID,1390,-0.07545122908258695,0.30003841515733853
t1,ID,1462,-0.16724110812805848,0.2645265669744643
t1,ID,448,-0.05895329451923747,0.2924379273369898
t1,ID,451,0.03932939020560889,0.30182707602982706
t1,ID,1486,-0.025224287025909585,0.3027785316788501
t1,ID,2045,-0.09037619851142185,0.223408165416153
t1,ID,2139,0.043726534633077394,0.28386844682682494
t1,ID,2643,0.2942060008132461,0.29448514942842513
t1,ID,3266,0.08090962331668614,0.25663661518573655
t1,ID,337,-0.03376044601789022,0.3553532780389889
t1,ID,1349,-0.046833096479423714,0.3219118114598133
t1,ID,356,0.024063181434137264,0.27764791401758804
t1,ID,352,0.08366104588960294,0.3697153488046445
t1,ID,1358,0.048988505594550334,0.3356094324955512
t1,ID,1406,-0.017618323824072277,0.3253375799560249
t1,ID,445,0.02668855355517201,0.34682843252824513
t1,ID,1469,-0.011655390821817008,0.33932942984136516
t1,ID,403,0.09292551387682743,0.3155737442071422
t1,ID,411,0.03736012350286752,0.31406103367271254
t1,ID,1423,0.0885920739388216,0.3199244706824389
t1,ID,387,-0.01935266950472576,0.3101612562678056
t1,ID,375,0.052578914583370384,0.33581556587353173
t1,ID,1402,0.04493736820392927,0.34144027714625413
t1,ID,1492,0.09252865613815961,0.3619606834356471
t1,ID,2063,0.012091259752413468,0.32405447432387
t1,ID,2220,-0.05167386341545705,0.3383340388237457
t1,ID,362,-0.07281390507360994,0.33485226165480525
t1,ID,1366,-0.05924682423892118,0.32595817851191444
t1,ID,339,0.018708103363415815,0.31521089283586284
t1,ID,1348,0.0037670958025191404,0.33627757631064037
t1,ID,1412,-0.09629581984862393,0.2852509028198605
t1,ID,372,-0.043857695684471815,0.3247508001058098
t1,ID,369,-0.004924004147866266,0.3293658022698047
t1,ID,1370,-0.02958850348282513,0.3268853833327033
t1,ID,1478,-0.12201297525450938,0.2636869675433209
t1,ID,354,0.027845722472199887,0.34168996112627975
t1,ID,344,0.029225904667318395,0.29677813171676787
t1,ID,1359,0.043798891256352876,0.3357534761775551
t1,ID,343,-0.018504904841013074,0.32707904218504047
t1,ID,332,-0.024004088247351042,0.3037085025776948
t1,ID,1344,-0.08814881948943984,0.3088387856702533
t1,ID,1408,-0.06764979179717587,0.27279595371948395
t1,ID,386,-0.027775872245157193,0.3428685484726991
t1,ID,374,0.028541803274207772,0.33375067344388887
t1,ID,1398,-0.06187612326822971,0.3253239224133435
t1,ID,1472,-0.13324201394738616,0.302657014151442
t1,ID,2032,-0.07167996595317944,0.2816738606087962
t1,ID,722,0.09929738626962228,0.29332900857024385
t1,ID,2349,0.005308557582301405,0.3341460410227502
t1,ID,2595,-0.12183321716957275,0.2622322839565179
t1,ID,741,0.16196770355014364,0.33363785621298914
t1,ID,753,0.20557651430175217,0.2918333844518795
t1,ID,2320,0.2764522744853868,0.3031872615901991
t1,ID,690,0.1736287227582048,0.3122420325493827
t1,ID,715,0.06285093596042994,0.37825666503720984
t1,ID,2259,0.18728952217908984,0.30876103781533937
t1,ID,2905,0.23087356137366105,0.2728790767020309
t1,ID,3551,0.10722767308497133,0.3255235141570473
