Covariance,Estimate,SD
t1:ID_t1:ID,0.22152264454443785,0.06881882563843383
t1:ID_t2:ID,0.0495874031528834,0.025719904148085903
t1:ID_t3:ID,-0.030124741942218484,0.032716505650223215
t1:ID_t1:dam,0.02429986580651043,0.02428210359882859
t2:ID_t1:ID,0.04958740315288341,0.025719904148085886
t2:ID_t2:ID,0.4460942564772013,0.08170605378542359
t2:ID_t3:ID,0.1136042773827971,0.055233960368108403
t2:ID_t1:dam,0.13330077138656368,0.039555305498130126
t3:ID_t1:ID,-0.030124741942218484,0.0327165056502232
t3:ID_t2:ID,0.1136042773827971,0.05523396036810837
t3:ID_t3:ID,0.39577500917899355,0.06430359364195247
t3:ID_t1:dam,0.07969724050686121,0.045367932866503057
t1:dam_t1:ID,0.024299865806510428,0.02428210359882859
t1:dam_t2:ID,0.13330077138656368,0.039555305498130126
t1:dam_t3:ID,0.07969724050686122,0.04536793286650302
t1:dam_t1:dam,0.18264056497048897,0.050327511631487645
