Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.35744845410723697,0.1405594500909197
t1,ID,0,0.1542058966609992,0.05980066819761626
t1,ID,678,0.15638942927723748,0.36373785830687144
t1,ID,728,0.11638489406817593,0.38308292237547914
t1,ID,2284,0.09104559761620715,0.3695138373355374
t1,ID,817,0.1235196938214862,0.3867185881926579
t1,ID,2611,-0.020366658214890223,0.28569579173018594
t1,ID,684,0.20202635948369524,0.33407036986417843
t1,ID,674,0.1186576101331293,0.37257055568403635
t1,ID,2281,0.21852848687172252,0.3493613521329086
t1,ID,366,0.17148585643109465,0.40946156189552574
t1,ID,368,0.13370817863680673,0.3625552536453057
t1,ID,1369,0.14442412500997315,0.36352951136754535
t1,ID,355,0.1637819672305487,0.35145010000481125
t1,ID,364,0.14594610493732893,0.38981688462073255
t1,ID,1367,0.15846415740038441,0.38112749058560413
t1,ID,1417,0.1394823176093054,0.3670984676432528
t1,ID,322,0.24135281119504595,0.34764947071029184
t1,ID,328,0.194867652942606,0.3723556015586391
t1,ID,1338,0.21594120033152742,0.3430085890378673
t1,ID,323,0.1646166987220657,0.3777229258955649
t1,ID,327,0.15860532646596118,0.35093554330940463
t1,ID,1336,0.17539701292298576,0.3124049113440762
t1,ID,1342,0.22388562269281947,0.3354279134835412
t1,ID,371,0.09336929263056891,0.345719325360677
t1,ID,1396,0.11970414147416489,0.35314728749887686
t1,ID,1480,0.11365142280505894,0.3073345265944938
t1,ID,438,0.2112924966209054,0.3586393854918473
t1,ID,431,0.02149900369642261,0.36094877446047846
t1,ID,1467,0.02766637138645983,0.3749248400371737
t1,ID,2039,0.15221559955625397,0.3346362252913601
t1,ID,350,0.16402470112114542,0.37522988310681843
t1,ID,349,0.14078131572307165,0.3509967151296812
t1,ID,1357,0.04431526585864865,0.37251437924956166
t1,ID,353,0.16722094458871278,0.35730553121050207
t1,ID,361,0.02524008558384966,0.3432155864181406
t1,ID,1361,0.0519771386575678,0.37247406143921763
t1,ID,1409,-0.047150458158991014,0.35342207114544044
t1,ID,346,0.0666207288831675,0.3789344841272168
t1,ID,338,0.14002290986335938,0.37182209488807816
t1,ID,1347,0.11601002236448779,0.35267342125793794
t1,ID,333,0.11385699385222488,0.3701175604257619
t1,ID,329,0.1203974196345461,0.3598660132288199
t1,ID,1339,0.12267150156339769,0.3601301818556421
t1,ID,1390,0.04618572739096347,0.36018992844094483
t1,ID,1462,-0.09865396654181485,0.31988732792919805
t1,ID,448,0.08875609397236792,0.36330286161304354
t1,ID,451,0.18313052968748647,0.41143652141614684
t1,ID,1486,0.1402940813817083,0.3612437124666223
t1,ID,2045,0.016141533667104132,0.3773484594618833
t1,ID,2139,0.08987380988801749,0.31385499149333446
t1,ID,2643,0.36216603207463977,0.3196633948367675
t1,ID,3266,0.1438677894143888,0.32653331697964055
t1,ID,337,0.09152544877699713,0.40109250062551915
t1,ID,1349,-0.0061255111192027424,0.3978663959333088
t1,ID,356,0.07880045125356151,0.3373847528742254
t1,ID,352,0.16597434562543398,0.3873259963922194
t1,ID,1358,0.07138637158164472,0.3188577804510867
t1,ID,1406,-0.012898327845453188,0.3344194286444092
t1,ID,445,0.09200580478636132,0.3998466191224372
t1,ID,1469,0.005519296302545745,0.4071696165266767
t1,ID,403,0.11452157774075362,0.3689533337911609
t1,ID,411,0.12187131676200796,0.37687479774587584
t1,ID,1423,0.10002275156954227,0.3855368120764553
t1,ID,387,0.11060228949329322,0.32435888004303637
t1,ID,375,0.1878200378174232,0.3699540482710435
t1,ID,1402,0.16681570746416158,0.3475958237118569
t1,ID,1492,0.09266949833710823,0.3585008628147644
t1,ID,2063,-0.05523276540018784,0.34372663541202175
t1,ID,2220,-0.05326541218903662,0.33821774310593783
t1,ID,362,-0.01825930760060706,0.36266475532690434
t1,ID,1366,0.08010159662801832,0.34193842224998006
t1,ID,339,0.10780332759269128,0.4047456873190551
t1,ID,1348,0.053250652054570684,0.39837423900675434
t1,ID,1412,0.07400042804724236,0.26281244029082923
t1,ID,372,0.12250515863838687,0.34227960392738144
t1,ID,369,0.12329571432651566,0.37559079712582855
t1,ID,1370,0.07678683215942815,0.4042278502694948
t1,ID,1478,0.013963570378939466,0.34159072013759856
t1,ID,354,0.1004319391196471,0.432402863158806
t1,ID,344,0.13266590195354533,0.3418084206164771
t1,ID,1359,0.04763035864414879,0.3722201789809214
t1,ID,343,0.08735146981610423,0.382119180230937
t1,ID,332,0.0028244103186277686,0.39536414850464713
t1,ID,1344,0.01621721192909016,0.3942200923138703
t1,ID,1408,-0.0224432426173693,0.3909431183269804
t1,ID,386,0.15275006145698958,0.3961163721376226
t1,ID,374,0.05235763393080857,0.39520984722970104
t1,ID,1398,0.05921823412689283,0.3859137094945604
t1,ID,1472,-0.0781141886541006,0.34902028981187605
t1,ID,2032,0.08613276113225518,0.3503061331137443
t1,ID,722,0.28786786393431035,0.3828104576890321
t1,ID,2349,0.15298841272227587,0.352318449765616
t1,ID,2595,-0.08430370149631335,0.37182116592431746
t1,ID,741,0.30968947338033315,0.3340876811307492
t1,ID,753,0.3237337197163496,0.36106838757507315
t1,ID,2320,0.42186848867859744,0.33769311116473416
t1,ID,690,0.28853412071922957,0.3562657966975139
t1,ID,715,0.22252286310100505,0.37563201788562534
t1,ID,2259,0.3100979937794697,0.3780225993005463
t1,ID,2905,0.38451198362906264,0.32865428171964406
t1,ID,3551,0.21957816497246235,0.3927987825997072
t1,ID,4304,0.25956827273461563,0.39610362769960045
t1,ID,2347,0.3010540622282287,0.3422476795601978
t1,ID,378,0.14154027976805988,0.3390052657442088
t1,ID,359,0.12085470037373797,0.4100655457482417
t1,ID,1386,0.06042171124921106,0.3308877973540278
t1,ID,345,0.0995958823585345,0.3627634312006583
t1,ID,340,0.11145932878578087,0.38113638879128264
t1,ID,1351,0.08067632730627518,0.351951064282698
t1,ID,1393,0.0793126507830022,0.33595945572140073
t1,ID,1452,0.049321975107080876,0.3362675383527478
t1,ID,377,0.02908604660083555,0.32610871628731053
t1,ID,1380,-0.019302141894011804,0.29636589659359747
t1,ID,382,0.29805382544733694,0.3576543057208768
t1,ID,1378,0.30092277372711645,0.35490713795181283
t1,ID,1439,0.21523761790872573,0.37083528083688966
t1,ID,1531,0.2001576074651962,0.33745660270253774
t1,ID,489,0.15259044453935672,0.4271380179261013
t1,ID,2091,0.1846529374224989,0.32160382867236526
t1,ID,370,0.18132798309522763,0.37307475966362424
t1,ID,379,0.19255544230309185,0.4000494708503126
t1,ID,1375,0.2578505368218813,0.37655667833731893
t1,ID,1495,0.2228253299004202,0.38784508359883346
t1,ID,426,0.18327080786503006,0.3620922867047351
t1,ID,1476,0.08550277050484838,0.2957213772336398
t1,ID,2051,0.14340172776828572,0.3305631418097056
t1,ID,2258,0.23825422419814904,0.32798947339014756
t1,ID,2655,0.2723734448020282,0.38968953786707905
t1,ID,475,0.13555631352021802,0.35944305465644144
t1,ID,477,0.16580883163757465,0.3801426459669119
t1,ID,2069,0.14364665925564732,0.3898068124562893
t1,ID,381,0.13390825325311853,0.4104740119497018
t1,ID,1376,0.21057606330217407,0.3580638198767363
t1,ID,363,0.27098617276739023,0.38735550468379676
t1,ID,1362,0.25368448861172843,0.35099225129945544
t1,ID,1427,0.27361019252429675,0.31690731117222665
t1,ID,419,0.23746081104327177,0.28474224918549074
t1,ID,412,0.23981464029678437,0.3507600700459551
t1,ID,1437,0.32519676345158943,0.3437075259103153
t1,ID,1516,0.4999055530144741,0.3616589317410853
t1,ID,2212,0.33393350666829175,0.3774437777061024
t1,ID,2700,0.35446411705217845,0.33877399786684304
t1,ID,3355,0.2817503213934291,0.37780483911286983
t1,ID,757,0.2764722866023607,0.326178358433438
t1,ID,452,0.19654449884944866,0.36015571673831576
t1,ID,1487,0.15166211938355584,0.36440676166772984
t1,ID,2031,0.21206024178094446,0.29490854046566545
t1,ID,376,0.060445901444536536,0.3635188156809046
t1,ID,1371,0.08887123466579398,0.3481530887003801
t1,ID,357,0.14042809602685646,0.35260158362141836
t1,ID,1360,0.11396016355015239,0.3748459956496253
t1,ID,1425,0.008398174789688856,0.36785101751946414
t1,ID,1509,0.05589379717007297,0.3341911643453028
t1,ID,2147,0.12091674570452506,0.3046071873213257
t1,ID,2350,0.2112835846567898,0.3547458281829892
t1,ID,655,0.3506797435195996,0.3685847693714182
t1,ID,334,0.11667968359522127,0.36974099123929677
t1,ID,1345,0.07061308877852669,0.33830739604423377
t1,ID,1382,0.0034395381411279308,0.3376512196029147
t1,ID,398,0.02932841244957584,0.4069428255380976
t1,ID,1436,-0.019261847574362657,0.387711071191478
t1,ID,1514,-0.1106152696183486,0.325428649368714
t1,ID,2168,0.2624355720334836,0.3515044107996281
t1,ID,360,0.08333484864201174,0.3690421494004599
t1,ID,1365,0.09714367265270879,0.3019625632282339
t1,ID,348,0.09750918049129519,0.34976661002258014
t1,ID,351,0.08794981363568584,0.37377466543869126
t1,ID,1354,0.09292945928646543,0.34254635122554045
t1,ID,1413,0.03000694620604076,0.3148579153515438
t1,ID,1353,0.1403518088181222,0.35176145302855755
t1,ID,1415,0.17078318980732507,0.37811688261788834
t1,ID,1474,0.16318772791386593,0.35394005927276456
t1,ID,409,0.22828280848623353,0.3800721125446028
t1,ID,1426,0.31378740860757853,0.3535295431681578
t1,ID,2026,0.3504432912164498,0.33975706621233215
t1,ID,1383,-0.001795941075748315,0.3525341089483583
t1,ID,1441,-0.011591766059967947,0.36100226738501207
t1,ID,416,0.10678239231033629,0.4605648823246014
t1,ID,1447,0.045305787373227956,0.3919033549436706
t1,ID,1526,-0.01945965855444273,0.3837561959775347
t1,ID,2152,0.14327633190815947,0.3605567659897746
t1,ID,2365,0.13404246615265192,0.3616650704525236
t1,ID,2789,0.18714755191123686,0.3170003177328956
t1,ID,347,0.15027204707773073,0.41375718281868135
t1,ID,1346,0.12373503340251696,0.3919685026083065
t1,ID,341,0.22879695270431002,0.3892034487314453
t1,ID,1352,0.25542373796069756,0.36600589800226596
t1,ID,1394,0.29712992328229354,0.35448465825170716
t1,ID,384,0.16798817575303204,0.41071874752412746
t1,ID,1399,0.19368391439873672,0.4144793801393845
t1,ID,1457,0.33043235350050004,0.3534159222676079
t1,ID,427,0.18425581570925842,0.4252152427207422
t1,ID,1466,0.1405569771964285,0.3689205587419751
t1,ID,2015,0.30789290683771675,0.36375327991858497
t1,ID,1379,0.30816680843992345,0.3699156122624312
t1,ID,1435,0.2771404452076834,0.29842070778103713
t1,ID,385,0.14560096284635118,0.3577608635561361
t1,ID,1392,0.10977967515430806,0.36727812551413463
t1,ID,1517,0.212998152444647,0.29179790922941196
t1,ID,487,0.2521039535323385,0.4259388792616174
t1,ID,2086,0.30264844683342756,0.4016987912444879
t1,ID,2217,0.4401094035778959,0.3548397682897958
t1,ID,751,0.13118475895453977,0.40375479011386417
t1,ID,2618,0.25270535493014995,0.3716240974680061
t1,ID,3456,0.24738952123801194,0.36096661439322486
t1,ID,3935,0.28658230244638644,0.376825175647088
t1,ID,391,0.021970125873107517,0.3384326856956995
t1,ID,1405,-0.07902684661001476,0.37154540427780774
t1,ID,1460,-0.13922247755128103,0.35363069964064325
t1,ID,424,0.14300605038759054,0.3374526190560787
t1,ID,421,0.15910716110781709,0.35986488845016007
t1,ID,1451,0.16548765613271788,0.3427393258837871
t1,ID,1543,0.01965841520567528,0.32294349126782024
t1,ID,1384,0.09223580388379825,0.35304020375660744
t1,ID,383,0.15164703567157847,0.40165830044857836
t1,ID,1389,0.25113020365843564,0.3454959141794138
t1,ID,1449,0.2028434015013713,0.3562754677222961
t1,ID,456,0.10246613833757945,0.32826753933238345
t1,ID,1532,0.16796187538418733,0.3347613035217464
t1,ID,2126,0.08164977614676452,0.3605496575285396
t1,ID,2456,0.3408009801822694,0.29688355704918357
t1,ID,418,0.14164581911033894,0.4091012786855304
t1,ID,1444,0.02856118859176933,0.36176005570500486
t1,ID,394,0.16151641203184713,0.3556993438929685
t1,ID,1428,0.18403075877776925,0.32740702961176077
t1,ID,1519,0.08852756631383121,0.32904894540052126
t1,ID,493,0.27969154393973655,0.2989328286944427
t1,ID,2088,0.2566519506594794,0.31597768913139057
t1,ID,697,0.10120857301811438,0.3467802770685115
t1,ID,2239,0.1983409820513123,0.29943830200305616
t1,ID,2040,0.18988214793198094,0.3242740476095648
t1,ID,2174,0.21783919281600228,0.3346731434266099
t1,ID,2494,0.2854315658287136,0.32697500869591895
t1,ID,2971,0.31427728732004884,0.2829993927757996
t1,ID,1529,0.20188252654572691,0.36517676778331626
t1,ID,325,0.08410084971146523,0.38120578070662364
t1,ID,326,0.12612481482172294,0.402143373531396
t1,ID,1337,0.08833938936152397,0.3969650628460312
t1,ID,324,0.15840330094975036,0.41493402595757933
t1,ID,1335,0.19160508246450234,0.389657902423385
t1,ID,1341,0.09958449219451439,0.4000548167899157
t1,ID,1403,0.2076332213127884,0.36606743039458095
t1,ID,1489,0.34668311316586964,0.37040186699481437
t1,ID,2092,0.37319078925275184,0.3584642202058813
t1,ID,1438,0.19468755268280138,0.3401539327034552
t1,ID,1414,0.14681453898491761,0.3365047984567407
t1,ID,1521,0.2365528740031248,0.3259617128102966
t1,ID,497,0.0633025543052622,0.41268274493342527
t1,ID,2095,0.0713206417598091,0.3543807956952465
t1,ID,2208,0.11737155044754077,0.368740154048251
t1,ID,2477,0.10792643697111964,0.3303051045745207
t1,ID,3723,0.22649557092960737,0.3219635422086893
t1,ID,2173,0.3115644321865137,0.33572169820522596
t1,ID,1395,0.08349858624632954,0.3583516934499694
t1,ID,1471,-0.013800793642038265,0.38420981674487054
t1,ID,434,0.11951858727353147,0.4291236767667345
t1,ID,1502,0.09652070166387713,0.3782549625627132
t1,ID,2047,-0.014280721886931766,0.4144394626441466
t1,ID,2170,-0.014420530117966287,0.3486712148740883
t1,ID,2355,0.11541353401369164,0.3242579637190989
t1,ID,502,0.053585923963518085,0.3496285545282634
t1,ID,2105,0.07297649141140301,0.30870058335349504
t1,ID,2435,-0.0785794016360039,0.2961914243501399
t1,ID,2861,-0.013638936482058292,0.25010979516777376
t1,ID,2493,0.07533715799496063,0.3158853326848177
t1,ID,2042,-0.021616129361926393,0.36623335218942765
t1,ID,2162,0.1705999010840914,0.41178496601890424
t1,ID,413,0.21327858262185834,0.41823734815146235
t1,ID,1433,0.15474087259799862,0.44964391596994874
t1,ID,1507,0.24433625474213908,0.3621912581063493
t1,ID,499,0.15328083417990765,0.37288602481401406
t1,ID,2083,0.26861044881703644,0.3954887878736143
t1,ID,2370,0.26151472716030616,0.3648906847530702
t1,ID,3042,0.11867369764407058,0.30674684615071895
t1,ID,3683,-0.10963904974506679,0.31967082645116224
t1,ID,4284,0.11877706264157285,0.29144528492796223
t1,ID,4954,0.23510343548817655,0.27204708274475253
t1,ID,706,0.2109562931906377,0.4030804303997613
t1,ID,2085,0.3343217956139294,0.3527626347533463
t1,ID,2277,0.2851878782502123,0.3285493959063951
t1,ID,2801,0.14714930838420626,0.29104250547035754
t1,ID,395,0.19046145398675482,0.3862646573912036
t1,ID,1410,0.173281532072833,0.38943455063022026
t1,ID,1511,0.3148761773532875,0.33344581217572056
t1,ID,471,0.2393931638101805,0.3893836009661742
t1,ID,2121,0.3110161021304859,0.3753631805231435
t1,ID,2364,0.3162297123061134,0.3602433176583833
t1,ID,800,0.22298292122428812,0.3455981327936121
t1,ID,2860,0.3809299586945602,0.3278228377007666
t1,ID,3472,0.45182965816784587,0.2929911783506943
t1,ID,686,0.249120692901942,0.33412579533552206
t1,ID,1364,0.08553731842524173,0.3452170050046945
t1,ID,1429,0.17185585350463015,0.3391892722401818
t1,ID,373,0.11481013639986944,0.39702260373456905
t1,ID,1397,0.06443889808128717,0.34777201494897436
t1,ID,1523,0.026972969469967342,0.31644470571335365
t1,ID,2100,0.034747069405675866,0.35903816139511857
t1,ID,2230,0.1401753368292875,0.355304596962379
t1,ID,2033,-0.071316594256017,0.3242798040516299
t1,ID,1385,-0.0113841304303697,0.36370649983114534
t1,ID,1443,-0.12630510832478417,0.31597787107963693
t1,ID,396,0.06417948508701646,0.38573494755796595
