Covariance,Estimate,SD
t1:ID_t1:ID,0.2820304537806234,0.04932662094346498
t1:ID_t2:ID,0.14252826155107143,0.04134315553979909
t1:ID_t3:ID,-0.008114472368941654,0.03974485659844579
t1:ID_t1:dam,-0.04751373910313847,0.03819952174179089
t2:ID_t1:ID,0.14252826155107146,0.04134315553979892
t2:ID_t2:ID,0.49682369499592344,0.0463245787647012
t2:ID_t3:ID,0.11962855970761753,0.04253819560887108
t2:ID_t1:dam,0.022828587550774986,0.037529138633995665
t3:ID_t1:ID,-0.008114472368941658,0.039744856598445774
t3:ID_t2:ID,0.11962855970761754,0.04253819560887108
t3:ID_t3:ID,0.3692563226860063,0.04992358782547399
t3:ID_t1:dam,0.06929155987143731,0.0331758949606107
t1:dam_t1:ID,-0.047513739103138455,0.0381995217417909
t1:dam_t2:ID,0.02282858755077499,0.03752913863399566
t1:dam_t3:ID,0.06929155987143731,0.03317589496061069
t1:dam_t1:dam,0.23394871094853803,0.08113774242574759
