Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.061874489415541474,0.0551937810974184
t1,ID,0,-0.03227818356394985,0.06083150749581003
t1,ID,678,-0.044879198766385735,0.3647316303223976
t1,ID,728,-0.09762032619812107,0.36954668335106033
t1,ID,2284,-0.1112401512652096,0.35315139968959763
t1,ID,817,-0.10278249419013222,0.36928680183575535
t1,ID,2611,-0.09544730549284867,0.3019461473063967
t1,ID,684,0.04472785353870138,0.41768579140108986
t1,ID,674,0.028964558598010202,0.33322650757873123
t1,ID,2281,0.11215952983585777,0.40716571308157445
t1,ID,366,-0.014966838647260124,0.3508855539539732
t1,ID,368,-0.015650592278282586,0.39321139124672416
t1,ID,1369,-0.03842628804135062,0.39991220700884167
t1,ID,355,0.03937969989980188,0.33341955853143496
t1,ID,364,0.009847138863271855,0.42238280328935657
t1,ID,1367,0.01720712452002238,0.4230604057883376
t1,ID,1417,-0.007789318107817429,0.3773523245602491
t1,ID,322,0.02397758380700401,0.40369156932417594
t1,ID,328,0.009943936244456691,0.36139533308981214
t1,ID,1338,-0.0016217186544917371,0.45144947030839916
t1,ID,323,0.052337691531965054,0.40066331691782264
t1,ID,327,-0.03637229868449526,0.3641739539067105
t1,ID,1336,0.05967551357439854,0.38048581075424553
t1,ID,1342,0.06132234033946986,0.36175014226378244
t1,ID,371,-0.06548246148319498,0.35766497244629714
t1,ID,1396,0.03759480684881644,0.3608565324332848
t1,ID,1480,0.059518658430015685,0.25937617491891046
t1,ID,438,-0.012749725907883223,0.3923414792749136
t1,ID,431,-0.16119724987659514,0.37194612988721176
t1,ID,1467,-0.18861474427226826,0.3434548232992559
t1,ID,2039,-0.09858076973460726,0.3090171360203357
t1,ID,350,-0.14061813858308259,0.3754398534498897
t1,ID,349,-0.14868945274591816,0.4078083682073413
t1,ID,1357,-0.21254522920836663,0.3879720636396869
t1,ID,353,-0.08167179820533493,0.39451168200886194
t1,ID,361,-0.1335062253535455,0.3735559532822201
t1,ID,1361,-0.18909297952926962,0.40187497955218976
t1,ID,1409,-0.28260069288908507,0.37244748566931296
t1,ID,346,-0.10630852468833361,0.4005677518675353
t1,ID,338,-0.05481275240455535,0.3826592839662028
t1,ID,1347,-0.014044855930046916,0.38010960480926975
t1,ID,333,-0.10232931366392367,0.42128187189131966
t1,ID,329,-0.07929573298103276,0.3677997336477324
t1,ID,1339,-0.14404817811391324,0.4111022466877677
t1,ID,1390,-0.20028094634084617,0.3841829465577122
t1,ID,1462,-0.31462828225287215,0.309792703183779
t1,ID,448,-0.07599578189225878,0.39857958077811
t1,ID,451,0.057143412460782715,0.3562246949513141
t1,ID,1486,0.022850117570450003,0.38724645555642484
t1,ID,2045,-0.16992681765594292,0.31704014802595165
t1,ID,2139,-0.13622404328240714,0.34554567631590694
t1,ID,2643,0.25589937375393723,0.4183190552716153
t1,ID,3266,0.09431168022813591,0.354997372884341
t1,ID,337,-0.06777830848117833,0.37804740930174513
t1,ID,1349,-0.18002133556949104,0.4133801990301701
