Covariance,Estimate,SD
t1:ID_t1:ID,0.29652456165311414,0.039428103001648354
t1:ID_t2:ID,0.17261868331513813,0.07299816314616106
t1:ID_t3:ID,0.07227920878382484,0.040276101270798045
t1:ID_t1:dam,-0.04927031381787734,0.0408851627819621
t2:ID_t1:ID,0.17261868331513808,0.0729981631461612
t2:ID_t2:ID,0.8581991608850118,0.1431089926451506
t2:ID_t3:ID,0.0981428125870037,0.06022942656490433
t2:ID_t1:dam,0.049384830781602496,0.03984717962073276
t3:ID_t1:ID,0.07227920878382484,0.04027610127079806
t3:ID_t2:ID,0.0981428125870037,0.06022942656490431
t3:ID_t3:ID,0.6453899858561741,0.06682016937351476
t3:ID_t1:dam,0.032202098329686596,0.03667045055776267
t1:dam_t1:ID,-0.04927031381787733,0.0408851627819621
t1:dam_t2:ID,0.0493848307816025,0.039847179620732746
t1:dam_t3:ID,0.0322020983296866,0.03667045055776267
t1:dam_t1:dam,0.2660802813163462,0.06048780353603853
