Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,0.0081776177284478,0.05558076801126752
t1,ID,0,-0.0543736180454099,0.05816258444241426
t1,ID,678,-0.08764743925243963,0.36508465926897193
t1,ID,728,-0.0724697097188225,0.3712612642990235
t1,ID,2284,-0.1062826498118982,0.40831486830724356
t1,ID,817,-0.06311171695306686,0.3663724693606395
t1,ID,2611,-0.09772548194085998,0.3133870695954765
t1,ID,684,0.018919711802379672,0.34512378407467215
t1,ID,674,-0.11734680975635607,0.361165648314038
t1,ID,2281,0.04241782987171904,0.36235262670852664
t1,ID,366,0.03807092234017308,0.32909304261439887
t1,ID,368,0.02043396602248849,0.3917438645548789
t1,ID,1369,0.06254170580643867,0.28536560218911267
t1,ID,355,-0.06706315405225678,0.4034056343362515
t1,ID,364,-0.06568468528890821,0.3337997916438824
t1,ID,1367,-0.060026094976563575,0.36390992920282234
t1,ID,1417,0.0294798488259833,0.274248109744509
t1,ID,322,0.006365381240599238,0.34433229753164124
t1,ID,328,-0.04603280810176488,0.36412872167769905
t1,ID,1338,-0.01940182058808858,0.35708969405791696
t1,ID,323,-0.12051017659859642,0.3638568220969174
t1,ID,327,-0.09793357606826837,0.36039441729171084
t1,ID,1336,-0.03589960369544105,0.3904842310240993
t1,ID,1342,0.010488380095560733,0.38276530232190714
t1,ID,371,-0.1281125284438262,0.3737722301247577
t1,ID,1396,-0.06764037713090172,0.3979656837544992
t1,ID,1480,0.02243291264824336,0.3275135589210564
t1,ID,438,-0.09982276691952156,0.41935934783527756
t1,ID,431,-0.18044678393924451,0.36991325019434634
t1,ID,1467,-0.23797941892097704,0.41883210208725563
t1,ID,2039,-0.052708356345330186,0.3379305723273221
t1,ID,350,-0.06483446056759791,0.404985036886173
t1,ID,349,-0.16962570205021474,0.3980989983302282
t1,ID,1357,-0.17197482211206272,0.36408703851608815
t1,ID,353,-0.100585360346576,0.3710555991437132
t1,ID,361,-0.07600263679783692,0.4223745238405464
t1,ID,1361,-0.16200302309603304,0.41281511424608114
t1,ID,1409,-0.23678834193181697,0.3614821430006447
t1,ID,346,-0.10120256123828006,0.37711078289658984
