Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.20138108475495892,0.17504280915070336
t1,ID,0,-0.027739800519512962,0.06453537672539564
t1,ID,678,0.017862405656724877,0.33577364611464966
t1,ID,728,-0.028248911700462346,0.40033474176971107
t1,ID,2284,-0.01837730949389618,0.3493940121489668
t1,ID,817,-0.060596675146898316,0.3626051536788281
t1,ID,2611,-0.06451072524647339,0.30762829050818297
t1,ID,684,0.10053331222805519,0.40570648883133476
t1,ID,674,0.1592311987164283,0.401865358470236
t1,ID,2281,0.2934578986270833,0.4054939042140099
t1,ID,366,0.06094585385199929,0.3755436206620303
t1,ID,368,-0.07361455718497587,0.406706440755121
t1,ID,1369,-0.037944859191846966,0.3941576626645783
t1,ID,355,-0.0759354858417541,0.4070835104866503
t1,ID,364,-0.07836660256966184,0.3701299215852138
t1,ID,1367,-0.09935826851579849,0.38831759506238434
t1,ID,1417,-0.09194828659445656,0.3721074346017609
t1,ID,322,0.03160497139682327,0.4945693738713513
t1,ID,328,0.031858403781620304,0.39217351133622746
t1,ID,1338,0.02196765068156962,0.3973769805794235
t1,ID,323,-0.005495857322141631,0.40726389897574145
t1,ID,327,-0.0007840844229272668,0.45354489372187884
t1,ID,1336,0.03797547780743835,0.39848950909984854
t1,ID,1342,0.10663724946502309,0.3529467793424855
t1,ID,371,-0.06687707883847067,0.36863678488723556
t1,ID,1396,0.06613626931158563,0.39647496367009943
t1,ID,1480,0.051656270543792314,0.3304271007074307
t1,ID,438,-0.07479944296417652,0.3997216890523324
t1,ID,431,-0.21035251376059147,0.37456914399876323
t1,ID,1467,-0.28263929245057157,0.38018813205222746
t1,ID,2039,-0.14443249502355593,0.3067829222601224
t1,ID,350,0.020142289106146856,0.43074807165106066
t1,ID,349,0.03306286750070258,0.3924725718762401
t1,ID,1357,-0.013242034345484656,0.43863890483542833
t1,ID,353,0.003978527917509012,0.3983207239449086
t1,ID,361,-0.07523410213778105,0.4375370271697102
t1,ID,1361,-0.06525325773436294,0.400449639689419
t1,ID,1409,-0.07072824372126933,0.38288354754514425
t1,ID,346,-0.061925993052724775,0.4049285925326176
t1,ID,338,-0.0254696969010615,0.3554307105310775
t1,ID,1347,-0.025257136369385296,0.3746914804828031
t1,ID,333,0.01640294143674074,0.4372114909905103
t1,ID,329,-0.05711203879221794,0.3876175428520472
t1,ID,1339,-0.018000973992696824,0.42839766864941486
t1,ID,1390,-0.05483640195394519,0.4096940939350831
t1,ID,1462,-0.20469681474357668,0.42419252858009127
t1,ID,448,0.0010315109186241605,0.45422021334361795
t1,ID,451,-0.0011375453354880412,0.39853976450231715
t1,ID,1486,0.017237037413109318,0.3419260152080699
t1,ID,2045,-0.09514354549561815,0.3608766757277922
t1,ID,2139,-0.09170736094750401,0.33919772488414324
t1,ID,2643,0.31728271617937626,0.3895143877196413
t1,ID,3266,0.11697236222916971,0.321858179440138
t1,ID,337,-0.02279923074272222,0.3997619544839256
t1,ID,1349,0.0005846360502566681,0.4471956272546778
t1,ID,356,-0.05534622026016973,0.4169682483299949
t1,ID,352,0.002594053254706072,0.3870381682184124
t1,ID,1358,-0.06524257395975912,0.42105397936600136
t1,ID,1406,0.018819698879236225,0.4146792753621503
t1,ID,445,0.007123296885096053,0.3677194638125381
t1,ID,1469,0.029809737691540966,0.3634630143701393
t1,ID,403,-0.031115897619664865,0.4440148194923116
t1,ID,411,0.009310455119139598,0.404572267332804
t1,ID,1423,0.03533216906589525,0.3918609807910709
t1,ID,387,-0.012742075329615066,0.39933198359453886
t1,ID,375,-0.07031406003627153,0.3956173365098932
t1,ID,1402,0.06652971184422382,0.4013962188555779
t1,ID,1492,0.15939419034070418,0.37500621639187
t1,ID,2063,0.1306785766078422,0.37953694437436597
t1,ID,2220,0.20409851115108466,0.3631805788433753
t1,ID,362,-0.1532935435657904,0.42939644925813264
t1,ID,1366,-0.14915076451046477,0.3458186164791359
t1,ID,339,-0.07135639283959513,0.40521361294148656
t1,ID,1348,-0.07324890583304543,0.37495703325090557
t1,ID,1412,-0.1759644492728913,0.38124719148840613
t1,ID,372,-0.03201276845022611,0.37271354042034766
t1,ID,369,-0.1178769006312797,0.385208795108516
t1,ID,1370,-0.06247034677748991,0.389401978234962
t1,ID,1478,-0.14839980363607502,0.43485821863696783
t1,ID,354,-0.0716985045205868,0.34801095322525005
t1,ID,344,-0.05743728417998627,0.36957806793014303
t1,ID,1359,-0.08053185404429403,0.380900982184389
t1,ID,343,-0.13698662382020985,0.34218559202774634
t1,ID,332,-0.05422380942375526,0.3796409185961854
t1,ID,1344,-0.11624938061720176,0.41697801400243323
t1,ID,1408,-0.18296931146544068,0.38873144986044106
t1,ID,386,-0.1001760937038013,0.37673041211260094
t1,ID,374,-0.09838710114441426,0.4347113291587179
t1,ID,1398,-0.18637817400388612,0.3955412667577132
t1,ID,1472,-0.30101372247487507,0.3753729220171252
t1,ID,2032,-0.25770016539426227,0.35863278527768755
t1,ID,722,-0.13468410995420002,0.3945694154152658
t1,ID,2349,-0.17642277475690626,0.3575279084626267
