Covariance,Estimate,SD
t1:ID_t1:ID,0.3193892381564336,0.07025010338418122
t1:ID_t2:ID,0.001599654110227186,0.023179778902130556
t1:ID_t3:ID,-0.0007526345284804691,0.03045154058321538
t1:ID_t1:dam,-0.09164318457023102,0.053334490264859126
t2:ID_t1:ID,0.0015996541102271846,0.02317977890213056
t2:ID_t2:ID,0.32526014515334306,0.033787047909662346
t2:ID_t3:ID,0.02829640141610422,0.021667804412808096
t2:ID_t1:dam,0.10488231674655829,0.04152218547631995
t3:ID_t1:ID,-0.0007526345284804705,0.030451540583215385
t3:ID_t2:ID,0.028296401416104212,0.021667804412808096
t3:ID_t3:ID,0.18277338041026428,0.07336791268174281
t3:ID_t1:dam,0.05126163877424532,0.02203418264845012
t1:dam_t1:ID,-0.091643184570231,0.05333449026485919
t1:dam_t2:ID,0.10488231674655832,0.04152218547631987
t1:dam_t3:ID,0.05126163877424532,0.02203418264845012
t1:dam_t1:dam,0.26657896273357856,0.07071031151572094
