Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.03622703064473847,0.2756341975714511
t1,ID,0,-0.09473164689585167,0.09136820347433994
t1,ID,678,-0.1244815584012296,0.4702420569819053
t1,ID,728,-0.16420512324831418,0.43659508405433933
t1,ID,2284,-0.17882343542518278,0.48805416798598555
t1,ID,817,-0.0913772616897119,0.5407835496099666
t1,ID,2611,-0.17128790967890908,0.4774821488178423
t1,ID,684,0.01276913414646949,0.4325524670539744
t1,ID,674,0.07460107193026241,0.512268137440178
t1,ID,2281,0.19609337888763018,0.4700620011282765
t1,ID,366,-0.09209002974668125,0.4565489574340274
t1,ID,368,-0.10995309185147624,0.524131280531488
t1,ID,1369,-0.090678283445923,0.4492671501854553
t1,ID,355,-0.10785936268826332,0.44027674046581544
t1,ID,364,-0.054909022242451574,0.48488900030006415
t1,ID,1367,-0.055559027842485294,0.4816268314137938
t1,ID,1417,-0.13035245331738765,0.44583926864092693
t1,ID,322,-0.04804186073130455,0.4781415049960571
t1,ID,328,-0.1492585214506405,0.44448079250269895
t1,ID,1338,-0.030366183101609233,0.5270382525244711
t1,ID,323,-0.056329182498197905,0.4567322034708667
t1,ID,327,-0.06630556537158554,0.4909269737351922
t1,ID,1336,-0.03796126507582912,0.46697933212674203
t1,ID,1342,0.006596191147398461,0.45482164400395136
t1,ID,371,0.007638810228160993,0.5165335165985698
t1,ID,1396,0.033887782300058185,0.45021167919723426
t1,ID,1480,0.04519332961473646,0.37557879628896373
t1,ID,438,-0.12864282757403425,0.45282798287281084
t1,ID,431,-0.26129195415964923,0.558670308292388
t1,ID,1467,-0.3527236128570841,0.47405051937343595
t1,ID,2039,-0.2028525178165621,0.44817525512436446
t1,ID,350,-0.11663736967169232,0.4963914389065642
t1,ID,349,-0.08138760133946563,0.48196671568563515
t1,ID,1357,-0.19477568938450399,0.4558812711373653
t1,ID,353,-0.11962225357533157,0.5441098854830817
t1,ID,361,-0.1956986086735792,0.46675916236646314
t1,ID,1361,-0.16561703050239,0.5013538811119432
t1,ID,1409,-0.2986168546247351,0.4810079464899515
t1,ID,346,-0.13817155923210844,0.5557016826842742
t1,ID,338,-0.12167856330882214,0.5290174516403562
t1,ID,1347,-0.12504057724146123,0.5141200327261737
t1,ID,333,-0.11859915121340521,0.4747529066861841
t1,ID,329,-0.10624532082790475,0.47945698016224075
t1,ID,1339,-0.1185470637729048,0.43469180662882484
t1,ID,1390,-0.22724166397477985,0.4563686401421594
t1,ID,1462,-0.34196683762136776,0.4359624866593927
t1,ID,448,-0.14145169438309269,0.4688907409172534
t1,ID,451,-0.09395616527916793,0.4899890921561266
t1,ID,1486,-0.1347620528603762,0.4694540775133417
t1,ID,2045,-0.2258481746702371,0.40832753762492013
t1,ID,2139,-0.13725849637531187,0.43414878098687637
t1,ID,2643,0.2642020044996783,0.5505139250154533
t1,ID,3266,0.03191158396493808,0.4775562874922645
t1,ID,337,-0.1461628798833501,0.4618836181391219
t1,ID,1349,-0.23592596591967346,0.48237756473208476
t1,ID,356,-0.20475025016074969,0.4213326989542022
t1,ID,352,-0.19444144811399794,0.516852961101532
t1,ID,1358,-0.20669378880495068,0.5255267121728558
t1,ID,1406,-0.28574114965984093,0.5208614501926979
t1,ID,445,-0.16462591836595253,0.46751970884292154
t1,ID,1469,-0.21001593823304715,0.5382395478523562
t1,ID,403,-0.16210644510265468,0.4663914644745235
t1,ID,411,-0.2093857398499729,0.45611383917494464
t1,ID,1423,-0.22969342800073808,0.5345923297865673
t1,ID,387,-0.1805169074863916,0.4827730204411688
t1,ID,375,-0.1752385337823893,0.46884621124702586
t1,ID,1402,-0.18291470248038716,0.4931734124175565
t1,ID,1492,-0.20235046611632349,0.48042372267665023
t1,ID,2063,-0.29806764244627487,0.5256476430392674
t1,ID,2220,-0.06164515088574295,0.4412384965548916
t1,ID,362,-0.20721484079503225,0.40898183478783795
t1,ID,1366,-0.23397314781767894,0.42891181722553634
t1,ID,339,-0.10886274545016107,0.44127007397004314
t1,ID,1348,-0.14070998362024612,0.512862397273512
t1,ID,1412,-0.20329811884524196,0.40447231929454536
t1,ID,372,-0.15949155427126724,0.5213950747298437
t1,ID,369,-0.11618315287955704,0.5086156890930219
t1,ID,1370,-0.16524951055268428,0.4300936763399969
t1,ID,1478,-0.2048064618521467,0.3670288746964097
t1,ID,354,-0.10816610872024632,0.45820385577857886
t1,ID,344,-0.012017098906759442,0.48618700791712705
t1,ID,1359,-0.06493094208368064,0.4378437958514167
t1,ID,343,-0.2544501584276116,0.45508494622510337
t1,ID,332,-0.14309797610389285,0.43239375846825484
t1,ID,1344,-0.24914198064962442,0.44825093505441704
t1,ID,1408,-0.1652047402854143,0.44000041183538613
t1,ID,386,-0.056114156162544226,0.5216734669967417
t1,ID,374,-0.17235845027338725,0.46478617432324565
t1,ID,1398,-0.21503146870042777,0.5084923067068081
t1,ID,1472,-0.2839030034442684,0.4570315247921332
t1,ID,2032,-0.11827067149466583,0.4262969045146663
t1,ID,722,0.1695834770127902,0.45754212481331996
t1,ID,2349,0.020118759871884002,0.4715937541849761
t1,ID,2595,-0.07393629904449238,0.4765780720027861
t1,ID,741,-0.13201826212114648,0.49057820570492516
t1,ID,753,-0.10506347259557644,0.47828766085661373
t1,ID,2320,-0.17970828371598085,0.5205522170596578
t1,ID,690,-0.030999589210757076,0.5048013107555651
t1,ID,715,-0.018091801112887752,0.43444624229866385
t1,ID,2259,-0.03734872455886655,0.49930707457631507
t1,ID,2905,-0.06518708171860307,0.42913265546800683
t1,ID,3551,0.016983975915315048,0.46415078203582216
t1,ID,4304,0.05790566094288707,0.5620787149665325
t1,ID,2347,0.14861565622462292,0.4260582549213974
t1,ID,378,-0.12791795256316377,0.48957202244635895
t1,ID,359,-0.22096104251600926,0.47206120507978216
t1,ID,1386,-0.27615483173975497,0.36953188333702963
t1,ID,345,-0.15571987229291287,0.46844206908988323
t1,ID,340,-0.1503944642445215,0.4970003332857113
t1,ID,1351,-0.2118295654630626,0.4381192398415498
t1,ID,1393,-0.2203917921959535,0.4886454209827762
t1,ID,1452,-0.22445083561918142,0.4274498018834181
t1,ID,377,-0.10837443026910837,0.49870769984018737
t1,ID,1380,-0.269207708143264,0.5250220690462705
t1,ID,382,-0.04040505495508936,0.4806729575824003
t1,ID,1378,0.0003636717664565776,0.4671481226258375
t1,ID,1439,-0.12280161333611195,0.5021903538289368
t1,ID,1531,-0.10561670914086571,0.49567758442890075
t1,ID,489,-0.1991793209981461,0.508945276024428
t1,ID,2091,-0.252364717555946,0.49049557600072996
t1,ID,370,-0.13819689302848795,0.44968632174022566
t1,ID,379,-0.12011946485667052,0.5130696654235055
t1,ID,1375,-0.07832736378362713,0.4871620936325264
t1,ID,1495,-0.1364605854963948,0.5102620199381491
t1,ID,426,-0.11981895532532298,0.4950778927398288
t1,ID,1476,-0.2990903838741841,0.40710914433093137
t1,ID,2051,-0.21004495369559803,0.413631460008767
t1,ID,2258,-0.29350838551858155,0.4755187783735544
t1,ID,2655,-0.15516812042309872,0.4276698457794405
t1,ID,475,-0.1528759979747851,0.4856308134148804
t1,ID,477,-0.14183349372430282,0.504256014475584
t1,ID,2069,-0.08863005256737,0.48193852742129445
t1,ID,381,-0.08776568456124176,0.4841549088062058
t1,ID,1376,-0.027770495815822725,0.47328523129768285
t1,ID,363,-0.10037734229742215,0.5025076328381317
t1,ID,1362,-0.09150958908556465,0.5255873462048581
t1,ID,1427,0.016318739123348688,0.5394213209628538
t1,ID,419,-0.042399893751219137,0.4879970289404696
t1,ID,412,0.01006195344788778,0.5316412869060831
t1,ID,1437,0.09966880169934283,0.44552462387114583
t1,ID,1516,0.28946264602971417,0.5346816348688364
t1,ID,2212,0.15675287543196173,0.5121616085809048
t1,ID,2700,0.22057329899420705,0.45853936620985947
t1,ID,3355,-0.041790899108577945,0.5721637694253865
t1,ID,757,-0.2897781757275179,0.5063054264834521
t1,ID,452,-0.11045845214662268,0.4808471190127251
t1,ID,1487,-0.051420588049885384,0.4348485721315428
