Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,0.20380431225337228,0.34362564255814776
t1,ID,0,0.02619974457172575,0.06265749021310117
t1,ID,678,-0.07625406243223845,0.38756923975016505
t1,ID,728,-0.09928112583410027,0.3204250229686978
t1,ID,2284,-0.1260274479568439,0.319966293049786
t1,ID,817,-0.043014478559486105,0.3504156435481995
t1,ID,2611,-0.1268342205018121,0.2842415508986803
t1,ID,684,0.09054874062475451,0.34501074866848375
t1,ID,674,0.0689516817138402,0.3391096553297695
t1,ID,2281,0.1198022939076723,0.2948845293736961
t1,ID,366,-0.03731151620426774,0.32103346061898425
t1,ID,368,-0.009214277118585723,0.3623619237366012
t1,ID,1369,-0.10488010582471624,0.3076654158023264
t1,ID,355,-0.06281682581620585,0.31614641113727454
t1,ID,364,-0.016127939645037878,0.38783997471419507
t1,ID,1367,-0.04444105955500783,0.3313906514839946
t1,ID,1417,-0.16724078871984582,0.3086212966239236
t1,ID,322,0.013569619623319564,0.3460288980400888
t1,ID,328,0.024303384366491012,0.3535859736599392
t1,ID,1338,0.029558380281967993,0.36192840487821215
t1,ID,323,-0.05897842311748406,0.3065541161521862
t1,ID,327,0.045610605210142485,0.3771596364969426
t1,ID,1336,-0.021283776504291637,0.3710507900163214
t1,ID,1342,0.07398596981090823,0.3048547459255655
t1,ID,371,0.06896978538954576,0.3588781396088124
t1,ID,1396,0.10771229285821576,0.329725732496125
t1,ID,1480,-0.01681200076213077,0.27608327896983814
t1,ID,438,-0.019674925687475607,0.37251498853146703
t1,ID,431,-0.12568643179480177,0.33361644815195707
t1,ID,1467,-0.22300760661763308,0.34335457534530833
t1,ID,2039,-0.1830739508028985,0.31771000133915145
t1,ID,350,0.044195174998117946,0.35454062430778394
t1,ID,349,0.04300605483564092,0.3334437320826326
t1,ID,1357,0.08325702202418671,0.33748133410282494
t1,ID,353,0.051205584497871486,0.3705312271611072
t1,ID,361,0.00874915657050089,0.33938067549096207
t1,ID,1361,0.008449340310448281,0.340743596214727
t1,ID,1409,0.08016183560009804,0.34648447869842414
t1,ID,346,-0.04068017342349643,0.37853871868715705
t1,ID,338,-0.03190124208972064,0.3859990853953979
t1,ID,1347,-0.035529298082584905,0.3906420554222907
t1,ID,333,0.008354119904375616,0.3224516460533994
t1,ID,329,0.028573920951505766,0.31397219882516897
t1,ID,1339,-0.04540689343179051,0.32602432912551693
t1,ID,1390,-0.02385485510092674,0.3740277992112965
t1,ID,1462,-0.06736948325352014,0.32538616072355264
t1,ID,448,-0.09400327257380654,0.3301864948346708
t1,ID,451,0.06946844062677494,0.38091597251623305
t1,ID,1486,0.021629273584808994,0.3408132197169773
t1,ID,2045,0.009491582234109305,0.3295944987385062
t1,ID,2139,0.013072526201793845,0.32878754078730305
t1,ID,2643,0.3131753383953056,0.32675987599147654
t1,ID,3266,0.131961054705266,0.288019761818349
t1,ID,337,0.018994704496855964,0.316343700468571
t1,ID,1349,-0.0647074826100055,0.3809490378171902
t1,ID,356,0.0060258128935570515,0.3363023590071392
t1,ID,352,0.029823479244029526,0.3481087274197886
t1,ID,1358,-0.014234182305808264,0.36572655077528327
t1,ID,1406,-0.044780080535609085,0.3771695104260984
t1,ID,445,-0.04054707555420264,0.3828891030638859
t1,ID,1469,-0.11878863593186932,0.3551399851484464
t1,ID,403,0.0876823485088314,0.34614742308052315
t1,ID,411,0.07701808846647153,0.3364503533919922
t1,ID,1423,0.0859724870805268,0.33473488482045277
t1,ID,387,-0.031748337630821064,0.37832710031016525
t1,ID,375,0.019179880254604587,0.3858933762171632
