Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.22870838842091373,0.2360707443573506
t1,ID,0,-0.16779137203112088,0.07390498729141723
t1,ID,678,-0.16499594287868347,0.35372048314427945
t1,ID,728,-0.21320440391531764,0.30572953436460754
t1,ID,2284,-0.20359841220871192,0.288010333126914
t1,ID,817,-0.14993115383574993,0.2956392985709439
t1,ID,2611,-0.19206376964236824,0.2588336861311349
t1,ID,684,-0.08791548652104772,0.2637483690642917
t1,ID,674,-0.12256429387776727,0.31880648692972735
t1,ID,2281,-0.09601001524390435,0.3145215099143416
t1,ID,366,-0.15813737167374914,0.32044210403501366
t1,ID,368,-0.20851966279422363,0.30076187889543216
t1,ID,1369,-0.17320356585167612,0.3261421607655395
t1,ID,355,-0.16459822443592886,0.31690625952166973
t1,ID,364,-0.2131162299560137,0.33206459225659246
t1,ID,1367,-0.21815284774891866,0.3530202557398908
t1,ID,1417,-0.24812278829590126,0.30172005663200085
t1,ID,322,-0.13521572424358466,0.29275121491794137
t1,ID,328,-0.20426352144016396,0.24765839546531598
t1,ID,1338,-0.13060471274769844,0.28167311414900875
t1,ID,323,-0.11959046936558457,0.34950062430734197
t1,ID,327,-0.19251839376457225,0.3559344489238672
t1,ID,1336,-0.16558679407118843,0.28460014291670865
t1,ID,1342,-0.11977729852448274,0.2814403722204056
t1,ID,371,-0.17020796040450567,0.3155434899730636
t1,ID,1396,-0.09704190636499985,0.3045263906185759
t1,ID,1480,-0.13080790863295566,0.3113148045248603
t1,ID,438,-0.17560536731448378,0.3039873708393335
t1,ID,431,-0.23322923807613116,0.333716373474157
t1,ID,1467,-0.2697057283111078,0.3043033699778582
t1,ID,2039,-0.21681014411079425,0.26811996798654236
t1,ID,350,-0.14989132424827373,0.2716577590092745
t1,ID,349,-0.19690782523626466,0.3307178710230973
t1,ID,1357,-0.15424457151815393,0.31197498122622513
t1,ID,353,-0.10805370842515631,0.2974383596546089
t1,ID,361,-0.23933142494463402,0.3561834143415083
t1,ID,1361,-0.1576350582826286,0.31039693204151786
t1,ID,1409,-0.17413494761982304,0.2802618797947883
t1,ID,346,-0.23605012208226037,0.33822550528239675
t1,ID,338,-0.17156344194563794,0.3383852770773005
t1,ID,1347,-0.1767099280202357,0.29173205056090756
t1,ID,333,-0.19711921206374886,0.29258913713602513
t1,ID,329,-0.15678333076983778,0.31919764324245764
t1,ID,1339,-0.17161170986992316,0.3075624027031942
t1,ID,1390,-0.17539194804516786,0.28793768758110344
t1,ID,1462,-0.23581331174911296,0.3165819419675773
t1,ID,448,-0.2360331390344002,0.32084729403130635
t1,ID,451,-0.1625011690313108,0.31774979925240376
t1,ID,1486,-0.21192342787867632,0.32931227805618246
t1,ID,2045,-0.22175717410986426,0.28171991083783465
t1,ID,2139,-0.15285787577624727,0.29591888143861506
t1,ID,2643,0.027135131223941407,0.3296724479087512
t1,ID,3266,-0.0621686675802384,0.30617646020848494
t1,ID,337,-0.1837131749217054,0.35166352438462
t1,ID,1349,-0.22392898625048055,0.3027091351121518
t1,ID,356,-0.12818459238519608,0.2779386494921432
t1,ID,352,-0.14227092078857856,0.28232975968326496
t1,ID,1358,-0.1102131042095472,0.2721410894071256
