Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.5457271787521336,0.41743491015902484
t1,ID,0,0.06841496378777351,0.044467605575997084
t1,ID,678,0.008518010038117307,0.41925684198127844
t1,ID,728,-0.0034016531015743333,0.39044814615437745
t1,ID,2284,-0.04574802147422557,0.41696993672118543
t1,ID,817,-0.05914512203619013,0.4400977570849605
t1,ID,2611,-0.14764549338145366,0.38663083718095703
t1,ID,684,0.07462772178003557,0.38507612100728694
t1,ID,674,0.036863210151739295,0.3691967406790093
t1,ID,2281,0.1734850107865188,0.35698636919273086
t1,ID,366,0.13233125391542372,0.39365494261394374
t1,ID,368,0.08126280971774609,0.4188594724783243
t1,ID,1369,0.16493987819665934,0.419041958490658
t1,ID,355,0.01489447839850229,0.4163371397422882
t1,ID,364,0.05592515153589049,0.46783395512245807
t1,ID,1367,0.0688261282688333,0.40817238187751215
t1,ID,1417,0.0744801293672162,0.46467530969705473
t1,ID,322,0.07789818145875466,0.40676344889364785
t1,ID,328,0.08452519184197468,0.4347833112657478
t1,ID,1338,0.10886927926104052,0.42090987921519246
t1,ID,323,0.12287328029895091,0.37859074084275507
t1,ID,327,0.09365536768276672,0.3835029037698845
t1,ID,1336,0.041742825704708546,0.3587992091614603
t1,ID,1342,0.08953408926001859,0.3734746560894146
t1,ID,371,0.0223258616362279,0.3787298178517095
t1,ID,1396,0.08852426669921261,0.4013991493274536
t1,ID,1480,0.09193679606052124,0.3748250228319784
t1,ID,438,-0.030443356192918103,0.43502104494790955
t1,ID,431,-0.1033015181876119,0.42812061321657346
t1,ID,1467,-0.2173083351040917,0.4297945900550057
t1,ID,2039,-0.06854760143147036,0.37649162441380585
t1,ID,350,0.03140738749952959,0.41240215876632497
t1,ID,349,0.07734961737949471,0.3958869405977476
t1,ID,1357,0.03765529466812137,0.3564356986896911
t1,ID,353,0.04437198219436975,0.4746188469971447
t1,ID,361,-0.004033088426979696,0.4223895319942218
t1,ID,1361,-0.0008736823616377256,0.4441467334970579
t1,ID,1409,-0.07028701373837176,0.36167514816492086
t1,ID,346,0.013586342658639988,0.40969080695932675
t1,ID,338,0.0683701078734326,0.4125110613228555
t1,ID,1347,0.026049746265604794,0.44824839287192586
t1,ID,333,0.10501044372214245,0.44661881488898986
t1,ID,329,0.09249970309307982,0.39947717709853336
t1,ID,1339,0.06554011659156384,0.42987864845899554
