Covariance,Estimate,SD
t1:ID_t1:ID,0.3583358277119606,0.056042336784626216
t1:ID_t2:ID,0.16267689254570317,0.06712869209617014
t1:ID_t3:ID,0.08331904494072573,0.026142000714243475
t1:ID_t1:dam,-0.08496101232201037,0.04914197792414474
t2:ID_t1:ID,0.16267689254570317,0.06712869209617021
t2:ID_t2:ID,0.4985120412490169,0.0774966149476148
t2:ID_t3:ID,0.05502180905382508,0.03525166910206882
t2:ID_t1:dam,0.04750131179022794,0.03572889384785895
t3:ID_t1:ID,0.08331904494072573,0.026142000714243475
t3:ID_t2:ID,0.05502180905382509,0.0352516691020688
t3:ID_t3:ID,0.26703650620132163,0.05745463633153623
t3:ID_t1:dam,-0.01046042766998096,0.023664965317387616
t1:dam_t1:ID,-0.08496101232201039,0.04914197792414469
t1:dam_t2:ID,0.04750131179022792,0.035728893847858975
t1:dam_t3:ID,-0.010460427669980961,0.023664965317387616
t1:dam_t1:dam,0.2687436392336197,0.05039595170912194
