Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.17832152782240018,0.10733229903758976
t1,ID,0,0.01209792846501708,0.06319728726281458
t1,ID,678,0.012701714168813154,0.37633123671598634
t1,ID,728,-0.08347501894647029,0.41454228015537087
t1,ID,2284,-0.04143469485854708,0.40828876756055815
t1,ID,817,0.0963946454019908,0.3454730912329018
t1,ID,2611,0.007515256934734465,0.3261865613524977
t1,ID,684,0.1495034677034745,0.3839441998224314
t1,ID,674,-0.06658479114047804,0.43720670567360975
t1,ID,2281,0.09897905798576558,0.34773151795142443
t1,ID,366,0.065387698325021,0.3935460596162152
t1,ID,368,0.026336594999463534,0.4089245851805493
t1,ID,1369,0.08836106863125326,0.34738061889244054
t1,ID,355,-0.0030675312250895304,0.3659142126097744
t1,ID,364,-0.08752313439583838,0.3991472438942279
t1,ID,1367,-0.10328474608074834,0.4033502591791845
t1,ID,1417,-0.009516525692615227,0.396990429993448
t1,ID,322,0.07168189041885853,0.39566956626315253
t1,ID,328,0.030517786998529396,0.40219205823936194
t1,ID,1338,0.05850688215629799,0.45622656325747984
t1,ID,323,0.0260353461218288,0.3964179708773903
t1,ID,327,0.0004374474119680661,0.4047547105543255
t1,ID,1336,0.025917066602341103,0.4232801650789351
t1,ID,1342,0.09297901184708857,0.36754561844738287
t1,ID,371,-0.014612095381238721,0.40270967817395514
t1,ID,1396,0.06615160652538586,0.40002271074309553
t1,ID,1480,0.08408764357377235,0.37499866065860066
t1,ID,438,-0.020301892429360435,0.3885133892911064
t1,ID,431,-0.09615354636158358,0.37738345467731427
t1,ID,1467,-0.18440389379882535,0.36474112955243665
t1,ID,2039,0.016095587027982118,0.40800524376894065
t1,ID,350,0.10038129564403894,0.4986309659910251
t1,ID,349,-0.02244331705429388,0.3676061822676029
t1,ID,1357,0.09401553195381701,0.45871347596526796
t1,ID,353,-0.03151309777184081,0.4069379251480362
t1,ID,361,0.005497981685153381,0.40942278305024427
t1,ID,1361,0.042246638334213715,0.3467975670239386
t1,ID,1409,0.11102140734882865,0.39298251424064407
t1,ID,346,-0.016936092985915023,0.3402833124983007
t1,ID,338,-0.015254184210810259,0.390537241824183
t1,ID,1347,-0.061226733378435025,0.4086631676914262
t1,ID,333,0.045024236408908444,0.4225769600970384
t1,ID,329,0.046246891408082684,0.42251186836664845
t1,ID,1339,0.015410955201568394,0.35753171065160255
t1,ID,1390,-0.04343732051583919,0.35232785888715723
t1,ID,1462,-0.0021119925954822716,0.3690744978798051
t1,ID,448,-0.12264002821967845,0.39032971837254576
t1,ID,451,-0.02723941309236502,0.4172899694242784
t1,ID,1486,-0.0989560120056685,0.3637242162199396
t1,ID,2045,-0.050731794650903786,0.3612499015521866
t1,ID,2139,0.052774369301626364,0.41389992320297725
t1,ID,2643,0.35088057107908005,0.39699224329496735
t1,ID,3266,0.16080788309911992,0.34273462053129916
t1,ID,337,-0.003242082269588911,0.36666415714246775
t1,ID,1349,-0.08451248001633499,0.3675245612802203
t1,ID,356,0.02747258976194932,0.3918057199267356
t1,ID,352,0.04143740964115659,0.46212430080497524
t1,ID,1358,0.032573009863403876,0.4683794136610542
t1,ID,1406,-0.0322606464824613,0.4302557653801338
t1,ID,445,-0.05430828828866749,0.418300765616523
t1,ID,1469,-0.12741964272115544,0.4442918319893356
t1,ID,403,-0.014421458438654642,0.44151667591664817
t1,ID,411,0.04106188401040369,0.3872091371684742
t1,ID,1423,-0.013546484989615044,0.37292519621026077
t1,ID,387,-0.03725744640464773,0.47563861301126603
t1,ID,375,0.003843009909545423,0.4303544751977788
t1,ID,1402,0.013915474430979307,0.450599753972164
t1,ID,1492,0.02993014940206939,0.39565789955575387
t1,ID,2063,-0.18795118133056632,0.3630966779052948
t1,ID,2220,-0.15540949460825776,0.3617009981680494
t1,ID,362,-0.09209308231781917,0.40347335939890455
t1,ID,1366,-0.07283581347164995,0.4090349529398371
t1,ID,339,-0.0005747214713945051,0.43579501088387007
t1,ID,1348,-0.021611875935555597,0.4318303087918137
t1,ID,1412,-0.08130975240104184,0.3922887522306585
t1,ID,372,-0.03544095394819519,0.39832154058994995
t1,ID,369,0.01677496322891772,0.4739507354961774
t1,ID,1370,-0.06708400984956392,0.3753731186260508
t1,ID,1478,-0.12612035636093,0.39845038020966833
t1,ID,354,-0.054248686105005633,0.41602926483507097
t1,ID,344,0.026468038260862643,0.4440851551221796
t1,ID,1359,-0.042238783711183205,0.4202924461774205
t1,ID,343,-0.07605623333055356,0.4040802163146726
t1,ID,332,-0.012991018583807998,0.40557448593894535
t1,ID,1344,-0.09138162405069546,0.4269089483200337
t1,ID,1408,-0.1262907631431582,0.40792441129831747
t1,ID,386,-0.05273162584051043,0.4416600764822657
t1,ID,374,-0.05962873432628119,0.3900796937406624
t1,ID,1398,-0.14806715313762414,0.4575910333958328
t1,ID,1472,-0.2742348355924161,0.4360310066265624
t1,ID,2032,-0.18618292807642545,0.3625244373209875
t1,ID,722,-0.008322201446361959,0.45129444412693626
t1,ID,2349,-0.0616443569805504,0.41715659261595067
t1,ID,2595,-0.2121983705068299,0.3439521200147909
t1,ID,741,0.08317000477138699,0.38974740466386465
t1,ID,753,0.08051250389413486,0.39627375922438834
t1,ID,2320,0.20320199284110937,0.3389570967787272
t1,ID,690,0.015312759046408832,0.40505545450126024
t1,ID,715,-0.07204488661015769,0.3862117845563192
t1,ID,2259,-0.0488124377597338,0.4161179776945954
t1,ID,2905,0.055016680102098994,0.3719096411361879
t1,ID,3551,-0.03680359153247907,0.40582023914321314
t1,ID,4304,0.16454203124895783,0.4149576393683599
t1,ID,2347,-0.03526592830422917,0.41135119328411873
t1,ID,378,-0.013973174832452976,0.4348332105847438
t1,ID,359,0.02389434636443645,0.37156864366729536
t1,ID,1386,-0.02616146665379566,0.4117610384515658
t1,ID,345,-0.054907631968345146,0.4648372585977548
t1,ID,340,-0.023675913643888703,0.48425099815120026
t1,ID,1351,-0.12393064182881067,0.46831455050920584
t1,ID,1393,-0.22331450428627694,0.42212581563974205
t1,ID,1452,-0.024954667169168044,0.38370578491516344
t1,ID,377,0.02491186084528018,0.36396619212351483
t1,ID,1380,-0.0013918731386491387,0.3768496204471907
t1,ID,382,0.09233558258144398,0.4162467294074639
t1,ID,1378,0.17543017072839523,0.39748281956549186
t1,ID,1439,0.07937848200935282,0.4143712383923268
t1,ID,1531,0.10678830044956994,0.40036817537983244
t1,ID,489,-0.042039330543301424,0.44094078412004817
t1,ID,2091,0.011894941997434159,0.4023632873250582
t1,ID,370,-0.05849682146535047,0.378707857481322
t1,ID,379,0.004041040238891294,0.39277134650070117
t1,ID,1375,0.013376662376068788,0.38148563294714927
t1,ID,1495,-0.1005984891820364,0.3697860151532493
t1,ID,426,0.05683816184758568,0.45388837450024044
t1,ID,1476,-0.05476026517618484,0.3780680521989258
t1,ID,2051,-0.1511992872031188,0.39668379195395626
t1,ID,2258,-0.08554854133670795,0.35032114417569316
t1,ID,2655,-0.06319475619148268,0.27577514795523983
t1,ID,475,0.03816767918570623,0.40817556215113543
t1,ID,477,0.01654267168821879,0.39428583472391426
t1,ID,2069,0.04131192701634041,0.4147630066606421
t1,ID,381,0.01470159506238463,0.4283479772925518
t1,ID,1376,0.16077923335307806,0.4007745116434449
t1,ID,363,0.05253886936115852,0.40538225655649474
t1,ID,1362,0.06232300413594771,0.3614661674360491
t1,ID,1427,0.2184046940365355,0.38610277352842476
t1,ID,419,0.13309632852353565,0.43784387256240737
t1,ID,412,0.11151698658232898,0.3905746793526212
t1,ID,1437,0.26626109554253363,0.445658333208308
t1,ID,1516,0.45332270646403594,0.42080744147111965
t1,ID,2212,0.3203138009243499,0.3903652908340815
t1,ID,2700,0.1838541543235317,0.38644879888211325
t1,ID,3355,0.12251287812838633,0.27668302734674405
t1,ID,757,0.00813982162882712,0.37629574575157865
t1,ID,452,0.023087831440224478,0.3627360391084123
t1,ID,1487,0.03335431170348812,0.3998589671579549
t1,ID,2031,0.17756890644154277,0.400658966920332
t1,ID,376,0.002530900491881945,0.44568922155030877
t1,ID,1371,-0.005816157597425771,0.38882890808205783
t1,ID,357,0.06545304325560292,0.4452880550493527
t1,ID,1360,-0.0007732615925069128,0.4133336283653335
t1,ID,1425,-0.07558941059220617,0.4281772521883607
t1,ID,1509,-0.07867032273326485,0.42474896042685034
t1,ID,2147,-0.03980776489096956,0.4089205520633814
t1,ID,2350,0.0928755613117169,0.40251484370960794
t1,ID,655,0.13470582290563343,0.35735777872477126
t1,ID,334,-0.008623625585208312,0.3814053818452171
t1,ID,1345,-0.07275057531838727,0.4107056138002997
t1,ID,1382,-0.15489828573807507,0.39255722017021843
t1,ID,398,-0.04758124030425705,0.4197230067369111
t1,ID,1436,-0.13174536458993188,0.41306193682402476
t1,ID,1514,-0.19397591403832065,0.38158616955407576
t1,ID,2168,0.1297794219357153,0.3274527728167715
t1,ID,360,0.05289242802334182,0.3894058932119084
t1,ID,1365,0.005015065863128323,0.37902460548458855
t1,ID,348,0.056484487298050265,0.4506691619828525
t1,ID,351,0.013066271961538391,0.3486922965450103
t1,ID,1354,0.011860960642492643,0.4044171765624727
t1,ID,1413,-0.04739422913366318,0.3470854165914123
t1,ID,1353,0.09174990280525476,0.4310573137600527
t1,ID,1415,0.15325940933703608,0.3373977275903367
t1,ID,1474,0.05938405407326993,0.34755844107054334
t1,ID,409,0.045226660236437836,0.35977519001780023
t1,ID,1426,0.17062123895314119,0.34941972861056125
t1,ID,2026,0.19440177401326156,0.33484277408377167
t1,ID,1383,-0.15907786910931157,0.3710793821348027
t1,ID,1441,-0.11800000069799348,0.35088639109738334
t1,ID,416,-0.0002066230767033446,0.4182834136006856
t1,ID,1447,-0.06698568325863932,0.36720923404843847
t1,ID,1526,-0.08054943252871892,0.4092375513387779
t1,ID,2152,0.0866032576716907,0.3790420532249058
t1,ID,2365,0.19642072107593378,0.3794412336941802
t1,ID,2789,0.17486128871104806,0.43145931048380803
t1,ID,347,0.025373625118600366,0.3850615675500149
t1,ID,1346,-0.0009425533624115,0.42756858480041493
t1,ID,341,0.08805362396863117,0.4453851246114813
t1,ID,1352,0.12796689344002327,0.523063782616129
t1,ID,1394,0.15965051481719622,0.4194931215483678
t1,ID,384,0.06663883368720758,0.4258050632178694
t1,ID,1399,0.07239697549634876,0.4316992535095463
t1,ID,1457,0.14291674763780005,0.4235571155282702
t1,ID,427,-0.07603106802526162,0.43830888164398
t1,ID,1466,-0.13079265927712386,0.3678504827157106
t1,ID,2015,-0.03182862790476429,0.39807965077379365
t1,ID,1379,0.08348991012284293,0.3964402068881596
t1,ID,1435,0.039632390970695756,0.3605278661100664
t1,ID,385,-0.035526708816148514,0.46017785721194276
t1,ID,1392,-0.040566261200636895,0.400683878251944
t1,ID,1517,-0.06068757755626267,0.36319088181943093
t1,ID,487,0.0856626114311992,0.37445923444927864
t1,ID,2086,-0.023439442319153948,0.3471250178250859
t1,ID,2217,0.030379679065169647,0.3120654902183014
t1,ID,751,0.0004534460748058227,0.46145730221484066
t1,ID,2618,0.04338213314618268,0.49612996970477363
t1,ID,3456,0.1798347433144525,0.4365885666962813
t1,ID,3935,0.18477585651186873,0.3710740781317366
t1,ID,391,-0.012802352606871986,0.397721730526349
t1,ID,1405,-0.10293324778537039,0.3974495273389807
t1,ID,1460,-0.2069268225110471,0.4004260374847819
t1,ID,424,-0.043491193425779395,0.37580522680084527
t1,ID,421,0.06221557073379835,0.3818698993178556
t1,ID,1451,0.006534174856853686,0.3870611192199018
t1,ID,1543,-0.13709136164062563,0.36551318176070624
t1,ID,1384,-0.10006684761526968,0.4434152513707451
t1,ID,383,-0.006900174128668104,0.3906461391772478
t1,ID,1389,0.12467679267361988,0.3915809508950227
t1,ID,1449,0.0627351450605929,0.4279533703213467
t1,ID,456,-0.022645305683618375,0.4657895271766394
t1,ID,1532,-0.019246878551203103,0.4714268855148063
t1,ID,2126,-0.22012050697988922,0.3426489793335391
t1,ID,2456,-0.1674324035205362,0.3512100067525249
t1,ID,418,0.057124974594848874,0.43753277488130776
t1,ID,1444,0.03235101996377088,0.4429811860004927
t1,ID,394,0.11454786440256089,0.40039683483707667
t1,ID,1428,0.12776156139356112,0.42312381737141314
t1,ID,1519,0.08238616100799687,0.3858183145089405
t1,ID,493,0.023526977278675944,0.43027474287624334
t1,ID,2088,0.03773726777218096,0.38107126420204523
t1,ID,697,0.1010090882639104,0.4483559817874842
t1,ID,2239,0.06711988543001528,0.39150335687840127
t1,ID,2040,-0.025168978985597733,0.36275380202598384
t1,ID,2174,-0.023964554831355876,0.4111578100994802
t1,ID,2494,0.1397226999405962,0.3489876671721415
t1,ID,2971,-0.18396027566149886,0.3404307409212518
t1,ID,1529,0.17253360734796416,0.4263375567094059
t1,ID,325,-0.055753479487891264,0.4062779080496904
t1,ID,326,0.061207259375389664,0.314624587562221
t1,ID,1337,-0.012283048475801136,0.4074214130096403
t1,ID,324,-0.023908930275879304,0.393346098177344
t1,ID,1335,-0.044057766663013184,0.35629221376930126
t1,ID,1341,-0.06534411115754303,0.405566765516698
t1,ID,1403,0.05880248170152608,0.43719496143746994
t1,ID,1489,0.29302825867695104,0.4222780453539447
t1,ID,2092,0.22010397761594866,0.36169871498212997
t1,ID,1438,0.11836694630400582,0.38198106603364224
t1,ID,1414,0.04151356710122651,0.4354185566132344
