Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.19084812136301227,0.10591115976865452
t1,ID,0,-0.06005665063208043,0.06559577732941103
t1,ID,678,-0.058956333741729545,0.400956701183421
t1,ID,728,-0.14807976251333854,0.3818131996537729
t1,ID,2284,-0.1464640127042923,0.412797170763353
t1,ID,817,-0.14480944699033169,0.35569750431489056
t1,ID,2611,-0.17125059469386014,0.28475979625281966
t1,ID,684,0.01683214525686001,0.38092796932506084
t1,ID,674,-0.10523613712224827,0.39744323929983777
t1,ID,2281,0.043295624377754055,0.355847160088434
t1,ID,366,0.0004130359872373695,0.40182965488601224
t1,ID,368,-0.061600443174810365,0.4065569858830115
t1,ID,1369,0.022934084813779662,0.42100515348846285
t1,ID,355,-0.019098375563109254,0.3906905894248361
t1,ID,364,-0.1176276942941246,0.3557987555362068
t1,ID,1367,-0.04563171822527889,0.4265698464292626
t1,ID,1417,-0.04063221568869947,0.4055729232941065
t1,ID,322,-0.035185205398058195,0.3651176531224144
t1,ID,328,0.026623702706971324,0.39233077241778963
t1,ID,1338,0.058445676070889775,0.37867343521008845
t1,ID,323,-0.048928991928692586,0.4404331651201804
t1,ID,327,0.006794083033135097,0.3770317165282722
t1,ID,1336,0.03591087436988649,0.3983115433148365
t1,ID,1342,0.08276946001468853,0.38850163533109183
t1,ID,371,-0.06415757237801113,0.37455808290870307
t1,ID,1396,0.030019385824469277,0.38090785897372137
t1,ID,1480,0.03811396544895078,0.4376914550584798
t1,ID,438,-0.0770217421421717,0.3656766308152213
t1,ID,431,-0.18175972634577822,0.4228229008197849
t1,ID,1467,-0.23728272498143355,0.38415596666786955
t1,ID,2039,-0.09299019523135066,0.35643775015252266
t1,ID,350,0.009888341598215628,0.3698479428760269
t1,ID,349,-0.09880496655744987,0.39867990621656385
t1,ID,1357,-0.07395683221422986,0.4037729648423077
t1,ID,353,-0.07274459022762755,0.39328193608351486
t1,ID,361,-0.0967163973469195,0.4152578359417451
t1,ID,1361,-0.1115834070801067,0.3449540669380134
t1,ID,1409,-0.06493762260503998,0.38316766884531367
t1,ID,346,-0.1274303992767559,0.3956573230801685
t1,ID,338,-0.004625274216803038,0.3901692014747512
t1,ID,1347,-0.05438309658934816,0.4026225735061301
t1,ID,333,-0.08417303322213424,0.4044906777939989
t1,ID,329,-0.025910837230942733,0.40001408486251666
t1,ID,1339,-0.11198638016438923,0.3723114418262115
t1,ID,1390,-0.14877140647689607,0.3757459863435978
t1,ID,1462,-0.19647273788283856,0.33851398422769047
t1,ID,448,-0.10434197797273997,0.36980491111960423
t1,ID,451,-0.010183296149102138,0.43583459026692756
t1,ID,1486,-0.06282573530475528,0.34967652392881615
t1,ID,2045,-0.1356895589455792,0.3578489493828535
t1,ID,2139,-0.006452156988653096,0.4223591628740323
t1,ID,2643,0.33540286437657235,0.3999560863612428
t1,ID,3266,0.08060492981760238,0.3606852172927084
t1,ID,337,-0.12611500670710457,0.41628926484286255
t1,ID,1349,-0.15631474201419263,0.39640277056919543
t1,ID,356,-0.07793945085864634,0.4056623398464897
t1,ID,352,-0.10265916948926955,0.403242596102615
t1,ID,1358,-0.0900002208843387,0.42779902845660067
t1,ID,1406,-0.19236153304022607,0.3742871554993537
t1,ID,445,-0.11197445907512302,0.3428373062912402
t1,ID,1469,-0.2040171971437365,0.30550622846637815
