Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.310240869221088,0.12578942649472666
t1,ID,0,-0.022539541381834075,0.06626860233462492
t1,ID,678,0.011316667840666133,0.3789692147770133
t1,ID,728,-0.05100300771270304,0.4187833979408508
t1,ID,2284,-0.06650914248912866,0.38243193889698107
t1,ID,817,0.002322067233071245,0.41082468890522567
t1,ID,2611,-0.03721556511395163,0.3247409454503937
t1,ID,684,0.14463779350816058,0.34287813193764727
t1,ID,674,-0.025049574102390487,0.38452291498887403
t1,ID,2281,0.21364515052587157,0.3811145856515776
t1,ID,366,0.0064400504837729,0.394041488738636
t1,ID,368,0.023897575835915487,0.38096032752175946
t1,ID,1369,0.03792467660475981,0.38754899033406104
t1,ID,355,-0.07291977528497189,0.3930476556829236
t1,ID,364,0.025419858449256538,0.4579293089937316
t1,ID,1367,-0.05314092756780481,0.3721714218449548
t1,ID,1417,0.022019107349980527,0.3332451155004661
t1,ID,322,0.024564848701488538,0.3421036047360634
t1,ID,328,0.033764555788575096,0.42718250065632657
t1,ID,1338,0.05780424551945001,0.3759931498962291
t1,ID,323,0.0795340068589379,0.43568248292797956
t1,ID,327,0.0365775853774413,0.372587149763796
t1,ID,1336,0.17592776336509228,0.42424594590041176
t1,ID,1342,0.1868022095347219,0.35382544495374857
t1,ID,371,0.0131408281550219,0.42755996258751655
t1,ID,1396,0.1637936840762929,0.3554859870975015
t1,ID,1480,0.20246302987571765,0.3782649918938964
t1,ID,438,-0.021520513828703788,0.3983970850555731
t1,ID,431,-0.09957483692073207,0.3695025470134537
t1,ID,1467,-0.1540606670386107,0.3733184821818473
t1,ID,2039,0.019197527067305434,0.3573414969660749
t1,ID,350,0.03076594047076902,0.36343324253547554
t1,ID,349,0.047827857848733085,0.4156525896351447
t1,ID,1357,0.03494733975986401,0.35449209231123635
t1,ID,353,-0.06726891907875535,0.41763296917119397
t1,ID,361,-0.08641573482159236,0.33035458605354956
t1,ID,1361,-0.08234864649533871,0.3884743962183671
t1,ID,1409,-0.07503938689848516,0.3575541367094797
t1,ID,346,-0.025323996086074576,0.3634517406742065
t1,ID,338,-0.016152111046857993,0.4172078719448608
t1,ID,1347,0.04030029396229762,0.40459360945866746
t1,ID,333,-0.037151131678665114,0.4419603456000473
t1,ID,329,-0.01801587853725022,0.3674830317772271
t1,ID,1339,-0.03627603620701561,0.4076849567835819
t1,ID,1390,-0.03339896007800962,0.35061413694027116
t1,ID,1462,-0.10842589407858164,0.33913712082117425
t1,ID,448,-0.1328909096671097,0.379825211807392
t1,ID,451,-0.03831497273773218,0.4204445948147614
t1,ID,1486,-0.054802684973400136,0.43112993434837954
t1,ID,2045,-0.11405728561055309,0.35831206044358954
t1,ID,2139,0.025108291922037555,0.34639774422486386
t1,ID,2643,0.4335748862435077,0.37218104682451186
t1,ID,3266,0.18887089776526797,0.34269211166109526
t1,ID,337,-0.056275250244844026,0.4305388848328192
t1,ID,1349,-0.07656328840440363,0.38967111358948087
t1,ID,356,-0.01490319972914075,0.4054437435873335
t1,ID,352,0.06099040661569985,0.39434183018045027
t1,ID,1358,0.05343875257478777,0.41772501310471416
t1,ID,1406,-0.039531570830141194,0.37337994808653235
t1,ID,445,-0.031682714379483175,0.40899377764638956
t1,ID,1469,-0.07749838425512393,0.40257004170304655
t1,ID,403,0.012359348258863223,0.32827552311873065
t1,ID,411,0.014745796504263893,0.36016900192236967
t1,ID,1423,-0.03436540654336599,0.3250434386003206
t1,ID,387,-0.0848335844329487,0.3463909501338946
t1,ID,375,0.0011311685274750557,0.3629489888939569
t1,ID,1402,-0.029693828285990213,0.41692995903982544
t1,ID,1492,0.06602849115978673,0.33378411155248433
t1,ID,2063,-0.08790621947946745,0.37829281200996523
t1,ID,2220,-0.10659182960599503,0.32369088441014526
t1,ID,362,-0.1720017347983016,0.37717601835149467
t1,ID,1366,-0.15650327929949773,0.37101738737904205
t1,ID,339,-0.04310302165342929,0.3559034742126949
t1,ID,1348,-0.046659015287491605,0.32441292268691685
t1,ID,1412,-0.07113274129480442,0.29593134421672174
t1,ID,372,0.012963365814549715,0.3584076356663235
t1,ID,369,-0.08276101658263145,0.4044375949908396
t1,ID,1370,-0.020390629710759098,0.411931119599977
t1,ID,1478,-0.12469236707641781,0.2938643688086606
t1,ID,354,-0.026667970108125195,0.3669410576974496
t1,ID,344,-0.07433652182723803,0.39562131885442503
t1,ID,1359,-0.04821327653526846,0.3589312824224558
t1,ID,343,-0.06911796163605008,0.3758037255126297
t1,ID,332,-0.05342910100833187,0.42548027608861033
t1,ID,1344,-0.0980693164967935,0.37567279793368147
t1,ID,1408,-0.18710129643849727,0.338133717938037
t1,ID,386,-0.03552460601319957,0.44676372373988416
t1,ID,374,-0.08292697007824734,0.4311726844964781
t1,ID,1398,-0.14536677892119557,0.44911921772903973
t1,ID,1472,-0.2977806168124126,0.3658012351584337
t1,ID,2032,-0.1790402003224923,0.32271992447415393
t1,ID,722,0.05968307283758777,0.35138451641315455
t1,ID,2349,-0.06598565481916692,0.3169124833909111
t1,ID,2595,-0.236138064544349,0.29517878587775703
t1,ID,741,0.12289085691489102,0.3909642635421189
t1,ID,753,0.03912976639173192,0.3887745847774619
t1,ID,2320,0.18891224456933176,0.3851341114016684
t1,ID,690,0.08175585723695473,0.3718136966959382
t1,ID,715,0.003116276883442873,0.38478399706427563
t1,ID,2259,0.10314598301327806,0.3706361636498507
t1,ID,2905,0.17277871564632338,0.341527311094568
t1,ID,3551,0.026443061075132293,0.3515512871424439
t1,ID,4304,0.2018507431714792,0.32138978880390817
t1,ID,2347,0.009352525542471866,0.30100511931044177
t1,ID,378,0.0023829620178310623,0.3612785759521759
t1,ID,359,-0.012825495187273122,0.4257993457427438
t1,ID,1386,-0.05889357347450506,0.3798078824434358
t1,ID,345,-0.0846140890836773,0.3659662014796703
t1,ID,340,-0.007709400802873487,0.3873959370576225
t1,ID,1351,-0.06870039794602774,0.39586565516565575
t1,ID,1393,-0.0851543286125972,0.3863939016233009
t1,ID,1452,0.006682929905491013,0.4011472577244616
t1,ID,377,-0.0570361095431582,0.36431419427591577
