Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.373636622074576,0.12010629784108011
t1,ID,0,0.21434418076727746,0.0609066484521362
t1,ID,678,0.17751723592619964,0.38755052639016196
t1,ID,728,0.15475050008910654,0.38272109072952654
t1,ID,2284,0.13674935536192812,0.32931858473075776
t1,ID,817,0.22086947226138706,0.3841267157510965
t1,ID,2611,0.12173005847010353,0.3685721473646791
t1,ID,684,0.3295887424042981,0.3699886815423961
t1,ID,674,0.27139927487089494,0.39377045885900175
t1,ID,2281,0.38225677881840414,0.38708184804307594
t1,ID,366,0.20420153000079466,0.3580316812248405
t1,ID,368,0.25197881917204906,0.44709995752622966
t1,ID,1369,0.22819914019446239,0.34968404156218236
t1,ID,355,0.18232452680453953,0.4042974641261011
t1,ID,364,0.15202203995986222,0.3861044586200866
t1,ID,1367,0.16487150632573946,0.4077089633604403
t1,ID,1417,0.17482384543435894,0.33194405811299227
t1,ID,322,0.17553249869788676,0.39205567404408315
t1,ID,328,0.26262275101527993,0.41746229038118376
t1,ID,1338,0.2346122381488966,0.34865803911296817
t1,ID,323,0.2409671940268307,0.3884782272337926
t1,ID,327,0.21148289557412148,0.37484172767840995
t1,ID,1336,0.21570479840597898,0.3631270105029896
t1,ID,1342,0.2282252266610945,0.3389656821873491
t1,ID,371,0.14533368026615384,0.3904475355424764
t1,ID,1396,0.19738744404088476,0.3684669226341967
t1,ID,1480,0.2290711278781847,0.34460457734820227
t1,ID,438,0.15284748643356214,0.4497915450269402
t1,ID,431,0.08717039723853817,0.41505392305970457
t1,ID,1467,-0.026540051077740087,0.4226821724559083
t1,ID,2039,0.1134594866790197,0.35882917262337216
t1,ID,350,0.24030675923942568,0.37643339667697073
t1,ID,349,0.21149293328931804,0.38239115540997565
t1,ID,1357,0.18480205174116018,0.3794917135171599
t1,ID,353,0.25194716944090695,0.4230053471864009
t1,ID,361,0.20105969116182837,0.42781077024018704
t1,ID,1361,0.2024480857137002,0.4287220892119219
t1,ID,1409,0.1746079671164057,0.3906205310663577
t1,ID,346,0.27527727700184873,0.3740309507937854
t1,ID,338,0.2135503258288873,0.3768830685490122
t1,ID,1347,0.2625584115893253,0.3929460873930817
t1,ID,333,0.17571631151407835,0.41320311786394237
t1,ID,329,0.20823506983273582,0.3917290481745271
t1,ID,1339,0.18186030537534537,0.39870102542961766
t1,ID,1390,0.19947691981047086,0.37820817496582304
t1,ID,1462,0.13644843233596154,0.40639840035545344
t1,ID,448,0.12319279922904616,0.3642672353490517
t1,ID,451,0.22719088174185345,0.36981142269550493
t1,ID,1486,0.20011928729449047,0.3770313569481163
t1,ID,2045,0.12124732039262567,0.3621621379847175
t1,ID,2139,0.16330143768922895,0.3878791960266168
t1,ID,2643,0.5310997692544008,0.37352911676351896
t1,ID,3266,0.29524956335673785,0.3297150987756769
t1,ID,337,0.17227854817073474,0.42481451704450496
t1,ID,1349,0.24827554501913796,0.4442025406969813
t1,ID,356,0.16841131528385944,0.3463882520536933
t1,ID,352,0.25635539270922025,0.3971205834751362
t1,ID,1358,0.19747925609685374,0.31633637413153814
t1,ID,1406,0.16942932974788924,0.3501379473230108
t1,ID,445,0.12132694351672177,0.3985602364074666
t1,ID,1469,0.14131506829235918,0.37591255333711576
t1,ID,403,0.25306590976371574,0.43691279629522634
t1,ID,411,0.25382937017646334,0.3465835773118504
t1,ID,1423,0.243390746723187,0.3625124025697539
t1,ID,387,0.12913337844998352,0.4240029237729059
t1,ID,375,0.2600657434005887,0.35087261020198485
t1,ID,1402,0.1807806378998996,0.3860175335419461
t1,ID,1492,0.2172631559376227,0.3387062680121672
t1,ID,2063,0.07745493049280966,0.3578900279575295
t1,ID,2220,0.10360018790147477,0.3605618603933135
t1,ID,362,0.06176775879278934,0.39182344915238565
t1,ID,1366,0.11898796707979124,0.41642902971966533
t1,ID,339,0.20078204588623255,0.39205136388817996
t1,ID,1348,0.20861247728504478,0.37036568012672444
t1,ID,1412,0.165404457612921,0.3807157068363881
t1,ID,372,0.15415976352366162,0.3827623156900158
t1,ID,369,0.14472638985288985,0.41401247029517796
t1,ID,1370,0.0926956757347985,0.3850906706956968
t1,ID,1478,0.02102798469050112,0.3767619157541379
t1,ID,354,0.15812296452006488,0.3961452722592305
t1,ID,344,0.19557112071556515,0.4001897022913074
t1,ID,1359,0.18092124476222007,0.37348176298445435
t1,ID,343,0.17726491186190765,0.4024193392623681
t1,ID,332,0.1642689822162532,0.37434044013877243
t1,ID,1344,0.13146607938321672,0.3704600203111288
t1,ID,1408,0.10507612292997677,0.3301343071436752
t1,ID,386,0.0953576502254627,0.3691787387359443
t1,ID,374,0.20267388200634778,0.41537369385540257
t1,ID,1398,0.10097392365345038,0.4052840295068535
t1,ID,1472,0.01741477172215311,0.3443554640690323
t1,ID,2032,0.0666944390614321,0.3370662375513105
t1,ID,722,0.3020349202866281,0.33525576501712834
t1,ID,2349,0.20764235798044473,0.355254932162534
t1,ID,2595,0.03658266632784658,0.2958924331776642
t1,ID,741,0.2652537595176968,0.3518746885109608
t1,ID,753,0.3441007576114639,0.37308424167946863
t1,ID,2320,0.3408018667205768,0.34976550071804785
t1,ID,690,0.2901541010069994,0.3692845309147333
t1,ID,715,0.26386220247895814,0.37493702349090974
t1,ID,2259,0.35816091346424195,0.41141393693449463
t1,ID,2905,0.3714614311198761,0.39986058283762166
t1,ID,3551,0.26628470947286764,0.4069681523675561
t1,ID,4304,0.3466678665788981,0.3755124577409883
t1,ID,2347,0.29580672248721424,0.37506537943513146
t1,ID,378,0.2077061265873587,0.37711074778285353
t1,ID,359,0.20680049057912103,0.3745232209060847
t1,ID,1386,0.15049889701871774,0.3246710022701482
t1,ID,345,0.19368378648266457,0.37741954165060204
t1,ID,340,0.17836154389838074,0.3725029194648429
t1,ID,1351,0.15963690995994856,0.39454025545941457
t1,ID,1393,0.1615891457504515,0.38784542019212154
t1,ID,1452,0.22383198897172327,0.4227065265762436
t1,ID,377,0.2256561699661771,0.347644178946207
t1,ID,1380,0.2531522195376968,0.3943300984623152
t1,ID,382,0.21905303855314143,0.3840019854017919
t1,ID,1378,0.29844708170571593,0.3667593601915025
t1,ID,1439,0.2711178282701975,0.42216141769096055
t1,ID,1531,0.33022116863381773,0.40946163174060196
t1,ID,489,0.1576500725248865,0.3737507770137971
t1,ID,2091,0.22938365362712868,0.41285074303567587
t1,ID,370,0.23446666578082598,0.42601432539441286
t1,ID,379,0.22923700102876618,0.38529104415503096
t1,ID,1375,0.3061742308932449,0.38793440640477395
t1,ID,1495,0.21217598464642462,0.3407944909233872
