Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.19205639993070456,0.08690439078808204
t1,ID,0,-0.014068637415424556,0.061119597587907165
t1,ID,678,-0.02938378736470706,0.3624330786864486
t1,ID,728,-0.10927440135608556,0.38354727910055614
t1,ID,2284,-0.08747692441456255,0.3578995320622612
t1,ID,817,-0.055835200265552797,0.33176340318894254
t1,ID,2611,-0.10359964058761605,0.31484350758245644
t1,ID,684,0.1142975367813081,0.3640205427172557
t1,ID,674,0.026143207741334388,0.38873276060715406
t1,ID,2281,0.19215123504642648,0.3189950390740557
t1,ID,366,-0.005217263112918784,0.3631251849246316
t1,ID,368,0.026563281503773743,0.37584765288570376
t1,ID,1369,0.025707749615762943,0.39753321222691335
t1,ID,355,-0.08812153508870792,0.3619994356725995
t1,ID,364,-0.031690389078786484,0.4108551697457097
t1,ID,1367,-0.001332448865465709,0.36619341754321405
t1,ID,1417,0.010295558765274184,0.32877026187255437
t1,ID,322,-0.02109130387033944,0.4102655278767787
t1,ID,328,0.014297646093922207,0.41751645139947124
t1,ID,1338,0.014314734464860913,0.40329618240163756
t1,ID,323,-0.04087921884508959,0.3632719753712463
t1,ID,327,0.046438213741464215,0.3461812464266675
t1,ID,1336,0.005652684238771874,0.3400614904862983
t1,ID,1342,0.051293611045830426,0.3324552692234513
t1,ID,371,0.023980982845182502,0.42707529627750274
t1,ID,1396,0.11126942095534839,0.38575078552596076
t1,ID,1480,0.14735259329767325,0.27680968816681156
t1,ID,438,0.014625875881365366,0.3711548877640412
t1,ID,431,-0.12539758940530601,0.4280890970557488
t1,ID,1467,-0.1806225087925314,0.4041214571626082
t1,ID,2039,0.05118078648798764,0.29950355555082714
t1,ID,350,0.11282995343405891,0.3361157016553399
t1,ID,349,-0.024242774918591326,0.4022413250367975
t1,ID,1357,0.05032464411123895,0.381322472418756
t1,ID,353,-0.023075977015809677,0.38516550251069603
t1,ID,361,-0.04222791560974144,0.3822341331642085
t1,ID,1361,-0.04976508059067013,0.3599444954474864
t1,ID,1409,-0.099922041166087,0.3091966726338719
t1,ID,346,-0.027590963941623144,0.36420495213111825
t1,ID,338,0.015026381805558452,0.3620622201678502
t1,ID,1347,0.005845416932047936,0.35572756199871086
t1,ID,333,-0.04170014034150973,0.3611054963881349
t1,ID,329,-0.050581166670874284,0.3579318861450589
t1,ID,1339,-0.05875710116633026,0.3613822524713849
t1,ID,1390,-0.04912224302823918,0.3420210026773269
t1,ID,1462,-0.1415049257923883,0.319754304215901
t1,ID,448,-0.05971215057364317,0.42244356058289434
t1,ID,451,0.0064948902856991906,0.36967009699453823
t1,ID,1486,-0.0035579352302070448,0.3357821200503224
t1,ID,2045,-0.004480225340021718,0.34933621094069783
t1,ID,2139,0.11707234026712646,0.32960128244434944
t1,ID,2643,0.4430177581962526,0.3548254297737141
t1,ID,3266,0.16694017888865326,0.34156754162674485
t1,ID,337,-0.012451795356497965,0.3429053442834207
t1,ID,1349,-0.04806434923800513,0.2960687903762226
t1,ID,356,-0.06699553675566354,0.3907930514344918
t1,ID,352,-0.0006019826887499898,0.4039651470348179
t1,ID,1358,-0.0378198194873866,0.41417048538130796
t1,ID,1406,-0.06236406940143549,0.36173278380269336
t1,ID,445,-0.018453586534928228,0.3609010708229357
t1,ID,1469,-0.06455173608438255,0.3553030156120045
t1,ID,403,0.008591383725942788,0.33869021353763207
t1,ID,411,-0.06723867514517505,0.35980600148122793
t1,ID,1423,0.001347742000732799,0.33228213314360594
t1,ID,387,-0.02383473380454012,0.3436848019024063
t1,ID,375,-0.04308198590016163,0.353058749793406
t1,ID,1402,0.002965562925833199,0.3690790348658077
t1,ID,1492,0.053916332145291845,0.35310438598725485
t1,ID,2063,-0.14914629167548976,0.31582676063724613
t1,ID,2220,-0.09176334828249134,0.3776966474497974
