Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.3292074266123501,0.11971520850535182
t1,ID,0,0.10676695076372031,0.08851173549170514
t1,ID,678,0.1375802616935301,0.36594000538706084
t1,ID,728,0.03581628160659954,0.41207711809780156
t1,ID,2284,0.0554101076574536,0.37411120886869215
t1,ID,817,0.04531268399036454,0.4066828656654532
t1,ID,2611,-0.004887634851264979,0.3784640711904227
t1,ID,684,0.23842861040022098,0.37924576218316475
t1,ID,674,0.03644433228605824,0.38025359072952175
t1,ID,2281,0.1881794294838769,0.34681195169229867
t1,ID,366,0.15367671239437256,0.380928737342876
t1,ID,368,0.07745764699749841,0.38298516801685395
t1,ID,1369,0.12035451671862431,0.348673688603255
t1,ID,355,0.15629875703359852,0.40417947488022654
t1,ID,364,0.12791730529800013,0.3537005010239581
t1,ID,1367,0.16140985668621932,0.36354507167900835
t1,ID,1417,0.12275454516343721,0.377161160109789
t1,ID,322,0.1414710689805879,0.4119477295442295
t1,ID,328,0.132324873527706,0.43753151089855075
t1,ID,1338,0.1435303633394775,0.4625384725510282
t1,ID,323,0.09826179812614581,0.3445452693611525
t1,ID,327,0.05804821282235673,0.4046466014644887
t1,ID,1336,0.07517214749185974,0.3860727528737363
t1,ID,1342,0.13618506703761096,0.4234835628502904
t1,ID,371,0.1523343607265231,0.40310217485605826
t1,ID,1396,0.22087465970437997,0.42431950085237163
t1,ID,1480,0.2351097809720401,0.33685789427586615
t1,ID,438,0.07743565831397571,0.3555268322046967
t1,ID,431,0.015888431765728822,0.4266724197666653
t1,ID,1467,-0.11530267992477501,0.38064500430026227
t1,ID,2039,0.10418830573040201,0.31602211254393986
t1,ID,350,0.11393258195729716,0.3648871557054325
t1,ID,349,0.06448605181555142,0.38525374924816685
t1,ID,1357,0.050944198962994916,0.4044441839411455
t1,ID,353,0.1624330204533569,0.3914801872219433
t1,ID,361,0.057886937716535546,0.4148468957229102
t1,ID,1361,0.05794814977073189,0.38046894946392196
t1,ID,1409,0.04234727153640656,0.3854252154505999
t1,ID,346,0.09039767702908227,0.38038904041956856
t1,ID,338,0.09663889095463556,0.37140744508129825
t1,ID,1347,0.041926066386647066,0.3563630507043593
t1,ID,333,0.15793302922589036,0.41917251151076396
t1,ID,329,0.05889149310453013,0.39673020094504136
t1,ID,1339,0.08836365980125568,0.38953968179666965
t1,ID,1390,0.011693919681174173,0.3520091368401474
t1,ID,1462,-0.08072329318701704,0.34486699803938364
t1,ID,448,0.015601218466175331,0.4293585412125741
t1,ID,451,0.18691746271304002,0.47816295238904405
t1,ID,1486,0.1234253411077677,0.38681724376437215
t1,ID,2045,-0.009180758660891158,0.36881551480750707
t1,ID,2139,0.11269425766696317,0.33315734719427686
t1,ID,2643,0.46515598036757916,0.35715134727419523
t1,ID,3266,0.18888455049074662,0.3184579143914423
t1,ID,337,0.014556408812395415,0.3790770790108296
t1,ID,1349,-0.021381742859905722,0.39429978010583344
t1,ID,356,0.13704738771069974,0.44705256344219296
t1,ID,352,0.14012800196413933,0.38974687978534683
t1,ID,1358,0.15597039471344193,0.39611153975918595
t1,ID,1406,0.04587274046057019,0.41626483306653483
t1,ID,445,0.1424112575381961,0.3395856922210212
t1,ID,1469,0.037494318231449594,0.3846933598999258
t1,ID,403,0.06582542466100283,0.3753981708915544
t1,ID,411,0.1370725119642318,0.43198204874379786
t1,ID,1423,0.17269018671338807,0.3875918362127674
t1,ID,387,0.07122374565121803,0.3667618138659729
t1,ID,375,0.16613595479599855,0.4747212829378062
t1,ID,1402,0.09428872532647413,0.42461941860769886
t1,ID,1492,0.15990561398508765,0.39259617741382985
t1,ID,2063,0.02642775679213029,0.3425717444770915
t1,ID,2220,-0.08427281228578279,0.3443940217083878
t1,ID,362,-0.11454368603249127,0.35523412187265613
t1,ID,1366,-0.011356436912429794,0.35191964504153106
t1,ID,339,0.15570399546336963,0.32710332861486907
t1,ID,1348,0.14065565521657056,0.3652574556385327
t1,ID,1412,0.0791815601806958,0.3218010958524278
t1,ID,372,0.047827515039249126,0.4466082798582641
t1,ID,369,0.03399057269765029,0.4111510640127298
t1,ID,1370,0.019795337886283786,0.3930673659553749
t1,ID,1478,-0.00046358049626107466,0.33328489540527767
t1,ID,354,0.06577398699302037,0.39295270011894406
t1,ID,344,0.13270486239339174,0.3879908315414082
t1,ID,1359,0.03988428706753835,0.3493950458916058
t1,ID,343,0.08552152097505479,0.4098794074710691
t1,ID,332,0.12345074369625929,0.3762272650482318
t1,ID,1344,0.06661101985812118,0.3847009762285639
t1,ID,1408,-0.026390162622150475,0.35336833375553395
t1,ID,386,0.04632341575675124,0.37756457712819186
t1,ID,374,0.049058053427831545,0.3957090578795285
t1,ID,1398,-0.0067766287609529255,0.39285554605452017
t1,ID,1472,-0.09263054627246971,0.3948157298766213
t1,ID,2032,0.030516807281474784,0.3726000190510136
t1,ID,722,0.1867443359028718,0.3629939609052858
t1,ID,2349,0.1874238951244495,0.34927597526649373
t1,ID,2595,-0.10530214936222423,0.36056684814527407
t1,ID,741,0.16853217945297433,0.3934751217812412
t1,ID,753,0.25200225534699044,0.41345642847254577
t1,ID,2320,0.30759693332592997,0.4435861320164961
t1,ID,690,0.1917137792509105,0.4231009537831135
t1,ID,715,0.1896922662159657,0.43579601466867185
t1,ID,2259,0.2617238582075491,0.4376746520701328
t1,ID,2905,0.2816101425300115,0.4306651137551644
t1,ID,3551,0.15888022668616916,0.3844257854459717
t1,ID,4304,0.28286938397882233,0.4019436347872495
t1,ID,2347,0.18786130143036306,0.3262400013247763
t1,ID,378,0.1308771819710298,0.34213510340938097
t1,ID,359,0.11585714241004957,0.4041346457861243
t1,ID,1386,0.061882362586019674,0.3711554301433773
t1,ID,345,0.06397725295202514,0.3804872296878935
t1,ID,340,0.06455621357945075,0.3769557453543341
t1,ID,1351,0.088041728037318,0.39033406247671937
t1,ID,1393,-0.026569786849786232,0.38852304373042473
t1,ID,1452,0.061509493708475,0.33237168606799816
t1,ID,377,0.11532991560826517,0.3962121461772403
t1,ID,1380,0.09376884535366348,0.3846993738794588
t1,ID,382,0.17532129008919298,0.40312527450328905
t1,ID,1378,0.15575485928604255,0.38591393382862244
t1,ID,1439,0.18112731662949189,0.40685104062961286
t1,ID,1531,0.18974576036850938,0.408599027987465
t1,ID,489,0.09065027766347478,0.38194321877739984
t1,ID,2091,0.10848845802167943,0.40992167176555894
t1,ID,370,0.10126869206066529,0.37641649422970275
t1,ID,379,0.13922495714973093,0.4654555240608818
t1,ID,1375,0.17072878107304906,0.39740873562026496
t1,ID,1495,0.11725061010299644,0.31421801575151775
t1,ID,426,0.06403293130868228,0.4076763350131645
t1,ID,1476,0.04284612812123556,0.35187720372181697
t1,ID,2051,-0.00418932658766723,0.3201166602001508
t1,ID,2258,0.03746044427932221,0.405584354285467
t1,ID,2655,0.1657669581519813,0.31799740631827067
t1,ID,475,0.11433403672830236,0.3748518834171503
t1,ID,477,0.12875858100370696,0.37762571510364906
t1,ID,2069,0.13479790748301893,0.39720933871125036
t1,ID,381,0.08553593592325784,0.43669024249180516
t1,ID,1376,0.19327069442242198,0.4041327322240411
t1,ID,363,0.12534885259914555,0.45870501639263245
t1,ID,1362,0.22456942232943541,0.42915545208989675
t1,ID,1427,0.27879430132085903,0.3510645642304716
t1,ID,419,0.1940174595999698,0.3279502303085975
t1,ID,412,0.2498942437968724,0.43189960321547777
t1,ID,1437,0.33346571437874584,0.3805775203295503
t1,ID,1516,0.5594515276032205,0.36998364689411967
t1,ID,2212,0.3788477462107872,0.3400250471567477
t1,ID,2700,0.3619168341713913,0.33214141836831895
t1,ID,3355,0.36729673509784394,0.291179423671593
t1,ID,757,0.026767195924642863,0.34742837870610416
t1,ID,452,0.11703760377601512,0.3694515451764758
t1,ID,1487,0.15318632963774723,0.39374977185911036
t1,ID,2031,0.32284756859619224,0.3148781722891625
t1,ID,376,0.15008014155863236,0.4075711274693628
t1,ID,1371,0.050584701841424294,0.3601260369383658
