Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.365625308809986,0.09895821615821966
t1,ID,0,0.0795943118776488,0.061526325726178874
t1,ID,678,0.0285091587514354,0.41359495031779975
t1,ID,728,0.035710939798988456,0.43644435227728773
t1,ID,2284,0.008100388316083316,0.38261262551317504
t1,ID,817,0.05791206087075506,0.4275062296144949
t1,ID,2611,0.03804534848971048,0.359265659014233
t1,ID,684,0.07020681746295933,0.3511360927147438
t1,ID,674,0.022882147243891756,0.43988680175461803
t1,ID,2281,0.14525629425436057,0.39741178070080396
t1,ID,366,0.0908614509118837,0.35626755380955927
t1,ID,368,0.06883322736816451,0.41829298079686844
t1,ID,1369,0.04155374389040145,0.3806532473204421
t1,ID,355,0.053661351858359435,0.3677710409256843
t1,ID,364,0.06800302336525378,0.4200194541738189
t1,ID,1367,-0.00660559627378138,0.36386348560571496
t1,ID,1417,0.016060259084997242,0.3525754145853872
t1,ID,322,0.06290261884216332,0.3806271409453751
t1,ID,328,0.06304868770624299,0.4346444198112227
t1,ID,1338,0.07604309276841723,0.41303855164912273
t1,ID,323,0.1255378923598424,0.39741266628193783
t1,ID,327,0.08650340685197763,0.4311401117581559
t1,ID,1336,0.12260264235165054,0.4072414281006368
t1,ID,1342,0.12696167593023505,0.37470075635745215
t1,ID,371,0.027691838593249703,0.3786200039760079
t1,ID,1396,0.12462736323443688,0.38227761062287846
t1,ID,1480,0.1415307647828205,0.3692712746976649
t1,ID,438,0.13590950439481564,0.37626485384237046
t1,ID,431,-0.05485537335762602,0.4068114891521505
t1,ID,1467,-0.05110441078206382,0.35870576507324686
t1,ID,2039,0.07391737659443948,0.3289470055293361
t1,ID,350,0.05084063879871318,0.4109452719624831
t1,ID,349,0.06620145999544633,0.3875308508469744
t1,ID,1357,0.0008401140408236386,0.40815806402153026
t1,ID,353,0.17394052190233622,0.35222795040247357
t1,ID,361,0.08546007984359584,0.39579076216706804
t1,ID,1361,0.11368218117412963,0.3914577326068277
t1,ID,1409,0.005492737305301077,0.37060278271826697
t1,ID,346,0.027299749406532764,0.410875521043562
t1,ID,338,0.0531846920215787,0.3761460970768434
t1,ID,1347,0.04369896731946667,0.4074290558030778
t1,ID,333,0.02018209071604493,0.36107077305303165
t1,ID,329,0.040473457094393706,0.4056716216233782
t1,ID,1339,0.02271553302906139,0.37698668294731785
t1,ID,1390,0.0034508013745222625,0.3558925162522116
t1,ID,1462,-0.06307774015597634,0.35098679250735354
t1,ID,448,0.00926289313744207,0.3756395390347087
t1,ID,451,0.09462267355296537,0.42908247312812087
t1,ID,1486,0.10159747696597535,0.377480757739985
t1,ID,2045,0.027657155629926104,0.35663124896080234
t1,ID,2139,0.11245354366858609,0.3121938806092635
t1,ID,2643,0.3342018746926108,0.3677134155104384
t1,ID,3266,0.17983972554431696,0.3417303941027829
t1,ID,337,0.047011976254807235,0.42794159596968423
t1,ID,1349,-0.015969964748712817,0.37047079436446667
t1,ID,356,0.061443555519255094,0.43933404545951804
t1,ID,352,0.04029028636632211,0.3871471886277001
t1,ID,1358,0.039872536891196776,0.4187763588736683
t1,ID,1406,-0.0035365566975185015,0.36442675450582623
t1,ID,445,-0.025554086773341644,0.4234769795755798
t1,ID,1469,-0.09119205942012669,0.3847259544749889
t1,ID,403,0.09671274663225726,0.4309952944902948
t1,ID,411,0.11379966278816844,0.44835838843262676
t1,ID,1423,0.0970738010148673,0.384028045461811
t1,ID,387,0.124290442822934,0.40113336305401587
t1,ID,375,0.07748827757668021,0.36415861705380825
t1,ID,1402,0.12457869512552416,0.38757370979024275
t1,ID,1492,0.10385686542426259,0.38118721852846366
t1,ID,2063,-0.10793204960545959,0.4088540643284535
t1,ID,2220,-0.12282354122357671,0.393079392678819
