Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.5264365432714112,0.2012059187486966
t1,ID,0,0.11983111870940771,0.11084111674670742
t1,ID,678,0.17204467402771112,0.3662364009445751
t1,ID,728,0.055222919685766106,0.3835169738115279
t1,ID,2284,0.03278153289109467,0.38994486289649877
t1,ID,817,0.0525185277312994,0.39129543564605984
t1,ID,2611,-0.01271458547562362,0.3465413962748737
t1,ID,684,0.1685833830479532,0.4378823186740204
t1,ID,674,0.1816847630217671,0.4048609488550513
t1,ID,2281,0.24463274175301175,0.3440005397484402
t1,ID,366,0.1502261837339029,0.4092996723232305
t1,ID,368,0.18115565331652764,0.42174768710213734
t1,ID,1369,0.13976682997541506,0.41665464126238255
t1,ID,355,0.13587587088812145,0.3830854729118051
t1,ID,364,0.06954021667828783,0.4382168964690894
t1,ID,1367,0.08381964879808947,0.41391623071045325
t1,ID,1417,0.09238435809966176,0.4003575501866958
t1,ID,322,0.1348553734121379,0.4410521193956829
t1,ID,328,0.11594656211673281,0.413436117065496
t1,ID,1338,0.17791387612931425,0.3745864247497857
t1,ID,323,0.09633718914672498,0.4466398994698414
t1,ID,327,0.1971713807148626,0.3930645586181074
t1,ID,1336,0.1858972915820778,0.41733655978054385
t1,ID,1342,0.2274567740759812,0.3621620164557443
t1,ID,371,0.08375094553804957,0.4028246140338139
t1,ID,1396,0.16661035476834513,0.4152186952024996
t1,ID,1480,0.1820214983215555,0.3626910311245345
t1,ID,438,0.13305422032251957,0.43555683091579916
t1,ID,431,0.04566509766038507,0.4269396875942786
t1,ID,1467,-0.0007081682467832643,0.4722684629347791
t1,ID,2039,0.10164888995233924,0.3515337060534098
t1,ID,350,0.12824195773340763,0.4126508683218403
t1,ID,349,-0.006998230614699429,0.45603683506286974
t1,ID,1357,0.06096881426754409,0.3571991057742941
t1,ID,353,0.10763239304535091,0.4214608678519103
t1,ID,361,0.027881824966752913,0.437729022293424
t1,ID,1361,0.04908315774751827,0.38041836181256994
t1,ID,1409,0.05252529583405703,0.3683931548277206
t1,ID,346,0.10341903067193925,0.39477248413452304
t1,ID,338,0.21532616746146233,0.38271583119009156
t1,ID,1347,0.190643523507315,0.3334498637271194
t1,ID,333,0.08685907762614078,0.40327646064104133
t1,ID,329,0.1619794518267736,0.43803413284478493
t1,ID,1339,0.0786022739787586,0.4529205174994258
t1,ID,1390,0.08338135520461946,0.41017426006008895
t1,ID,1462,0.03407705344026909,0.36605696947573857
t1,ID,448,0.0809981687925756,0.4096902369296026
t1,ID,451,0.142469093054533,0.37186014930689565
t1,ID,1486,0.12305133363232017,0.4473643136141521
t1,ID,2045,0.11769543993053959,0.3649057622450763
t1,ID,2139,0.23786321750609207,0.2796841857227809
t1,ID,2643,0.49053208318538977,0.3282525966825235
t1,ID,3266,0.17919721507932984,0.4050546386690736
t1,ID,337,0.1215819298126735,0.43276004958589886
t1,ID,1349,0.08463739167898895,0.3757303535869665
t1,ID,356,0.1510895696218359,0.40699785604014005
t1,ID,352,0.09972673493204641,0.399104388948244
t1,ID,1358,0.16470874953083697,0.39505798873779074
t1,ID,1406,0.11385681226849555,0.3624550357896727
t1,ID,445,0.06959749679546803,0.39505260255050384
t1,ID,1469,0.12850963951670566,0.42990889055074194
t1,ID,403,0.20865994860418147,0.3912136486506145
t1,ID,411,0.19322033645585182,0.4432472297017635
t1,ID,1423,0.2333002502890303,0.4197220772056342
t1,ID,387,0.12580748300999403,0.40197255208716753
t1,ID,375,0.06518710078700679,0.4193503920120978
t1,ID,1402,0.1552269087596505,0.4593582894081122
t1,ID,1492,0.25896699717850424,0.3976268202399927
t1,ID,2063,0.21158027412369856,0.385674397197458
t1,ID,2220,0.2194159999676049,0.3427441199053998
t1,ID,362,-0.008978459192439935,0.44809546735380407
