Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.23149230017603262,0.19256512473104842
t1,ID,0,0.04210262290784157,0.054800321429992416
t1,ID,678,0.05916596658906204,0.28466976742206346
t1,ID,728,0.004733327049762011,0.3671980210146427
t1,ID,2284,-0.026598084848374136,0.3518111972880512
t1,ID,817,0.01335161037743092,0.3129510054418049
t1,ID,2611,0.0026647467818111084,0.316838748293947
t1,ID,684,0.043141205077990886,0.2985384532939634
t1,ID,674,0.11254943243227902,0.32084085345569874
t1,ID,2281,0.12416310865897685,0.27057950687258514
t1,ID,366,0.05160628465528134,0.2997051082743548
t1,ID,368,0.06361054068431259,0.30263603981591863
t1,ID,1369,0.05372739772079514,0.3040742949654076
t1,ID,355,0.08082467718981208,0.32528919638302745
t1,ID,364,0.020003846569452435,0.32111167223316994
t1,ID,1367,0.0651302018016577,0.32064574955484865
t1,ID,1417,0.06087085950188337,0.30797088592837996
t1,ID,322,0.07285199601319615,0.339291638321112
t1,ID,328,0.0546959936991334,0.3515955705457794
t1,ID,1338,0.09415376579156144,0.3443056054781733
t1,ID,323,0.03970700989797478,0.33199055349440953
t1,ID,327,0.04028455529361962,0.3138138925144446
t1,ID,1336,0.05249036520719527,0.3291787185085139
t1,ID,1342,0.10861914255889132,0.3411378889700683
t1,ID,371,0.04063971578143537,0.34001964902501647
t1,ID,1396,0.0597899253293872,0.3304591729182554
t1,ID,1480,0.1346169796399772,0.2779425741456264
t1,ID,438,-0.0025981999874056952,0.2985989952089798
t1,ID,431,-0.052493718140758566,0.3329404799177221
t1,ID,1467,-0.10097979038953779,0.31729441788565543
t1,ID,2039,-0.021108058578101902,0.3038022381372909
t1,ID,350,0.09850372744724156,0.32799054864904587
t1,ID,349,0.0609624821005855,0.28812976670069695
t1,ID,1357,0.04818869640374035,0.2994089116889298
t1,ID,353,0.024947513814549894,0.28442561429338553
t1,ID,361,-0.02253488820279018,0.2639474310925281
t1,ID,1361,0.04003348257392646,0.33465396356246047
t1,ID,1409,0.06466308563947677,0.29777824857403834
t1,ID,346,0.05405160741065629,0.2907529821522598
t1,ID,338,0.0625648146021922,0.35347606530147385
t1,ID,1347,0.038999100991059056,0.35197052583238636
t1,ID,333,0.003968334912788109,0.31584255798369687
t1,ID,329,0.080556408460252,0.3011104861240455
t1,ID,1339,0.03449875257676468,0.2815647339367777
t1,ID,1390,0.01699261243687944,0.30731030167701884
t1,ID,1462,-0.042015071576461185,0.3020789750898559
t1,ID,448,0.005384761467576026,0.29358026236461054
t1,ID,451,0.04184483035933225,0.3282826276075854
