t1:ID_t1:ID,t1:ID_t1:dam,t1:dam_t1:ID,t1:dam_t1:dam
0.46535444,0.15935247,0.15935247,0.54152447
0.46357542,0.12466271,0.12466271,0.49666786
0.45615354,0.07249249,0.07249249,0.47139484
0.4191805,0.026962679,0.026962679,0.39677963
0.3585538,0.016268168,0.016268168,0.3923266
0.3671721,-0.007226909,-0.007226909,0.3706233
0.3567039,-0.007806552,-0.007806552,0.38575858
0.32050967,-0.0033592482,-0.0033592482,0.3625456
0.33197471,-0.0016583841,-0.0016583841,0.34988534
0.3108062,-0.00032152684,-0.00032152684,0.39019743
0.3026114,0.014304071,0.014304071,0.38238576
0.2929866,-0.010855177,-0.010855177,0.42946833
0.3092234,-0.015000941,-0.015000941,0.3904195
0.30711028,-0.023849573,-0.023849573,0.43523392
0.30122328,-0.03300414,-0.03300414,0.38052818
0.33159837,-0.038318373,-0.038318373,0.34654406
0.31885815,-0.045293387,-0.045293387,0.33067396
0.3311909,-0.056535676,-0.056535676,0.326544
0.34118867,-0.057951663,-0.057951663,0.30110475
0.34965494,-0.058396466,-0.058396466,0.30430838
0.31286314,-0.05061214,-0.05061214,0.27102143
0.2984959,-0.03708874,-0.03708874,0.27123457
0.26049265,-0.027925685,-0.027925685,0.25259188
0.25458303,-0.03296032,-0.03296032,0.22625737
0.287243,-0.0419997,-0.0419997,0.24995866
0.26510814,-0.052996356,-0.052996356,0.25834358
0.23954134,-0.02321187,-0.02321187,0.27921388
0.23061737,-0.054310557,-0.054310557,0.28633094
0.1957107,-0.036592584,-0.036592584,0.2525063
0.21541542,-0.028607247,-0.028607247,0.26843154
0.22115448,-0.03057494,-0.03057494,0.28653744
0.20461859,-0.035588183,-0.035588183,0.2629713
0.2195271,-0.033191163,-0.033191163,0.2593815
0.21125838,-0.031771157,-0.031771157,0.25434202
0.20372233,-0.03429378,-0.03429378,0.2244834
0.21391614,-0.060333125,-0.060333125,0.25942913
0.23327482,-0.09326152,-0.09326152,0.25726226
0.22573209,-0.08842643,-0.08842643,0.26258108
0.2459696,-0.09123149,-0.09123149,0.22709614
0.27594265,-0.08915401,-0.08915401,0.2407157
0.2692244,-0.06445276,-0.06445276,0.21989071
0.23908225,-0.065648176,-0.065648176,0.24276203
0.25163954,-0.078580886,-0.078580886,0.24905533
0.2262523,-0.072600655,-0.072600655,0.24051009
0.23458919,-0.050114967,-0.050114967,0.22044618
0.23954597,-0.034205884,-0.034205884,0.22140692
0.22329712,-0.06604196,-0.06604196,0.22633515
0.23513453,-0.071289115,-0.071289115,0.24637114
0.24542099,-0.07421534,-0.07421534,0.25790098
0.24770445,-0.08115989,-0.08115989,0.26045898
0.22716574,-0.08779728,-0.08779728,0.26687643
0.24933341,-0.09291448,-0.09291448,0.26032016
0.26175427,-0.09492119,-0.09492119,0.24799977
0.23111953,-0.084682584,-0.084682584,0.25667796
0.2426041,-0.096980676,-0.096980676,0.29478428
0.2549715,-0.09390457,-0.09390457,0.3219159
0.26498014,-0.09755695,-0.09755695,0.31698528
0.25321972,-0.08508156,-0.08508156,0.33938366
0.2659255,-0.079445794,-0.079445794,0.35422188
0.24188697,-0.07497516,-0.07497516,0.40370655
0.24927033,-0.08232511,-0.08232511,0.4071871
0.25374532,-0.061065905,-0.061065905,0.38438022
0.25839543,-0.06837192,-0.06837192,0.36565393
0.24612279,-0.06379851,-0.06379851,0.32452595
0.22989103,-0.06805746,-0.06805746,0.33902767
0.22499327,-0.06750009,-0.06750009,0.37453163
0.22848082,-0.08711232,-0.08711232,0.36622736
0.24181238,-0.10354987,-0.10354987,0.33606577
0.23152047,-0.11375925,-0.11375925,0.31757888
0.21527722,-0.09721989,-0.09721989,0.35702845
0.195907,-0.10420767,-0.10420767,0.36879665
0.20920633,-0.10884864,-0.10884864,0.3469768
0.21158609,-0.104142815,-0.104142815,0.33413398
0.20223112,-0.11913667,-0.11913667,0.3434369
0.20917934,-0.12428521,-0.12428521,0.35030156
0.20055258,-0.105628796,-0.105628796,0.3221272
0.21042806,-0.110249676,-0.110249676,0.3592436
0.20059055,-0.08771947,-0.08771947,0.3445297
0.20295434,-0.071870916,-0.071870916,0.34991175
0.18470643,-0.06059747,-0.06059747,0.32843134
0.18547943,-0.07549377,-0.07549377,0.3228406
0.1932632,-0.091831684,-0.091831684,0.3333983
0.17753789,-0.09495259,-0.09495259,0.36120602
0.17898084,-0.08920073,-0.08920073,0.36759534
0.18634325,-0.08607914,-0.08607914,0.3904855
0.18448007,-0.09833167,-0.09833167,0.35613665
0.18478793,-0.09005458,-0.09005458,0.3653585
0.19034928,-0.08516215,-0.08516215,0.3541265
0.23012689,-0.11497338,-0.11497338,0.34850907
0.24629907,-0.10983375,-0.10983375,0.3559669
0.24755742,-0.10040658,-0.10040658,0.3260265
0.24034336,-0.08172795,-0.08172795,0.27328712
0.2514218,-0.08448467,-0.08448467,0.25749663
0.25053084,-0.093182705,-0.093182705,0.26888946
0.26903808,-0.09250014,-0.09250014,0.2799524
0.25678694,-0.103387,-0.103387,0.32216367
0.27416772,-0.103852175,-0.103852175,0.32396555
0.26948234,-0.100140624,-0.100140624,0.30841744
0.27140972,-0.11995845,-0.11995845,0.3235434
0.2674132,-0.12028495,-0.12028495,0.33690953
