Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.1778972386394162,0.36048298621691205
t1,ID,0,0.062289718803949665,0.06665181146732117
t1,ID,678,0.04044078031962272,0.3349639407825931
t1,ID,728,0.08592857675626875,0.3318314652669894
t1,ID,2284,0.06129946854431184,0.3196351850990428
t1,ID,817,0.008710693198954695,0.3377200219135225
t1,ID,2611,-0.0006352319591678753,0.30657994496984553
t1,ID,684,0.1638973228633404,0.38013099458043564
t1,ID,674,0.0591055275383405,0.3175126492060212
t1,ID,2281,0.20908148569986218,0.3302755126562924
t1,ID,366,0.09709908878401623,0.32151302861373626
t1,ID,368,0.06159268314251676,0.35002904675429636
t1,ID,1369,0.1227043467387557,0.3444752902441304
t1,ID,355,0.09516657094936819,0.35548508360046593
t1,ID,364,-0.02166894369758664,0.3460975638653811
t1,ID,1367,0.021779898322420197,0.3654640185451456
t1,ID,1417,0.1012867082399316,0.3207556383890884
t1,ID,322,0.1181595236223075,0.36845835727744086
t1,ID,328,0.05565045608207585,0.3409510459267317
t1,ID,1338,0.09104147582140286,0.321990647136267
t1,ID,323,0.054327293005771944,0.3533406021523657
t1,ID,327,0.061007579131983194,0.3288314514799278
t1,ID,1336,0.057104303650558,0.33795459980530607
t1,ID,1342,0.11244760885369035,0.32910813577972453
t1,ID,371,0.06896915120771153,0.3290308633540918
t1,ID,1396,0.13297289733774958,0.30289588873700035
t1,ID,1480,0.20123282971791917,0.33274662740649635
t1,ID,438,0.009796678989660003,0.3483052509069221
t1,ID,431,-0.057255940577015274,0.34150975128863564
t1,ID,1467,-0.08380150073906407,0.3307411098982992
t1,ID,2039,0.12118477498122962,0.3431220597499562
t1,ID,350,0.04948338102316484,0.35031236491561946
t1,ID,349,0.027023247219622126,0.3358177705074539
t1,ID,1357,-0.013836428398499266,0.3074029521569245
t1,ID,353,0.05342356262786779,0.3426370826770587
t1,ID,361,0.06956565367057918,0.35757798356178416
t1,ID,1361,0.10606387880630795,0.3429876063869202
t1,ID,1409,0.020018185561057184,0.3021387715812195
t1,ID,346,-0.03873168509453537,0.3889100233883269
t1,ID,338,0.025223946308251456,0.3234670807712724
t1,ID,1347,-0.05686688507907092,0.3285902393633277
t1,ID,333,0.01722753181471489,0.3675863797101543
t1,ID,329,0.0544445883342996,0.3432270060574657
t1,ID,1339,0.03785650106146933,0.3246867584451649
t1,ID,1390,-0.07431762766093014,0.29673351765444855
t1,ID,1462,-0.11012358891777695,0.3160171800182705
t1,ID,448,-0.04088944950606676,0.35388319282349157
t1,ID,451,0.1083352836449921,0.33439160597878864
t1,ID,1486,0.05135851262632059,0.35977076366730437
t1,ID,2045,-0.03548793440684677,0.3871316886237649
t1,ID,2139,0.048510157424025264,0.3756968211822056
t1,ID,2643,0.3096144091757014,0.33317596612658457
t1,ID,3266,0.10768377962289373,0.32517877619762364
t1,ID,337,0.03708790690172465,0.3408277030121361
t1,ID,1349,-0.034624647879973054,0.32131376992468735
t1,ID,356,0.0355197128810687,0.3967963803951423
t1,ID,352,0.052357827569358015,0.3470220658212916
t1,ID,1358,0.04172376006376,0.34659475425846364
t1,ID,1406,-0.0018589117102965303,0.34500176873590394
t1,ID,445,0.03870521683271363,0.40918731919761603
t1,ID,1469,0.017472114535048593,0.36741472548290116
t1,ID,403,0.10327429113327523,0.37912024901847974
t1,ID,411,0.07733039385173476,0.34565217606813875
t1,ID,1423,0.12988572651520372,0.38786176004615885
t1,ID,387,0.03317893060855567,0.3452213796010189
t1,ID,375,0.0553022665542085,0.33775308919309854
t1,ID,1402,0.05663384196173867,0.31034784989534325
t1,ID,1492,0.10889139291364698,0.3591258073091045
t1,ID,2063,0.022590258931741117,0.340286799624411
t1,ID,2220,0.03050786294043065,0.32446602247324385
t1,ID,362,-0.04502625360051751,0.3627781744445776
t1,ID,1366,0.03612977578770369,0.33059645699810286
t1,ID,339,0.002051893984898932,0.3554244806219923
t1,ID,1348,0.014861215134151284,0.37557068201361865
t1,ID,1412,-0.02619820521678775,0.33545996331308614
t1,ID,372,0.04316386053265889,0.35697054146988305
t1,ID,369,0.06301033219555394,0.36609757662707443
t1,ID,1370,0.05319791029294719,0.3483496963150906
t1,ID,1478,-0.010383602054789698,0.3591712968600095
t1,ID,354,-0.050619848346104855,0.32848107092155504
t1,ID,344,0.0831694568227976,0.4287020565504537
t1,ID,1359,0.021412485470937097,0.3598255152175931
t1,ID,343,0.06260788374580449,0.4306302808183195
t1,ID,332,0.01887794543057682,0.3315183643483124
t1,ID,1344,0.02856595776276665,0.40190759243411933
t1,ID,1408,-0.03363241042010486,0.38116302057363577
t1,ID,386,0.03575799766927957,0.38762836349563784
t1,ID,374,0.05094919006805867,0.37581288583166345
t1,ID,1398,0.02178735325578601,0.43523413532601113
t1,ID,1472,-0.11955383360385896,0.36338793201079317
t1,ID,2032,-0.019737066223751754,0.39447613505207224
t1,ID,722,0.17275844544172292,0.31933232089075664
t1,ID,2349,0.07413483254145833,0.3860296466973089
t1,ID,2595,-0.09818198557710274,0.3635592153804025
t1,ID,741,0.12895327949663615,0.3390413844861726
t1,ID,753,0.1287638428946957,0.31110041306682473
t1,ID,2320,0.16535098796710374,0.32736913056734046
t1,ID,690,0.12663366597611456,0.3298331389407111
t1,ID,715,0.1362050399929285,0.3635857878975153
t1,ID,2259,0.15787462828680876,0.3204750101557946
t1,ID,2905,0.18119470821809947,0.3412804425999638
t1,ID,3551,0.0887529702764004,0.36576395189338257
t1,ID,4304,0.1948561387718656,0.38801217151912387
t1,ID,2347,0.10048020527465268,0.3637383027508517
t1,ID,378,0.013600403510790787,0.36370109789476235
t1,ID,359,-0.001191125957993787,0.41709148876807695
t1,ID,1386,-0.07204602011712269,0.34476361999993077
t1,ID,345,-0.02501239083911059,0.3263438267340174
t1,ID,340,0.06460844326298683,0.36495203205491594
t1,ID,1351,-0.04018367853946986,0.3478740037393681
t1,ID,1393,-0.08721840967424209,0.32793430600020324
t1,ID,1452,-0.009273502491414546,0.3428020344989918
t1,ID,377,0.06267426202073699,0.3902028676569842
t1,ID,1380,0.07990306624211369,0.38094224813540983
t1,ID,382,0.1958718649251386,0.34592874236027654
t1,ID,1378,0.1832444303482771,0.3819411823163598
t1,ID,1439,0.16289104108698674,0.40192652507528054
t1,ID,1531,0.07253466071560973,0.34741488095153605
t1,ID,489,0.022517317831516274,0.34916552389217637
t1,ID,2091,0.023358116047020327,0.3094511589824451
t1,ID,370,0.13216180059360338,0.29793256189756184
t1,ID,379,0.08702956999419258,0.3607144161751084
t1,ID,1375,0.14018941061105586,0.3263217411094467
t1,ID,1495,0.13295410814695066,0.36260273413417177
t1,ID,426,0.047227284805849125,0.33510272836281596
t1,ID,1476,-0.029422029615379867,0.3502651542545838
t1,ID,2051,-0.03523280516266823,0.37111726768135994
t1,ID,2258,-0.0024598193436395515,0.29605649003763107
t1,ID,2655,0.09063683150801807,0.29379756699661225
t1,ID,475,0.04591864950949002,0.38711960147448055
t1,ID,477,0.08410527447704226,0.33957836143062775
t1,ID,2069,0.10274304043501611,0.3948146883209799
t1,ID,381,-0.01986814543604851,0.33584246548663926
t1,ID,1376,0.040423020439920944,0.3865926186967836
t1,ID,363,0.05299352020490913,0.38804751180013175
t1,ID,1362,0.12077875558403316,0.3606213520303748
t1,ID,1427,0.11707787382416432,0.33108397014631274
t1,ID,419,0.09818061448168013,0.35017202528511615
t1,ID,412,0.16360649679787453,0.3974302243386788
t1,ID,1437,0.24777366684633298,0.33762412720393264
t1,ID,1516,0.36398112267255794,0.32353656082054605
t1,ID,2212,0.24866715221782215,0.3777856870988185
t1,ID,2700,0.29147140395361953,0.3583132932414206
t1,ID,3355,0.2821731469733641,0.3252927707231129
t1,ID,757,-0.0019515364759718052,0.33281768881336876
t1,ID,452,0.029943703273311247,0.34531632535948986
t1,ID,1487,0.03661162241187411,0.3358409953843096
t1,ID,2031,0.23611976597690948,0.35651078736202463
t1,ID,376,-0.014591733980923885,0.3665010794722838
t1,ID,1371,-0.010950036519207057,0.30803856083840286
t1,ID,357,-0.03348620684380878,0.3862742189213249
t1,ID,1360,-0.05578347890172153,0.35424286630507934
t1,ID,1425,-0.03010953631717714,0.3847091621407153
t1,ID,1509,-0.06494404203811427,0.29752864117194183
t1,ID,2147,0.10763471957994623,0.2729245866197343
t1,ID,2350,0.053882068064995126,0.29056708928847924
t1,ID,655,0.15743921103654426,0.34486525720933653
t1,ID,334,0.04245341949164866,0.3337444025813392
t1,ID,1345,-0.09629202519543471,0.33714245585711494
t1,ID,1382,-0.13146713995374737,0.31988313785217376
t1,ID,398,0.10531465310719794,0.3560383695971701
t1,ID,1436,-0.042130546976695785,0.3415538753292406
t1,ID,1514,-0.0785463988152333,0.3296637073549686
t1,ID,2168,0.0804060953017324,0.3040667198678295
t1,ID,360,0.02889787983032875,0.30077669801222234
t1,ID,1365,0.057838959968066754,0.3548028477982638
