Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.31289540329016746,0.39511970999196944
t1,ID,0,0.19375975664705036,0.09184020248161569
t1,ID,678,0.21850401826202873,0.3979844186899061
t1,ID,728,0.11530135723063724,0.42042712236912133
t1,ID,2284,0.1805791929410771,0.413820293120919
t1,ID,817,0.30924357533454916,0.372238989379087
t1,ID,2611,0.24081186332739896,0.35235126205193557
t1,ID,684,0.35634174025151877,0.3949876027606926
t1,ID,674,0.24557508516358215,0.4146328413617626
t1,ID,2281,0.38429948814271486,0.44749559504444947
t1,ID,366,0.17695273426361385,0.3892725439470954
t1,ID,368,0.24075025651603937,0.45127421720422684
t1,ID,1369,0.2169522652772138,0.39889333372706226
t1,ID,355,0.17263965889811517,0.45956529752530895
t1,ID,364,0.24447932464070615,0.44007405981454806
t1,ID,1367,0.17578817580360917,0.4319048190066599
t1,ID,1417,0.12497080199420453,0.4501373748734957
t1,ID,322,0.2384814590541645,0.40698453670447643
t1,ID,328,0.2601796585740522,0.41706311708720045
t1,ID,1338,0.3242361550685018,0.4237655842951804
t1,ID,323,0.22908727536792864,0.3796391046611463
t1,ID,327,0.2548449228731624,0.43686851692271916
t1,ID,1336,0.26548871286213394,0.38018056064591627
t1,ID,1342,0.33229168910620493,0.35656345273427376
t1,ID,371,0.3012931680213661,0.4339288684101301
t1,ID,1396,0.36106523748021585,0.4055292137842962
t1,ID,1480,0.3372362789418547,0.43768163042617375
t1,ID,438,0.21671936308965092,0.44275162478438784
t1,ID,431,0.13183465382840948,0.3860899279194214
t1,ID,1467,0.03426470303325913,0.4234081909253093
t1,ID,2039,0.25970286116848,0.36413362432839075
t1,ID,350,0.20323977580294023,0.4625564635202447
t1,ID,349,0.09545857310760768,0.43331590864599395
t1,ID,1357,0.10237222070747524,0.39506510036813713
t1,ID,353,0.20206771237310028,0.39772249006657256
t1,ID,361,0.0298495786031708,0.40450210342126636
t1,ID,1361,0.08147925570548978,0.38450639533386266
t1,ID,1409,0.05691155639011411,0.4040147142476583
t1,ID,346,0.15390991565771403,0.40634602899137207
t1,ID,338,0.15595498658716678,0.3773576810947699
t1,ID,1347,0.17412801862927157,0.39323455495848586
t1,ID,333,0.16135302997194229,0.3974618494381607
t1,ID,329,0.20034429141785948,0.3825892919130881
t1,ID,1339,0.13188797986367726,0.37166087698367717
t1,ID,1390,0.10278816331177949,0.36523322278019704
t1,ID,1462,0.049250385955674575,0.37159464638339207
t1,ID,448,0.16659526164177807,0.40564477760436246
t1,ID,451,0.26514647837728256,0.3985221151248786
t1,ID,1486,0.22954404182266447,0.41572552628433035
t1,ID,2045,0.10966760125942526,0.32897710242477574
t1,ID,2139,0.29241424805484717,0.36118278644889035
t1,ID,2643,0.657490794993937,0.4462782748737112
t1,ID,3266,0.45520265516825004,0.3319587440821932
t1,ID,337,0.18428524211049072,0.4596668189732548
t1,ID,1349,0.093349091084674,0.42577973461498014
t1,ID,356,0.19770176548976456,0.3731354641119962
t1,ID,352,0.18354521817760544,0.46820287212881206
t1,ID,1358,0.1819115394633263,0.44552489134493417
t1,ID,1406,0.12432818474248052,0.38615336053667415
t1,ID,445,0.1659291624987964,0.42609955416031814
t1,ID,1469,0.08268312812549992,0.40610058278141936
t1,ID,403,0.147227090401575,0.39163151881187686
t1,ID,411,0.14624872605316339,0.4235633661805783
t1,ID,1423,0.16330933258170255,0.3986237841768114
t1,ID,387,0.25800469903158957,0.40479923067076845
t1,ID,375,0.10397643651813268,0.45674875484737204
t1,ID,1402,0.21046977644320583,0.40775031240092874
t1,ID,1492,0.2151983941532672,0.3874948070699668
t1,ID,2063,0.03557248658173194,0.33502713781671134
t1,ID,2220,0.051466586964670595,0.38175322826626384
t1,ID,362,-0.003712951972847771,0.41629665995752346
t1,ID,1366,0.0035592746757902283,0.4000581732310574
t1,ID,339,0.19366514215245842,0.40334679597193124
t1,ID,1348,0.15270816409203686,0.38223131744243505
t1,ID,1412,0.08848758069798349,0.3989081907013398
t1,ID,372,0.10347559076733887,0.39565618873008657
t1,ID,369,0.1855880823021289,0.3675712762337337
t1,ID,1370,0.05841976384224836,0.34945008498105024
t1,ID,1478,-0.013792566508054716,0.3422529582604798
t1,ID,354,0.16766290086787194,0.38897984249709827
t1,ID,344,0.18981791490223257,0.43176839906497794
t1,ID,1359,0.18922952586784955,0.43120381998556234
t1,ID,343,0.11858370132802516,0.43121632610191557
t1,ID,332,0.14659637670250963,0.4124766847271124
t1,ID,1344,0.09999385060044007,0.36766834144554383
t1,ID,1408,0.1143673949607182,0.3803511683747366
t1,ID,386,0.18278935350594117,0.45439363948653205
t1,ID,374,0.23743185278959567,0.3948213442863831
t1,ID,1398,0.17131128335604442,0.4330918104174457
t1,ID,1472,0.005465051019564253,0.39964902702094995
t1,ID,2032,0.04470471129752695,0.35520102533431114
t1,ID,722,0.22108155306428673,0.38869167465595067
t1,ID,2349,0.09623118581250312,0.3321428126280446
t1,ID,2595,-0.02739859437104313,0.31829083510011474
t1,ID,741,0.24949966199012114,0.3801293766380929
t1,ID,753,0.32336865603923814,0.36152086004397743
t1,ID,2320,0.4191603060485795,0.3361239059367626
t1,ID,690,0.31876594374305567,0.41568920867087156
t1,ID,715,0.15886672063730656,0.4321169398835413
t1,ID,2259,0.27424876098637474,0.37213545059823533
t1,ID,2905,0.34982256386429084,0.4517147648328305
t1,ID,3551,0.18976534165441986,0.3782066247247519
t1,ID,4304,0.40814002957195045,0.33258283028108404
t1,ID,2347,0.12014194255345496,0.3426937401853906
t1,ID,378,0.18712207361124458,0.38498009858943055
t1,ID,359,0.15497039349749678,0.4019894431219737
t1,ID,1386,0.14427353311330077,0.3501593848697142
t1,ID,345,0.10710258132021408,0.4633722825117898
t1,ID,340,0.12956831433497434,0.46110083118082534
t1,ID,1351,0.09264734894735736,0.3902016051622324
t1,ID,1393,0.06702604643069207,0.4001946796455269
t1,ID,1452,0.22532020426820965,0.34682201311758754
t1,ID,377,0.14294225448742512,0.4212796981090919
t1,ID,1380,0.05081688177888282,0.3998401414541294
t1,ID,382,0.29768921632319695,0.44746571770177523
t1,ID,1378,0.34305545773822804,0.4314296413611364
t1,ID,1439,0.2563549971359316,0.39840141055791184
t1,ID,1531,0.303611669461243,0.35904367152588657
t1,ID,489,0.1533573105162941,0.3925177022446075
t1,ID,2091,0.22333167665638023,0.3927030519676388
t1,ID,370,0.18869967794045808,0.4000087355762361
t1,ID,379,0.22721599177923055,0.3912631330449128
t1,ID,1375,0.244871953148395,0.38044198770023635
t1,ID,1495,0.16824062407482418,0.4372984475292525
t1,ID,426,0.14766238728770983,0.3865409452791409
t1,ID,1476,0.12960243539186203,0.45453938399521077
t1,ID,2051,0.0895443676621653,0.42923495221433305
t1,ID,2258,0.17495009187608948,0.41164716126933554
t1,ID,2655,0.13778486525814515,0.40503026456987923
t1,ID,475,0.243132764037582,0.4166952866784358
t1,ID,477,0.19554504022002223,0.3841788379932446
t1,ID,2069,0.21488293092756067,0.3765811304282802
t1,ID,381,0.184346383260563,0.4142312665742226
t1,ID,1376,0.3070894960127771,0.40391363595977364
t1,ID,363,0.3156068143621087,0.4180912816309694
t1,ID,1362,0.2599416207894682,0.4210990805510253
t1,ID,1427,0.29987324618268757,0.36457347086423714
t1,ID,419,0.3437398046348244,0.4577385962875229
t1,ID,412,0.22539315176196392,0.446704385859247
t1,ID,1437,0.4487982197152451,0.4024457541797776
t1,ID,1516,0.5568727120384572,0.41917459155314957
t1,ID,2212,0.4229217116662767,0.34207812765993734
t1,ID,2700,0.37816570787108494,0.35471606752026585
t1,ID,3355,0.2945982236872077,0.3770332592446281
t1,ID,757,0.033069811128079885,0.3878988744758147
t1,ID,452,0.25758773540495894,0.38726144784846694
t1,ID,1487,0.19221286565065387,0.3722237436120645
t1,ID,2031,0.2947658977424726,0.34230605825024096
t1,ID,376,0.18222900083754218,0.4512871831856349
t1,ID,1371,0.11540152480825781,0.41272758445303853
t1,ID,357,0.16133852082770325,0.4282679168582204
t1,ID,1360,0.10465010524454554,0.391483329958882
t1,ID,1425,0.10048963751178236,0.3370071307798489
t1,ID,1509,0.11746762212482283,0.36297286122426065
t1,ID,2147,0.12350546871311961,0.3310563316302295
t1,ID,2350,0.10106273467836219,0.3549275068615399
t1,ID,655,0.24123766188044093,0.3476269123363662
t1,ID,334,0.13624129107105545,0.40732876605535034
t1,ID,1345,0.07624811057001353,0.4677320470169962
t1,ID,1382,-0.06477610217873013,0.429687215214332
t1,ID,398,0.15228276683948938,0.3833819405214214
t1,ID,1436,-0.025921124974265707,0.43083671677950097
t1,ID,1514,-0.0410064201941714,0.3942588775961029
t1,ID,2168,0.18157905713393127,0.40023847862867495
t1,ID,360,0.20659420749405402,0.448848754215082
t1,ID,1365,0.15018063029740014,0.4133379608442476
t1,ID,348,0.19531695785583003,0.3955478222056609
t1,ID,351,0.19093996855430304,0.4488004696049515
t1,ID,1354,0.1723897747322917,0.4329475768298742
t1,ID,1413,0.0646763752703555,0.4143241411773213
t1,ID,1353,0.22835977579466996,0.4388520849359319
t1,ID,1415,0.29215019701514394,0.4135201899491572
t1,ID,1474,0.1930544255801942,0.44555767808942737
t1,ID,409,0.2840327507443726,0.3986788930133381
t1,ID,1426,0.32157131225802005,0.4033246771044621
t1,ID,2026,0.34282529230229564,0.3437659908568751
t1,ID,1383,-0.011053844936686793,0.4023344388658671
t1,ID,1441,-0.014087831830838688,0.35631625189473237
t1,ID,416,0.20839874628931285,0.4041264105512806
t1,ID,1447,0.03656363610876722,0.40556613509412653
t1,ID,1526,-0.06776210549287498,0.3484913879151248
t1,ID,2152,0.13033039016183465,0.33402397013241797
t1,ID,2365,0.095069122207351,0.3669958254584098
t1,ID,2789,0.03625547879113582,0.3785050412762555
t1,ID,347,0.30025459016032974,0.4190270531221915
t1,ID,1346,0.2420138106215746,0.4137490018954058
t1,ID,341,0.2815149491233751,0.3674022406920735
t1,ID,1352,0.2811824125470593,0.44559896417048883
t1,ID,1394,0.35377467676997176,0.3394071462537311
t1,ID,384,0.3112538146041334,0.4546503358624285
t1,ID,1399,0.2401070845592767,0.4317402544152163
t1,ID,1457,0.4622686311928556,0.36711434058397674
t1,ID,427,0.1740836148126982,0.43532284200733534
t1,ID,1466,0.025012601725757092,0.4120847253797653
t1,ID,2015,0.27037516251672067,0.4273071728118493
t1,ID,1379,0.3402120529999957,0.39625395455166523
t1,ID,1435,0.2636618446465581,0.3744447585592314
t1,ID,385,0.185862696301192,0.3836639571991835
t1,ID,1392,0.19818119165487588,0.38704306444930864
t1,ID,1517,0.22121403454802935,0.39996379506198887
t1,ID,487,0.19856818411033597,0.4949112879144725
