Trait,Effect,Level,Estimate,SD
t1,intercept,intercept,-0.24887832553242326,0.3086325196170617
t1,ID,0,-0.036989274560764895,0.07877987565813016
t1,ID,678,-0.016347628861876712,0.35721013363077536
t1,ID,728,-0.062499218368902786,0.3882530326065318
t1,ID,2284,-0.033198659726185714,0.38052421831904665
t1,ID,817,-0.08919071782846005,0.36439603908480794
t1,ID,2611,-0.1274507950602856,0.3792329139830955
t1,ID,684,0.08707225399324674,0.36178946511123666
t1,ID,674,-0.1127757117152214,0.3909062516481296
t1,ID,2281,0.05728349495911973,0.3295639432595647
t1,ID,366,-0.03641771618742495,0.3843381481006929
t1,ID,368,0.0066940009500831565,0.3626598012546591
t1,ID,1369,-0.03899047672748565,0.3989985597370676
t1,ID,355,-0.003367987922392764,0.41393603455065914
t1,ID,364,-0.009011274150107046,0.388913142227016
t1,ID,1367,-0.027884362407494347,0.3671647761043141
t1,ID,1417,-0.024628584990277886,0.3747762041831711
t1,ID,322,0.01792090727481988,0.3195289843660266
t1,ID,328,0.006850183910573833,0.3268206672414742
t1,ID,1338,0.025193427055928606,0.35246353591467644
t1,ID,323,0.008254070721450268,0.3593715558755552
t1,ID,327,-0.03471026528277434,0.36314286204634294
t1,ID,1336,0.026104661817662418,0.34369479962132404
t1,ID,1342,0.028299944614991544,0.3312385762298673
t1,ID,371,0.00626302307005977,0.35642539558445147
t1,ID,1396,0.05185769091360269,0.39557477817529507
t1,ID,1480,0.03304343346506356,0.3721086336584846
t1,ID,438,-0.08452946071978656,0.33158302198532297
t1,ID,431,-0.10911101281875746,0.3663519910420528
t1,ID,1467,-0.24097783816396257,0.34441689590865576
t1,ID,2039,-0.11063036160776393,0.35836536237215383
t1,ID,350,-0.021390897817909715,0.3943620299294963
t1,ID,349,-0.06676094087772072,0.34398445847028036
t1,ID,1357,-0.05970150171779097,0.3430049834339721
t1,ID,353,-0.0007354998844675744,0.3268494289553572
t1,ID,361,-0.05335406913538464,0.3790982432263095
t1,ID,1361,-0.028143845624290405,0.3538670242287967
t1,ID,1409,-0.04293194834841415,0.3207624606206304
t1,ID,346,-0.04749622464179991,0.3389097405601011
t1,ID,338,-0.029274083108175544,0.3645667701701688
t1,ID,1347,-0.0479867712641135,0.3082429387634154
t1,ID,333,-0.06182448827545158,0.34813462895726877
t1,ID,329,-0.03848331416025758,0.3634030392359809
t1,ID,1339,-0.09351306300261056,0.36628251171031956
t1,ID,1390,-0.08430552969686687,0.3350042382850572
t1,ID,1462,-0.1491554873349378,0.32854297113218145
t1,ID,448,-0.09384502852335573,0.3731492923464247
t1,ID,451,-0.004129850903409527,0.38490260007401755
t1,ID,1486,0.007409549406729612,0.3572901471383367
t1,ID,2045,-0.08715630982973381,0.3148679352881014
t1,ID,2139,-0.03449197295121849,0.3839719480751859
t1,ID,2643,0.2556289375014604,0.4183190473413949
t1,ID,3266,0.058763278708793235,0.3526599727708853
t1,ID,337,-0.04974577800836415,0.35390763436690387
t1,ID,1349,-0.10077451236196794,0.3658448980026482
t1,ID,356,-0.05482475858414546,0.33901214280283887
t1,ID,352,-0.047326773218810556,0.37380617821414747
t1,ID,1358,-0.04843099088524468,0.31755935106161226
t1,ID,1406,-0.09825167919392697,0.3750791115841806
t1,ID,445,-0.031867095039924596,0.3935937962371989
t1,ID,1469,-0.05339079360477626,0.3617113511776542
t1,ID,403,-0.009471240881830456,0.35837144432045
t1,ID,411,-0.0016022125305607936,0.3305126872814862
t1,ID,1423,-0.021255297455936656,0.3525698493770166
t1,ID,387,-0.04268384536728264,0.362920533589492
t1,ID,375,-0.01235739348863717,0.34598376803302217
t1,ID,1402,0.010370798737276352,0.351283486832992
t1,ID,1492,0.03994801580556667,0.3056016079823329
t1,ID,2063,-0.0889922690205276,0.2814440447534454
t1,ID,2220,-0.2183814133284613,0.31126766939215184
t1,ID,362,-0.22364515182329336,0.38671133726058904
t1,ID,1366,-0.12043406800366936,0.4098521614428934
t1,ID,339,-0.0976230325968936,0.36790484984634525
t1,ID,1348,-0.041550768641754984,0.36407946677951974
t1,ID,1412,-0.10726777941221373,0.31943968518758636
t1,ID,372,-0.23891361041169146,0.37504879160509447
t1,ID,369,-0.056420049176085736,0.39939330170745274
t1,ID,1370,-0.21060319576878095,0.37298384731827056
t1,ID,1478,-0.2397245502412261,0.35504265671843543
t1,ID,354,-0.09031174954550804,0.36649466334070924
t1,ID,344,0.009775557529646914,0.3479976295733411
t1,ID,1359,-0.03425596689805388,0.3488793198745313
t1,ID,343,-0.07395962149079423,0.29011062600228127
t1,ID,332,-0.10129353606607763,0.34494783054773265
t1,ID,1344,-0.14128151488490406,0.3619296649382717
t1,ID,1408,-0.12369496349478147,0.3239599458053488
t1,ID,386,-0.051795244459062834,0.2952839994019297
t1,ID,374,-0.12812208237824962,0.4253065979546121
t1,ID,1398,-0.18085569178219885,0.35575778918382966
t1,ID,1472,-0.250490014925599,0.33162225869044165
t1,ID,2032,-0.21835012360708791,0.34014725133796847
t1,ID,722,0.010622714301571252,0.30614900440236154
t1,ID,2349,-0.08779788368847223,0.3664905822378998
t1,ID,2595,-0.2714264906162862,0.3412537228657277
t1,ID,741,0.04326059865765274,0.40836036474541704
t1,ID,753,-0.01662116131745279,0.3037642458210547
t1,ID,2320,0.0930528712517116,0.3002257135097329
t1,ID,690,0.07225619609700515,0.36443653895373046
t1,ID,715,-0.028902704865904526,0.3691455576838743
t1,ID,2259,0.02859305784819299,0.34169873157782826
t1,ID,2905,0.09885072306962685,0.36272203389538404
t1,ID,3551,-0.0542743930197321,0.33948191761958435
t1,ID,4304,0.08328143715101757,0.36279419076413644
t1,ID,2347,-0.10442398855462673,0.2758878433822751
t1,ID,378,-0.06025307842181065,0.3598130405448637
t1,ID,359,-0.09386900605866685,0.38730719979893363
t1,ID,1386,-0.14690870977472512,0.3567599870567904
t1,ID,345,-0.048059044633992014,0.3522034880342785
t1,ID,340,-0.06830756852403284,0.35670125047088097
t1,ID,1351,-0.08507805744651702,0.3895656057328393
t1,ID,1393,-0.09652483418118207,0.35449840475773636
t1,ID,1452,-0.1262969926558435,0.34782758934369706
t1,ID,377,-0.07579805966932326,0.36263676794595273
t1,ID,1380,-0.11274559423560276,0.3492805970860303
t1,ID,382,0.04186377550940964,0.35406685069549093
t1,ID,1378,0.04949029703391716,0.3501477943152125
t1,ID,1439,-0.04246102006174626,0.3685737797037065
t1,ID,1531,-0.046870177882956325,0.34920842577642
t1,ID,489,-0.10495815507601948,0.361373806513401
t1,ID,2091,-0.13435489115305246,0.327162792751103
t1,ID,370,-0.022753823077073312,0.3249009911464188
t1,ID,379,-0.014699430796317752,0.30316610174802655
t1,ID,1375,0.06404710656963285,0.29619099623350376
t1,ID,1495,-0.002772479583509262,0.27969902955483583
t1,ID,426,-0.08179755667690189,0.3539374971015204
t1,ID,1476,-0.1043492917250842,0.3320105318412743
t1,ID,2051,-0.13620282089570537,0.3042249359400697
t1,ID,2258,-0.16190603951545202,0.33553773987142416
t1,ID,2655,-0.18006289706099782,0.3206738321697593
t1,ID,475,-0.004468135805800547,0.3668985743911862
t1,ID,477,0.009072370547801257,0.36033411260008164
t1,ID,2069,-0.002142808423377573,0.32819734981088416
t1,ID,381,-0.09287318424554537,0.3461184474479435
t1,ID,1376,0.00723951659601881,0.396991175394991
t1,ID,363,-0.018516702355409503,0.40207995765696253
t1,ID,1362,-0.014486113288439805,0.3697999728343538
t1,ID,1427,0.05239580196328458,0.33528488523765604
t1,ID,419,0.07684840387897568,0.34834603702741074
t1,ID,412,0.06507257529126947,0.3746496515431778
t1,ID,1437,0.10671194337308404,0.35190650631580367
t1,ID,1516,0.26341782783623807,0.3695970553836268
t1,ID,2212,0.12375520794186735,0.34574612836343804
t1,ID,2700,0.06091265530325469,0.3240559755653391
t1,ID,3355,-0.11157793913502245,0.3136131181971019
t1,ID,757,-0.04081337474679455,0.35185616435864264
t1,ID,452,-0.08463426794973201,0.3682690261334405
t1,ID,1487,-0.05825896623078734,0.3187441745946941
t1,ID,2031,0.09691718610178217,0.31067383018419864
t1,ID,376,-0.049972577582811914,0.38578551640929887
t1,ID,1371,-0.1474649518798105,0.34929744705755383
t1,ID,357,-0.08668240394443272,0.3923218711822862
t1,ID,1360,-0.0780372131173499,0.35748675645049943
t1,ID,1425,-0.15582947443705059,0.3165922953416844
t1,ID,1509,-0.07993975720368325,0.31217955992737734
t1,ID,2147,-0.03969946986064315,0.33402746566800645
t1,ID,2350,-0.02805473446962423,0.3116865958402563
t1,ID,655,-0.07972504412173292,0.37237887653883955
t1,ID,334,-0.09000779415480793,0.3257702988134485
t1,ID,1345,-0.14779698534635827,0.3512686260722866
t1,ID,1382,-0.25381114421412343,0.38195797001783366
t1,ID,398,-0.07315574245527387,0.35763595272010007
t1,ID,1436,-0.24859035289526216,0.3506631326168138
t1,ID,1514,-0.2605894746864216,0.3190471843553873
t1,ID,2168,-0.1399335226078983,0.39284302590463627
t1,ID,360,-0.025604084653314214,0.3466668390094989
t1,ID,1365,-0.03696076008491218,0.380203680640971
t1,ID,348,0.055547366524406255,0.3881672141966558
t1,ID,351,0.01454030450899154,0.3316760824859418
t1,ID,1354,0.06409760165377515,0.35310345301840007
t1,ID,1413,-0.05190085650421681,0.3354179765308732
t1,ID,1353,0.06392302601365367,0.3312175658956947
t1,ID,1415,0.08502443536883214,0.3594231387354778
t1,ID,1474,0.06669001587433743,0.36558612364329074
t1,ID,409,0.06845090876799076,0.36268859257364244
t1,ID,1426,0.08529543215408919,0.3965973046849869
t1,ID,2026,0.21302033669780931,0.4099417947573593
t1,ID,1383,-0.24150814412394545,0.3676668570000583
t1,ID,1441,-0.24882853596005583,0.36589838378333917
t1,ID,416,-0.07479362631391268,0.3607947057647421
t1,ID,1447,-0.210553364274092,0.36976025337936874
t1,ID,1526,-0.2833767354593147,0.3986879156211514
t1,ID,2152,0.010132014306727763,0.37075710940056666
t1,ID,2365,-0.08280450565740467,0.32889872867830133
t1,ID,2789,-0.08505787526723,0.34840106564148343
t1,ID,347,-0.06185579753946512,0.3515186843156035
t1,ID,1346,-0.0007683627319056445,0.4087912548483689
t1,ID,341,0.016324092687573285,0.3555667624980438
t1,ID,1352,0.04132619666721444,0.3444306793166961
t1,ID,1394,0.10078359315171836,0.3616589678714919
t1,ID,384,0.048145927600562535,0.3476985592508846
t1,ID,1399,0.04068276114296172,0.39401377728973974
t1,ID,1457,0.13385794965317474,0.36177335483684037
t1,ID,427,-0.13223913254565559,0.34661770322428603
t1,ID,1466,-0.1791907091822941,0.3412133406875804
t1,ID,2015,0.026395026664249623,0.33384565071915906
t1,ID,1379,0.06340298958617492,0.32472072544604647
t1,ID,1435,0.009805683728773143,0.3136861862661842
t1,ID,385,-0.04404581625480205,0.34489516737870274
