type,id,effect
group,0,-0.197991
group,1,0.174988
group,2,-0.070440
group,3,-0.085328
group,4,-0.041750
group,5,0.146369
group,6,0.081716
group,7,-0.012611
group,8,-0.051343
group,9,-0.040920
group,10,0.093179
group,11,0.045956
group,12,-0.118561
group,13,0.170790
group,14,0.110688
group,15,0.167320
group,16,-0.029036
group,17,-0.205725
group,18,-0.065318
group,19,0.042106
group,20,0.102351
group,21,-0.236588
group,22,0.152301
group,23,0.004381
group,24,0.018221
group,25,0.143580
group,26,0.115308
group,27,-0.086503
group,28,0.016288
group,29,0.062197
group,30,0.036199
group,31,0.093813
group,32,0.128636
group,33,-0.091083
group,34,0.012892
group,35,0.045869
group,36,-0.016438
group,37,0.005320
group,38,0.001217
group,39,0.028993
group,40,0.039983
group,41,0.145694
group,42,0.011844
group,43,0.065690
group,44,-0.100897
group,45,-0.146842
group,46,-0.106594
group,47,-0.179588
group,48,0.014673
group,49,0.010085
litter,0,-0.064914
litter,1,0.048412
litter,2,0.024196
litter,3,-0.053316
litter,4,-0.110107
litter,5,0.057526
litter,6,0.137424
litter,7,-0.148730
litter,8,0.021400
litter,9,0.120744
litter,10,-0.077570
litter,11,-0.207740
litter,12,-0.058708
litter,13,-0.075149
litter,14,0.016681
litter,15,0.045390
litter,16,-0.033886
litter,17,0.205328
litter,18,0.101272
litter,19,-0.079482
litter,20,-0.042792
litter,21,-0.012193
litter,22,-0.077259
litter,23,0.007456
litter,24,0.074790
litter,25,0.045243
litter,26,0.006871
litter,27,-0.019679
litter,28,-0.075741
litter,29,0.073325
litter,30,-0.193443
litter,31,-0.000131
litter,32,0.008786
litter,33,0.097393
litter,34,0.093638
litter,35,0.036805
litter,36,0.097875
litter,37,-0.031411
litter,38,0.061796
litter,39,-0.004332
litter,40,0.123595
litter,41,0.156378
litter,42,-0.142682
litter,43,0.004971
litter,44,0.157251
litter,45,0.171357
litter,46,0.045509
litter,47,-0.011929
litter,48,0.062682
litter,49,-0.309326
litter,50,0.152716
litter,51,0.200541
litter,52,-0.128087
litter,53,0.063990
litter,54,0.161999
litter,55,-0.060907
litter,56,-0.130144
litter,57,0.212823
litter,58,0.024890
litter,59,0.025007
litter,60,-0.009759
litter,61,0.038931
litter,62,0.128866
litter,63,-0.143516
litter,64,0.090257
litter,65,-0.074659
litter,66,-0.058073
litter,67,-0.081656
litter,68,-0.052788
litter,69,-0.200858
litter,70,0.118532
litter,71,0.050672
litter,72,-0.109492
litter,73,-0.092670
litter,74,0.100802
litter,75,0.228730
litter,76,-0.102147
litter,77,-0.020135
litter,78,-0.197543
litter,79,0.199617
litter,80,0.028105
litter,81,0.123631
litter,82,0.010254
litter,83,-0.127222
litter,84,0.084912
litter,85,-0.216352
litter,86,0.022123
litter,87,0.019187
litter,88,0.108140
litter,89,-0.032290
litter,90,0.040662
litter,91,0.115128
litter,92,0.040997
litter,93,-0.006847
litter,94,-0.012671
litter,95,0.065150
litter,96,0.138067
litter,97,0.015586
litter,98,-0.198228
litter,99,-0.149364
litter,100,0.032255
litter,101,0.005351
litter,102,0.092561
litter,103,-0.135248
litter,104,-0.078065
litter,105,0.063635
litter,106,0.011710
litter,107,0.002972
litter,108,0.064107
litter,109,0.130383
litter,110,-0.017655
litter,111,0.080059
litter,112,0.096329
litter,113,-0.188107
litter,114,-0.115524
litter,115,0.038434
litter,116,-0.119988
litter,117,-0.026236
litter,118,0.034206
litter,119,0.063907
litter,120,-0.119866
litter,121,0.029299
litter,122,0.182158
litter,123,-0.151161
litter,124,0.100609
litter,125,0.143490
litter,126,0.014315
litter,127,0.051960
litter,128,-0.144368
litter,129,0.043409
litter,130,0.086896
litter,131,-0.019957
litter,132,0.081626
litter,133,0.019419
litter,134,-0.071690
litter,135,-0.131905
litter,136,-0.233041
litter,137,-0.076802
litter,138,0.090665
litter,139,-0.072246
litter,140,0.061713
litter,141,-0.055566
litter,142,-0.075177
litter,143,-0.091908
litter,144,-0.070445
litter,145,0.049961
litter,146,-0.089010
litter,147,-0.064801
litter,148,0.107578
litter,149,0.036539
litter,150,-0.129614
litter,151,-0.136598
litter,152,0.131050
litter,153,0.252087
litter,154,0.001546
litter,155,-0.069871
litter,156,-0.114583
litter,157,0.071619
litter,158,-0.112818
litter,159,-0.016593
litter,160,-0.163007
litter,161,0.223219
litter,162,-0.085295
litter,163,-0.116729
litter,164,-0.042117
litter,165,0.219715
litter,166,-0.119800
litter,167,-0.034116
litter,168,-0.010623
litter,169,0.012698
