ID,trait1,group,litter,genetic,omic1,omic2,omic3,omic4,omic5,omic6,omic7,omic8,omic9,omic10,genetic_direct,genetic_indirect,genetic_total
584,-0.075616,16,83,0.002090,1.913944,-1.701686,0.785682,-1.772098,1.414176,-0.512237,-0.833565,0.944333,0.037474,0.689230,0.002090,0.067662,0.069752
585,-0.734341,18,256,0.255699,0.874410,-0.140340,1.697244,0.894215,-0.483529,-0.173885,-1.014054,-0.099594,0.091406,0.301698,0.255699,-0.935229,-0.679530
587,0.959551,19,186,-0.125682,0.337365,0.590374,1.063983,-2.520919,-0.256377,1.017601,0.409049,0.705550,0.613752,0.332492,-0.125682,0.086704,-0.038977
588,-2.864394,28,111,0.601659,-0.306191,1.662175,0.974783,-1.249083,0.361279,0.638943,0.723359,0.242684,1.845379,0.202421,0.601659,-1.017742,-0.416083
589,-1.290450,4,104,0.778717,1.148221,-0.585047,1.200126,0.178946,0.037997,0.064320,-2.997531,0.258295,1.096069,-1.029240,0.778717,-0.510509,0.268208
590,-1.876857,30,135,-0.283261,2.092929,-0.208229,0.340209,-0.892766,0.016850,-1.086485,-0.415438,1.429784,1.631366,-0.924758,-0.283261,-0.985385,-1.268646
591,-0.257148,5,293,0.110105,2.006203,0.500188,-1.432247,0.527492,-0.898679,0.672400,0.315430,-0.450817,1.180927,0.068674,0.110105,-0.445244,-0.335139
592,-0.764870,26,205,0.033793,1.080373,-0.508258,0.850034,-0.231542,-0.693161,0.497379,0.164999,0.000693,1.526859,0.423318,0.033793,-0.047309,-0.013516
593,-0.681991,38,164,0.103003,-1.455630,-0.572993,0.269060,-0.217971,-1.817081,-1.278487,-0.319497,0.410663,1.209692,0.728422,0.103003,-0.334565,-0.231562
594,1.931664,41,27,-0.491500,0.570434,-3.038257,-0.275180,-0.024447,-1.492023,-0.729386,0.309849,1.581537,0.722998,-0.391454,-0.491500,1.047187,0.555687
595,0.249882,34,180,0.279658,1.132155,-1.289208,0.966236,-1.494536,-2.189595,0.485618,-0.388371,1.284248,-0.261672,0.124741,0.279658,0.566187,0.845845
596,-0.072535,12,130,-0.112538,-0.073254,-0.599844,-0.612983,0.221327,0.400932,-0.931105,0.070057,1.015570,0.016707,0.227414,-0.112538,-0.469250,-0.581787
597,1.495899,0,62,0.043897,-0.487862,-1.770537,-0.045441,-1.183085,0.420039,0.429832,-1.840061,-1.072229,-0.063066,0.725404,0.043897,0.524231,0.568128
598,-0.045708,31,206,-0.324951,0.476614,-1.244101,0.452849,-0.508930,0.201007,0.005905,-0.675624,-0.385783,-0.508833,0.268256,-0.324951,0.491484,0.166534
600,0.599280,5,236,0.358792,2.181268,1.281455,1.279743,-3.388151,0.330967,0.635229,1.151326,1.074049,-1.531097,-0.510361,0.358792,1.250176,1.608969
601,1.432901,41,18,0.299840,-0.564820,-0.326896,-0.448181,0.244070,0.393370,0.045122,-0.200095,0.521149,-0.926620,-0.840796,0.299840,0.934865,1.234705
602,-0.588369,7,53,0.015593,-0.900263,-1.243008,0.096811,1.267138,-1.059312,-0.050558,0.977173,1.625887,0.513788,-0.115612,0.015593,-0.504558,-0.488964
603,-2.454356,34,113,-0.162426,1.785766,-1.397160,1.969784,-0.340238,0.735962,-0.719755,0.670157,3.242311,-0.469598,-0.652120,-0.162426,0.110428,-0.051998
604,1.782412,5,267,-0.006495,-0.031105,0.010675,-0.126376,-0.618596,-2.083982,-0.556952,-0.544277,1.060553,-2.338800,0.336622,-0.006495,-0.004545,-0.011041
605,-0.283042,29,83,-0.080355,-0.032430,-0.779426,-0.187206,-0.590559,0.290705,1.493408,1.452736,0.385577,-0.376455,-0.870651,-0.080355,0.494772,0.414418
607,1.281362,1,125,0.015432,-0.160194,-1.556638,0.304199,-1.060339,-0.594603,-0.376030,0.095594,2.269054,0.404452,-0.217495,0.015432,0.848374,0.863806
608,-0.424626,24,183,-0.272598,-0.567903,-1.119158,1.437039,-1.582353,-1.899648,-0.877559,-1.966357,-0.826987,1.930775,-1.038490,-0.272598,0.203481,-0.069117
609,-1.389140,27,132,-0.184514,0.393190,0.730602,0.359932,-0.845902,0.782577,-0.892775,1.266804,-0.492089,0.578403,1.325815,-0.184514,-1.154530,-1.339044
610,-0.504808,4,162,0.662757,-0.451843,0.066345,-0.163898,-1.746525,0.172406,-0.806285,1.332813,1.680024,0.796089,0.567040,0.662757,0.625657,1.288414
611,2.183272,18,66,0.381820,1.023272,0.127234,-1.012073,-1.137225,-0.978602,0.380995,0.944012,1.333834,-2.105567,-0.138652,0.381820,0.008720,0.390540
612,-0.375434,45,224,0.013273,0.134869,-1.293256,-0.370603,-1.862868,-0.886247,-1.383400,0.753952,0.284626,-0.199503,0.688239,0.013273,0.770873,0.784146
613,-0.446195,35,76,0.223251,2.336281,-0.347396,1.397910,-1.144404,-0.284640,-2.713432,-0.467432,-0.064404,-0.451876,0.565171,0.223251,0.273038,0.496289
614,0.535350,26,143,0.055844,0.890015,-0.582749,0.066757,-1.958416,0.104634,-0.370245,-0.107357,2.024703,-0.673912,1.608280,0.055844,0.505765,0.561609
615,-0.162079,13,138,0.330592,1.870902,-0.312428,0.620157,-0.217935,-0.037952,0.448374,-2.086853,1.137569,1.360963,0.361841,0.330592,0.447520,0.778112
616,0.959136,42,35,-0.176489,-1.267309,1.423611,-2.394869,-1.239532,-1.648513,0.280005,0.370398,0.781039,-0.783137,-0.750228,-0.176489,0.041550,-0.134939
617,2.517439,7,129,0.186560,0.082410,-0.985455,-0.462563,-2.613888,-2.052162,0.035902,1.240633,0.708216,-0.471137,0.423464,0.186560,1.265412,1.451973
618,2.654847,18,202,0.503651,0.898918,-1.484527,-0.201198,-1.099637,-1.543321,-0.460437,-0.981038,1.103371,-1.975706,-1.077612,0.503651,0.892644,1.396294
619,-2.767853,27,73,-0.480654,1.515572,1.220119,0.698635,-1.228350,0.889900,-0.060301,0.514646,0.870168,0.398972,-0.870832,-0.480654,-0.552865,-1.033519
620,1.060531,9,64,0.223337,-1.122732,-0.134891,1.522694,-0.601570,-1.376856,1.246739,0.291507,1.537399,0.602584,-1.292013,0.223337,0.553870,0.777207
621,0.886322,14,31,-0.128237,-0.259011,-1.510272,0.039842,-0.123555,-1.817559,1.075216,-0.755544,1.791179,-0.214718,1.158766,-0.128237,0.439984,0.311747
622,0.623254,18,64,-0.240156,0.869388,-0.044804,-0.955847,-1.586363,-1.552904,0.333827,0.004140,1.745346,-1.666661,0.423930,-0.240156,-0.104626,-0.344781
623,-0.798490,47,37,-0.464993,0.734091,-1.020194,-0.018325,-0.713848,-0.316254,-0.111513,1.254853,0.307548,0.653367,0.087860,-0.464993,0.004067,-0.460926
624,0.383496,32,133,0.074827,0.697437,-1.980721,-1.778175,-0.884075,-0.781663,1.454034,1.803339,-0.341827,1.531951,0.468273,0.074827,0.955418,1.030244
625,0.865804,25,28,-0.258134,-0.025346,-1.043681,0.590446,-0.975947,-0.380679,-0.177509,0.109373,0.589079,-0.620931,-0.243892,-0.258134,0.444162,0.186028
626,3.916370,38,178,-0.006547,-0.260821,-0.747301,-0.522073,0.243950,-0.830532,0.255735,-1.328733,-0.858508,-1.687603,-0.390366,-0.006547,0.935385,0.928837
627,0.207001,6,173,-0.244442,-0.920708,1.458328,-0.512358,-2.706045,-1.056107,0.265501,-0.110202,1.345828,-0.458288,0.256995,-0.244442,0.964320,0.719878
628,-1.533912,44,216,0.235154,0.147476,-0.585708,0.929900,-1.630529,-0.985471,-0.573459,0.272721,-0.890607,2.400485,-0.299073,0.235154,0.202774,0.437927
630,0.099816,25,163,0.146305,-0.068921,1.540013,1.373213,-0.798229,-1.426859,1.757074,0.761869,-0.176989,0.606582,-0.826575,0.146305,-0.307481,-0.161176
631,1.157074,31,146,-0.605697,2.058738,0.869348,-0.299954,-0.984206,0.022839,-0.484999,0.505761,0.280846,-1.784211,2.329487,-0.605697,0.769886,0.164190
632,-0.644833,27,131,0.049608,-0.241264,-0.450650,-0.633859,-1.418615,-0.019203,-0.404372,0.415321,1.841969,0.431668,0.465785,0.049608,0.986204,1.035812
633,2.273085,14,50,0.084124,0.276133,0.097605,0.106318,-1.698457,1.114725,0.894867,-0.373004,0.955824,-0.867565,0.848739,0.084124,0.465896,0.550020
634,-0.385373,27,138,-0.864566,-1.294636,-0.391275,-0.770649,-1.850963,0.492671,-1.550887,-1.152075,1.667405,-0.320788,1.565256,-0.864566,0.303955,-0.560612
635,-1.434022,27,17,-0.472454,0.322456,-1.285216,1.083141,-1.017292,-0.457636,0.573575,0.352079,2.999727,0.973088,-0.257037,-0.472454,-0.558619,-1.031073
636,0.058574,49,165,0.085769,0.743602,-1.695801,0.949841,-0.703468,0.527439,-0.692229,-0.939493,1.053424,0.449291,1.830278,0.085769,0.274584,0.360354
637,-0.629754,6,109,0.106143,0.779181,0.815891,0.580092,-3.229185,-0.523686,-1.099776,0.865454,0.142318,0.059592,0.725422,0.106143,-0.097669,0.008475
638,2.344003,30,53,-0.248644,1.774040,-0.424819,0.554696,-2.077509,0.465074,1.045724,-1.323829,0.608222,-1.360366,-0.247399,-0.248644,0.191436,-0.057209
639,-0.453812,18,217,0.498272,-0.240932,-0.682315,0.364993,0.182106,-0.972948,-0.357344,-0.559068,0.034875,1.484479,0.707940,0.498272,-0.840231,-0.341959
640,1.224797,47,123,-0.016969,-1.025303,0.163140,-0.461327,-1.500205,-0.589277,-0.185303,0.171763,0.160409,-2.082282,1.493699,-0.016969,1.839756,1.822787
641,-0.578137,0,254,0.026190,0.866894,0.244623,1.269423,-1.705980,-0.434099,1.923703,-0.014226,-0.724943,0.398512,1.390310,0.026190,0.507202,0.533392
