ID,sire,dam
51001,50560,50751
51002,50677,50781
51003,50545,50938
51004,50732,50985
51005,50569,50852
51006,50681,50812
51007,50614,50854
51008,50597,50901
51009,50713,50982
51010,50613,50908
51011,50565,50979
51012,50747,50961
51013,50580,50927
51014,50644,50778
51015,50593,50988
51016,50559,50980
51017,50731,50969
51018,50674,50828
51019,50621,50975
51020,50690,50915
51021,50650,50947
51022,50678,50859
51023,50600,50962
51024,50741,50869
51025,50743,50962
51026,50663,50901
51027,50709,50894
51028,50587,50868
51029,50526,50870
51030,50655,50867
51031,50732,50912
51032,50718,50884
51033,50632,50984
51034,50745,50799
51035,50733,50957
51036,50618,50953
51037,50585,50850
51038,50557,50967
51039,50678,50931
51040,50588,50764
51041,50515,50936
51042,50623,50840
51043,50671,50836
51044,50737,50775
51045,50736,50981
51046,50604,50751
51047,50749,50988
51048,50567,50984
51049,50747,50963
51050,50575,50877
51051,50708,50937
51052,50534,50843
51053,50632,50843
51054,50649,50879
51055,50674,50828
51056,50546,50811
51057,50635,50953
51058,50547,50827
51059,50718,50865
51060,50742,50976
51061,50697,50973
51062,50585,50921
51063,50698,50757
51064,50681,50924
51065,50699,50842
51066,50517,50955
51067,50520,50889
51068,50600,50924
51069,50513,50822
51070,50719,50873
51071,50619,50936
51072,50744,50827
51073,50544,50919
51074,50700,50940
51075,50645,50876
51076,50601,50760
51077,50554,50928
51078,50747,50812
51079,50518,50753
51080,50658,50999
51081,50662,50884
51082,50656,50893
51083,50674,50798
51084,50596,50947
51085,50630,50844
51086,50698,50846
51087,50502,50816
51088,50552,50917
51089,50569,50802
51090,50546,50770
51091,50592,50781
51092,50684,50949
51093,50666,50997
51094,50686,50914
51095,50625,50803
51096,50690,50890
51097,50654,50869
51098,50627,50981
51099,50551,50786
51100,50522,50943
51101,51035,51085
51102,51019,51079
51103,51003,51088
51104,51045,51052
51105,51034,51087
51106,51016,51075
51107,51008,51093
51108,51050,51074
51109,51019,51091
51110,51011,51070
51111,51012,51095
51112,51016,51098
51113,51015,51073
51114,51033,51080
51115,51004,51079
51116,51014,51062
51117,51036,51094
51118,51022,51054
51119,51035,51095
51120,51012,51087
51121,51050,51077
51122,51044,51072
51123,51046,51099
51124,51036,51066
51125,51006,51076
51126,51015,51086
51127,51048,51056
51128,51036,51088
51129,51033,51081
51130,51018,51059
51131,51031,51057
51132,51047,51074
51133,51025,51063
51134,51020,51065
51135,51033,51071
51136,51003,51055
51137,51030,51056
51138,51020,51095
51139,51049,51088
51140,51007,51064
51141,51032,51069
51142,51007,51054
51143,51016,51077
51144,51007,51062
51145,51034,51082
51146,51040,51083
51147,51044,51074
51148,51004,51057
51149,51035,51067
51150,51042,51075
51151,51005,51056
51152,51018,51085
51153,51049,51100
51154,51017,51097
51155,51012,51098
51156,51028,51076
51157,51003,51092
51158,51015,51084
51159,51010,51064
51160,51031,51086
51161,51032,51094
51162,51028,51070
51163,51027,51100
51164,51044,51098
51165,51003,51066
51166,51003,51090
51167,51012,51100
51168,51027,51085
51169,51046,51064
51170,51043,51095
51171,51040,51092
51172,51031,51073
51173,51021,51069
51174,51001,51053
51175,51025,51064
51176,51027,51080
51177,51013,51070
51178,51031,51058
51179,51004,51086
51180,51047,51055
51181,51009,51097
51182,51017,51070
51183,51028,51086
51184,51006,51056
51185,51046,51051
51186,51048,51064
51187,51035,51099
51188,51046,51088
51189,51002,51066
51190,51015,51081
51191,51010,51061
51192,51040,51069
51193,51029,51053
51194,51026,51086
51195,51020,51056
51196,51040,51054
51197,51037,51082
51198,51007,51054
51199,51047,51063
51200,51048,51099
51201,51125,51152
51202,51127,51200
51203,51134,51199
51204,51109,51197
51205,51105,51192
51206,51122,51182
51207,51131,51167
51208,51139,51151
51209,51149,51184
51210,51105,51193
51211,51107,51177
51212,51146,51170
51213,51131,51199
51214,51141,51191
51215,51119,51151
51216,51136,51187
51217,51109,51166
51218,51140,51199
51219,51121,51189
51220,51103,51179
51221,51117,51155
51222,51134,51197
51223,51109,51178
51224,51106,51181
51225,51102,51171
51226,51120,51190
51227,51106,51164
51228,51127,51164
51229,51136,51170
51230,51131,51165
51231,51148,51197
51232,51123,51183
51233,51132,51165
51234,51102,51191
51235,51147,51191
51236,51138,51152
51237,51130,51154
51238,51114,51157
51239,51145,51169
51240,51141,51179
51241,51131,51156
51242,51124,51153
51243,51112,51186
51244,51125,51195
51245,51140,51186
51246,51128,51179
51247,51135,51155
51248,51150,51196
51249,51101,51180
51250,51134,51198
51251,51106,51153
51252,51113,51174
51253,51103,51152
51254,51130,51191
51255,51115,51167
51256,51101,51185
51257,51128,51152
51258,51109,51194
51259,51135,51187
51260,51117,51157
51261,51141,51196
51262,51108,51184
51263,51107,51158
51264,51105,51156
51265,51124,51151
51266,51114,51169
51267,51147,51176
51268,51140,51181
51269,51116,51184
51270,51131,51185
51271,51144,51164
51272,51138,51158
51273,51136,51167
51274,51110,51196
51275,51108,51177
51276,51125,51197
51277,51148,51188
51278,51116,51162
51279,51150,51156
51280,51113,51160
51281,51101,51163
51282,51107,51177
51283,51134,51161
51284,51109,51154
51285,51142,51158
51286,51136,51193
51287,51136,51169
51288,51103,51160
51289,51142,51160
51290,51145,51200
51291,51126,51181
51292,51148,51191
51293,51128,51175
51294,51103,51155
51295,51128,51181
51296,51104,51172
51297,51134,51167
51298,51102,51157
51299,51126,51174
51300,51110,51170
