id mu# sex# age
"1" mu m 0.47619
"2" mu m 0.952381
"3" mu m 1.42857
"4" mu m 1.90476
"5" mu m 2.38095
"6" mu m 2.85714
"7" mu m 3.33333
"8" mu m 3.80952
"9" mu m 4.28571
"10" mu m 4.7619
"11" mu m 5.2381
"12" mu m 5.71429
"13" mu m 6.19048
"14" mu m 6.66667
"15" mu m 7.14286
"16" mu m 7.61905
"17" mu m 8.09524
"18" mu m 8.57143
"19" mu m 9.04762
"20" mu m 9.52381
"21" mu m 10
"22" mu m 10.4762
"23" mu m 10.9524
"24" mu m 11.4286
"25" mu m 11.9048
"26" mu m 12.381
"27" mu m 12.8571
"28" mu m 13.3333
"29" mu m 13.8095
"30" mu m 14.2857
"31" mu m 14.7619
"32" mu m 15.2381
"33" mu m 15.7143
"34" mu m 16.1905
"35" mu m 16.6667
"36" mu m 17.1429
"37" mu m 17.619
"38" mu m 18.0952
"39" mu m 18.5714
"40" mu m 19.0476
"41" mu m 19.5238
"42" mu m 20
"43" mu m 20.4762
"44" mu m 20.9524
"45" mu m 21.4286
"46" mu m 21.9048
"47" mu m 22.381
"48" mu m 22.8571
"49" mu m 23.3333
"50" mu m 23.8095
"51" mu m 24.2857
"52" mu m 24.7619
"53" mu m 25.2381
"54" mu m 25.7143
"55" mu m 26.1905
"56" mu m 26.6667
"57" mu m 27.1429
"58" mu m 27.619
"59" mu m 28.0952
"60" mu m 28.5714
"61" mu m 29.0476
"62" mu m 29.5238
"63" mu m 30
"64" mu m 30.4762
"65" mu m 30.9524
"66" mu m 31.4286
"67" mu m 31.9048
"68" mu m 32.381
"69" mu m 32.8571
"70" mu m 33.3333
"71" mu m 33.8095
"72" mu m 34.2857
"73" mu m 34.7619
"74" mu m 35.2381
"75" mu m 35.7143
"76" mu m 36.1905
"77" mu m 36.6667
"78" mu m 37.1429
"79" mu m 37.619
"80" mu m 38.0952
"81" mu m 38.5714
"82" mu m 39.0476
"83" mu m 39.5238
"84" mu m 40
"85" mu m 40.4762
"86" mu m 40.9524
"87" mu m 41.4286
"88" mu m 41.9048
"89" mu m 42.381
"90" mu m 42.8571
"91" mu m 43.3333
"92" mu m 43.8095
"93" mu m 44.2857
"94" mu m 44.7619
"95" mu m 45.2381
"96" mu m 45.7143
"97" mu m 46.1905
"98" mu m 46.6667
"99" mu m 47.1429
"100" mu f 47.619
"101" mu f 48.0952
"102" mu f 48.5714
"103" mu f 49.0476
"104" mu f 49.5238
"105" mu f 50
"106" mu f 50.4762
"107" mu f 50.9524
"108" mu f 51.4286
"109" mu f 51.9048
"110" mu f 52.381
"111" mu f 52.8571
"112" mu f 53.3333
"113" mu f 53.8095
"114" mu f 54.2857
"115" mu f 54.7619
"116" mu f 55.2381
"117" mu f 55.7143
"118" mu f 56.1905
"119" mu f 56.6667
"120" mu f 57.1429
"121" mu f 57.619
"122" mu f 58.0952
"123" mu f 58.5714
"124" mu f 59.0476
"125" mu f 59.5238
"126" mu f 60
"127" mu f 60.4762
"128" mu f 60.9524
"129" mu f 61.4286
"130" mu f 61.9048
"131" mu f 62.381
"132" mu f 62.8571
"133" mu f 63.3333
"134" mu f 63.8095
"135" mu f 64.2857
"136" mu f 64.7619
"137" mu f 65.2381
"138" mu f 65.7143
"139" mu f 66.1905
"140" mu f 66.6667
"141" mu f 67.1429
"142" mu f 67.619
"143" mu f 68.0952
"144" mu f 68.5714
"145" mu f 69.0476
"146" mu f 69.5238
"147" mu f 70
"148" mu f 70.4762
"149" mu f 70.9524
"150" mu f 71.4286
"151" mu f 71.9048
"152" mu f 72.381
"153" mu f 72.8571
"154" mu f 73.3333
"155" mu f 73.8095
"156" mu f 74.2857
"157" mu f 74.7619
"158" mu f 75.2381
"159" mu f 75.7143
"160" mu f 76.1905
"161" mu f 76.6667
"162" mu f 77.1429
"163" mu f 77.619
"164" mu f 78.0952
"165" mu f 78.5714
"166" mu f 79.0476
"167" mu f 79.5238
"168" mu f 80
"169" mu f 80.4762
"170" mu f 80.9524
"171" mu f 81.4286
"172" mu f 81.9048
"173" mu f 82.381
"174" mu f 82.8571
"175" mu f 83.3333
"176" mu f 83.8095
"177" mu f 84.2857
"178" mu f 84.7619
"179" mu f 85.2381
"180" mu f 85.7143
"181" mu f 86.1905
"182" mu f 86.6667
"183" mu f 87.1429
"184" mu f 87.619
"185" mu f 88.0952
"186" mu f 88.5714
"187" mu f 89.0476
"188" mu f 89.5238
"189" mu f 90
"190" mu f 90.4762
"191" mu f 90.9524
"192" mu f 91.4286
"193" mu f 91.9048
"194" mu f 92.381
"195" mu f 92.8571
"196" mu f 93.3333
"197" mu f 93.8095
"198" mu f 94.2857
"199" mu f 94.7619
"200" mu f 95.2381
"201" mu f 95.7143
"202" mu f 96.1905
"203" mu f 96.6667
"204" mu f 97.1429
"205" mu f 97.619
"206" mu f 98.0952
"207" mu f 98.5714
"208" mu f 99.0476
"209" mu f 99.5238
"210" mu f 100
"211" mu f 100.476
"212" mu f 100.952
"213" mu f 101.429
"214" mu f 101.905
"215" mu f 102.381
"216" mu f 102.857
"217" mu f 103.333
"218" mu f 103.81
"219" mu f 104.286
"220" mu f 104.762
"221" mu f 105.238
"222" mu f 105.714
"223" mu f 106.19
"224" mu f 106.667
"225" mu f 107.143
"226" mu f 107.619
"227" mu f 108.095
"228" mu f 108.571
"229" mu f 109.048
"230" mu f 109.524
"231" mu f 110
"232" mu f 110.476
"233" mu f 110.952
"234" mu f 111.429
"235" mu f 111.905
"236" mu f 112.381
"237" mu f 112.857
"238" mu f 113.333
"239" mu f 113.81
"240" mu f 114.286
"241" mu f 114.762
"242" mu f 115.238
"243" mu f 115.714
"244" mu f 116.19
"245" mu f 116.667
"246" mu f 117.143
"247" mu f 117.619
"248" mu f 118.095
"249" mu f 118.571
"250" mu f 119.048
"251" mu f 119.524
"252" mu f 120
"253" mu f 120.476
"254" mu f 120.952
"255" mu f 121.429
"256" mu f 121.905
"257" mu f 122.381
"258" mu f 122.857
"259" mu f 123.333
"260" mu f 123.81
"261" mu f 124.286
"262" mu f 124.762
"263" mu f 125.238
"264" mu f 125.714
"265" mu f 126.19
"266" mu f 126.667
"267" mu f 127.143
"268" mu f 127.619
"269" mu f 128.095
"270" mu f 128.571
"271" mu f 129.048
"272" mu f 129.524
"273" mu f 130
"274" mu f 130.476
"275" mu f 130.952
"276" mu f 131.429
"277" mu f 131.905
"278" mu f 132.381
"279" mu f 132.857
"280" mu f 133.333
"281" mu f 133.81
"282" mu f 134.286
"283" mu f 134.762
"284" mu f 135.238
"285" mu f 135.714
"286" mu f 136.19
"287" mu f 136.667
"288" mu f 137.143
"289" mu f 137.619
"290" mu f 138.095
"291" mu f 138.571
"292" mu f 139.048
"293" mu f 139.524
"294" mu f 140
"295" mu f 140.476
"296" mu f 140.952
"297" mu f 141.429
"298" mu f 141.905
"299" mu f 142.381
"300" mu f 142.857
