Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,15,-0.0156548,0.027034521,1.0
t1,26,0.00391578,0.022422276,1.0
t1,38,-0.0053440225,0.023944143,1.0
t1,95,0.00795238,0.027006391,1.0
t1,111,-0.004410032,0.021940796,1.0
t1,112,0.0017862249,0.021885654,1.0
t1,127,0.007385633,0.018130166,1.0
t1,128,0.009066642,0.023120703,1.0
t1,143,0.004442828,0.022189887,1.0
t1,155,-0.0031013393,0.019780122,1.0
t1,168,0.003937419,0.020939823,1.0
t1,184,0.015462391,0.029536817,1.0
t1,198,0.003085124,0.020812698,1.0
t1,238,-0.0003847915,0.020033302,1.0
t1,251,-0.017327392,0.025763601,1.0
t1,253,-0.0026777587,0.024239857,1.0
t1,279,-0.000617784,0.025157789,1.0
t1,284,0.005994739,0.021396605,1.0
t1,286,0.014170158,0.02689644,1.0
t1,299,0.0030350285,0.021905167,1.0
t1,302,-0.007610929,0.021304065,1.0
t1,307,-9.092309e-5,0.018300965,1.0
t1,333,0.0003410705,0.020137979,1.0
t1,335,-0.006318482,0.025893534,1.0
t1,360,-0.012251511,0.027279684,1.0
t1,366,0.010737198,0.02929924,1.0
t1,374,-0.008739557,0.021312714,1.0
t1,391,-0.0037635434,0.021105932,1.0
t1,413,0.0042978935,0.02455782,1.0
t1,414,-0.0037063644,0.023975724,1.0
t1,444,0.0021352465,0.020111948,1.0
t1,451,0.0016621071,0.02258465,1.0
t1,459,0.0022242358,0.0220847,1.0
t1,472,-0.011916338,0.029341659,1.0
t1,490,-0.00090871577,0.023382496,1.0
t1,497,-0.0009369283,0.022165941,1.0
t1,507,-0.0018355139,0.022877919,1.0
t1,514,-0.005947504,0.01774454,1.0
t1,523,-0.0040067863,0.019081281,1.0
t1,543,-0.0034809012,0.02482849,1.0
t1,548,0.0030932438,0.02209929,1.0
t1,550,0.0017984782,0.024767257,1.0
t1,557,-0.0030048825,0.021965344,1.0
t1,572,-0.007969451,0.024108088,1.0
t1,574,-0.013403651,0.02697507,1.0
t1,583,-0.007666364,0.025051434,1.0
t1,593,-0.0012877646,0.021865325,1.0
t1,597,-0.001750651,0.021033362,1.0
t1,598,0.0015465091,0.019059144,1.0
t1,622,-0.002585917,0.023074854,1.0
t1,629,-0.010045328,0.019248232,1.0
t1,685,-0.00826352,0.022421826,1.0
t1,689,-0.00984711,0.02111965,1.0
t1,695,0.009048443,0.02163014,1.0
t1,700,0.0024601317,0.019331787,1.0
t1,702,-0.005118596,0.022041434,1.0
t1,709,0.0007960428,0.019260952,1.0
t1,723,-0.0056082397,0.025730465,1.0
t1,730,-0.0004819199,0.019600267,1.0
t1,738,-0.0060865674,0.02315356,1.0
t1,751,0.0066483147,0.026544107,1.0
t1,759,-0.00993836,0.030050173,1.0
t1,760,-0.0048688324,0.02162859,1.0
t1,773,0.0009303985,0.026428873,1.0
t1,778,-0.0017785415,0.022957338,1.0
t1,795,-0.007863477,0.022671837,1.0
t1,805,0.0018715027,0.024940219,1.0
t1,806,0.0003881107,0.019673675,1.0
t1,813,0.0010902706,0.021582786,1.0
t1,819,-0.0027043675,0.021735126,1.0
t1,829,-0.0037095672,0.02049914,1.0
t1,836,0.00029410972,0.022023056,1.0
t1,837,0.0055221235,0.02798931,1.0
t1,843,-0.0021246437,0.022360759,1.0
t1,846,0.0030725012,0.026162606,1.0
t1,852,0.0028477614,0.025500469,1.0
t1,856,0.0053262436,0.025635902,1.0
t1,867,-0.002099892,0.017822929,1.0
t1,879,0.0017498289,0.018026814,1.0
t1,881,0.005039995,0.022737222,1.0
t1,889,-0.00039695253,0.021294665,1.0
t1,898,-0.008318947,0.022960477,1.0
t1,914,0.004234354,0.020887595,1.0
t1,927,-0.0073638246,0.025100313,1.0
t1,939,0.0028077273,0.022185976,1.0
t1,957,-0.008984255,0.025911056,1.0
t1,977,0.010848857,0.027423419,1.0
t1,992,0.0031153394,0.025657812,1.0
t1,1016,-0.0126761645,0.02269281,1.0
t1,1020,0.0008734672,0.020777058,1.0
t1,1023,0.0053238505,0.02489414,1.0
t1,1054,-0.0034510966,0.021593489,1.0
t1,1062,-0.005923243,0.0305943,1.0
t1,1069,-0.0006054762,0.026070384,1.0
t1,1091,0.0053439783,0.022345118,1.0
t1,1094,-0.000440069,0.023415156,1.0
t1,1096,-0.003791454,0.022925034,1.0
t1,1097,-0.0035786142,0.019236976,1.0
t1,1099,0.005005108,0.021119999,1.0
t1,1104,-0.0032817062,0.021423146,1.0
t1,1112,0.002056522,0.01855525,1.0
t1,1114,-0.003901813,0.0213147,1.0
t1,1157,-0.012319145,0.022722054,1.0
t1,1164,-0.008078796,0.024202887,1.0
t1,1180,0.00083202455,0.020086538,1.0
t1,1193,0.010201399,0.025608975,1.0
t1,1216,-0.0023355964,0.02237226,1.0
t1,1224,0.0034322368,0.019885818,1.0
t1,1233,-0.011039276,0.02380871,1.0
t1,1240,-0.006991792,0.022625573,1.0
t1,1241,-0.0028925636,0.023643617,1.0
t1,1269,0.01231569,0.02780367,1.0
t1,1272,0.0025729346,0.020981364,1.0
t1,1277,-0.015325847,0.029166926,1.0
t1,1282,0.0010818872,0.022900999,1.0
t1,1283,0.006606093,0.019176763,1.0
t1,1296,-0.0006823947,0.021516,1.0
t1,1298,0.001198342,0.01956058,1.0
t1,1318,-0.007788167,0.021179391,1.0
t1,1319,-0.0045897043,0.019316694,1.0
t1,1321,0.002011088,0.021297993,1.0
t1,1336,-0.0064992714,0.023153747,1.0
t1,1339,-0.0007753865,0.020263618,1.0
t1,1345,0.007415325,0.02244309,1.0
t1,1352,-0.015044955,0.02781914,1.0
t1,1360,-0.012647176,0.024991507,1.0
t1,1365,-0.0004970676,0.026177317,1.0
t1,1373,0.0011132975,0.020379575,1.0
t1,1390,0.009225708,0.021580392,1.0
t1,1391,-0.0067616645,0.02183501,1.0
t1,1396,-0.0068839127,0.021005282,1.0
t1,1407,-0.0005803571,0.018518573,1.0
t1,1433,0.006007346,0.020554831,1.0
t1,1451,0.010854372,0.022219302,1.0
t1,1452,0.0047990996,0.024719033,1.0
t1,1454,0.005083942,0.019862268,1.0
t1,1455,0.005381056,0.015942404,1.0
t1,1462,0.0043667713,0.022814477,1.0
t1,1465,-0.0063954233,0.019131804,1.0
t1,1485,-0.0020129904,0.023236992,1.0
t1,1500,0.006915333,0.02616332,1.0
t1,1504,0.0005297898,0.027797941,1.0
t1,1518,0.0001333325,0.022119686,1.0
t1,1547,0.010475791,0.028398525,1.0
t1,1552,0.0026126327,0.019848606,1.0
t1,1564,0.0013879656,0.018712241,1.0
t1,1574,-0.018660175,0.030358786,1.0
t1,1595,-0.010432241,0.03133054,1.0
t1,1606,0.0013634068,0.02007917,1.0
t1,1608,-0.0077837356,0.026865598,1.0
t1,1616,0.007589637,0.020900816,1.0
t1,1618,-0.009048477,0.022810688,1.0
t1,1643,0.0010500307,0.023548389,1.0
t1,1700,-0.013401178,0.03050227,1.0
t1,1729,0.005275083,0.024562335,1.0
t1,1732,-0.00565181,0.022677207,1.0
t1,1739,0.0036979695,0.01960492,1.0
t1,1765,0.0004615826,0.018812876,1.0
t1,1792,-0.0041675516,0.018897818,1.0
t1,1828,-0.014526791,0.02552328,1.0
t1,1838,0.0041599474,0.020831678,1.0
t1,1847,-0.01181041,0.021584729,1.0
t1,1873,0.0025882944,0.022071766,1.0
t1,1878,0.005544327,0.021522062,1.0
t1,1885,-0.0025928083,0.023447245,1.0
t1,1889,0.0027481455,0.021798512,1.0
t1,1891,0.0019493514,0.021077393,1.0
t1,1894,0.0048684785,0.019524364,1.0
t1,1910,0.0020320187,0.022296134,1.0
t1,1925,-0.008848614,0.0215736,1.0
t1,1940,-0.003412871,0.020105787,1.0
t1,1941,-0.010810188,0.022198679,1.0
t1,1943,0.00068904116,0.019370977,1.0
t1,1948,-0.0069507915,0.023272034,1.0
t1,1956,0.0041018543,0.024185097,1.0
t1,1957,3.699204e-5,0.020643316,1.0
t1,1977,-0.005627969,0.021034772,1.0
t1,1982,0.0028353669,0.02684132,1.0
t1,1985,-0.012469373,0.023431169,1.0
t1,1996,-0.0040906165,0.020188529,1.0
t1,2009,0.008310873,0.02368986,1.0
t1,2023,-0.0047649313,0.01994964,1.0
t1,2030,0.0053841756,0.022964705,1.0
t1,2038,0.0075698686,0.01999437,1.0
t1,2043,0.0012353081,0.018404678,1.0
t1,2047,0.006186524,0.025329951,1.0
t1,2053,0.009506226,0.020671848,1.0
t1,2054,0.01766704,0.030959416,1.0
t1,2057,0.0038937277,0.026290815,1.0
t1,2074,-0.004328005,0.023145096,1.0
t1,2090,0.0022796455,0.021247923,1.0
t1,2115,-0.002858253,0.022966517,1.0
t1,2119,-0.0014212397,0.022915749,1.0
t1,2130,0.004109414,0.020885063,1.0
t1,2132,0.0012784182,0.022399805,1.0
t1,2141,0.001295148,0.027062135,1.0
t1,2142,-0.0018550974,0.018618679,1.0
t1,2144,0.0014149599,0.021932634,1.0
t1,2150,-0.00012414878,0.018681312,1.0
t1,2151,-0.0050438987,0.01949229,1.0
t1,2167,0.0042287684,0.024877517,1.0
t1,2169,-0.0005098966,0.02409183,1.0
t1,2170,0.0087675,0.021315344,1.0
t1,2171,-0.00017530436,0.02204334,1.0
t1,2182,0.0007235501,0.01951444,1.0
t1,2189,0.0007807671,0.022892823,1.0
t1,2202,0.002449377,0.019136326,1.0
t1,2241,0.011836615,0.021004606,1.0
t1,2245,-0.0069291987,0.022781506,1.0
t1,2251,-8.0086524e-5,0.018893784,1.0
t1,2257,-0.004768127,0.022539414,1.0
t1,2265,-0.0067022457,0.035432704,1.0
t1,2279,-0.005672093,0.019008534,1.0
t1,2285,0.0008980254,0.024816621,1.0
t1,2301,-0.010807441,0.023546468,1.0
t1,2316,0.009200422,0.02172142,1.0
t1,2318,-0.004282231,0.025003845,1.0
t1,2325,0.0031141615,0.02410427,1.0
t1,2329,0.0013766721,0.021082638,1.0
t1,2334,-0.0045836093,0.030314976,1.0
t1,2343,0.0037489429,0.0214049,1.0
t1,2345,-0.0064600124,0.02178252,1.0
t1,2346,-0.002989113,0.020294804,1.0
t1,2360,-0.001967667,0.019918071,1.0
t1,2366,-0.008942475,0.025377698,1.0
t1,2372,-0.0005523017,0.018048957,1.0
t1,2381,0.0040965574,0.022492481,1.0
t1,2389,0.004367799,0.025180787,1.0
t1,2392,0.0015733085,0.022765528,1.0
t1,2396,0.0025978873,0.021383058,1.0
t1,2420,0.005587605,0.022369191,1.0
t1,2430,-0.0061935107,0.018704567,1.0
t1,2431,-0.0016718416,0.02060532,1.0
t1,2446,0.004185817,0.026723372,1.0
t1,2458,-0.0023848927,0.021953626,1.0
t1,2470,0.0022619118,0.02398007,1.0
t1,2489,0.006553614,0.021765975,1.0
t1,2492,0.0045040892,0.02494597,1.0
t1,2497,-0.0046226014,0.0220478,1.0
t1,2528,0.00311127,0.019335074,1.0
t1,2545,0.0044440595,0.028282708,1.0
t1,2574,-0.0031659482,0.0254393,1.0
t1,2596,-0.008175379,0.0232318,1.0
t1,2603,8.363391e-6,0.019894999,1.0
t1,2613,-0.0009269625,0.02546974,1.0
t1,2620,0.0014569834,0.022300225,1.0
t1,2621,-0.007170168,0.02108093,1.0
t1,2630,-0.0045784423,0.019094441,1.0
t1,2640,0.008448015,0.019857556,1.0
t1,2644,0.0030374494,0.020599412,1.0
t1,2662,-0.00033595934,0.023566429,1.0
t1,2692,0.012964105,0.028690893,1.0
t1,2707,0.00034445574,0.023524122,1.0
t1,2709,0.008693688,0.0243885,1.0
t1,2712,0.00035615006,0.022501243,1.0
t1,2722,-0.011053046,0.021912916,1.0
t1,2723,-0.002867025,0.025362292,1.0
t1,2727,-0.0033313306,0.019492881,1.0
t1,2730,0.001346484,0.02327219,1.0
t1,2775,0.004499284,0.020473212,1.0
t1,2822,0.00060735265,0.021597497,1.0
t1,2825,-0.005054599,0.022102239,1.0
t1,2831,0.0013588165,0.02010684,1.0
t1,2846,0.006451165,0.023814287,1.0
t1,2861,-0.0025339352,0.019382492,1.0
t1,2868,0.007325648,0.023551777,1.0
t1,2886,-0.0025356237,0.019147014,1.0
t1,2888,-0.0016924641,0.017699942,1.0
t1,2899,0.0012179598,0.019830018,1.0
t1,2915,0.0053978455,0.02461544,1.0
t1,2936,-0.008123972,0.027155988,1.0
t1,2938,-1.9718129e-5,0.02158917,1.0
t1,2939,-0.012299355,0.023421133,1.0
t1,2953,-0.010061627,0.025710385,1.0
t1,2962,0.0009799383,0.022516562,1.0
t1,2998,0.00210941,0.02274999,1.0
t1,3019,-0.0042433934,0.020007987,1.0
t1,3029,-0.0029337036,0.020045754,1.0
t1,3052,-0.0014160872,0.022628592,1.0
t1,3074,-0.0007851042,0.020077648,1.0
t1,3087,-0.008681569,0.025621621,1.0
t1,3090,0.0008416137,0.020538483,1.0
t1,3109,-0.009978163,0.025274044,1.0
t1,3114,0.011067036,0.031185942,1.0
t1,3120,0.010494633,0.028201874,1.0
t1,3121,-0.00031147408,0.019359395,1.0
t1,3122,0.0014113237,0.022124853,1.0
t1,3123,0.0074363886,0.026625685,1.0
t1,3143,0.004987986,0.028753169,1.0
t1,3153,-0.0029883848,0.020568134,1.0
t1,3157,-0.007744511,0.020099362,1.0
t1,3167,0.0028026262,0.018653182,1.0
t1,3175,0.0056496765,0.02632673,1.0
t1,3177,0.0018156825,0.019671166,1.0
t1,3180,0.0020822147,0.020195095,1.0
t1,3181,0.005255669,0.023791306,1.0
t1,3182,0.0023487282,0.023026608,1.0
t1,3183,-0.0056235394,0.019815693,1.0
t1,3194,0.0016780609,0.02564759,1.0
t1,3216,-0.005415125,0.024173345,1.0
t1,3217,0.002538478,0.026760329,1.0
t1,3222,0.002920276,0.022064177,1.0
t1,3237,-0.011756622,0.020875873,1.0
t1,3239,0.0052726357,0.023812003,1.0
t1,3242,0.0059460974,0.02384621,1.0
t1,3254,-0.0066368342,0.02303274,1.0
t1,3280,0.0012726058,0.021456987,1.0
t1,3282,-0.015888456,0.029013844,1.0
t1,3283,0.004361293,0.020871326,1.0
t1,3290,0.0036341054,0.021163788,1.0
t1,3298,-0.012108953,0.027015526,1.0
t1,3302,-0.0041416893,0.023176739,1.0
t1,3303,-0.005603198,0.022369798,1.0
t1,3314,0.00310268,0.023819288,1.0
t1,3315,-0.0048943376,0.021467358,1.0
t1,3316,0.0038327489,0.027142633,1.0
t1,3334,-0.0062065143,0.025772432,1.0
t1,3338,-0.005908189,0.021759735,1.0
t1,3341,-0.010480866,0.022186195,1.0
t1,3351,-0.0028923019,0.021589223,1.0
