Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,7,0.0005667790734344974,0.009525059004433319,1.0
t1,12,-0.001502052887010463,0.007442123208733326,1.0
t1,19,-0.003591932455571012,0.009834659582294493,1.0
t1,20,-0.0015389827297026897,0.007210740099167412,1.0
t1,29,-0.0011603492333393654,0.008542627976640082,1.0
t1,44,-0.0010668782005741897,0.007553179968396782,1.0
t1,45,-0.0015285865762449842,0.0077614082948287335,1.0
t1,53,-0.0011739078127973486,0.008359424445917073,1.0
t1,69,-0.0011469873239069036,0.0079232617704947,1.0
t1,107,7.299248373115541e-5,0.008732515161692258,1.0
t1,116,-7.758628161821959e-5,0.009945141538643742,1.0
t1,122,0.0004529399904362667,0.007266984222410658,1.0
t1,126,-0.002144989569829824,0.008913884687942051,1.0
t1,128,0.0006264515114625974,0.00855817338949291,1.0
t1,141,-0.002416542848390942,0.009450921143454794,1.0
t1,142,0.0022936157297356475,0.008150709876527416,1.0
t1,150,0.0010967530383907585,0.008572759733562144,1.0
t1,168,0.0034446783785449455,0.010188637259773156,1.0
t1,186,-0.0019802633424618726,0.0085847075353683,1.0
t1,208,0.0007153635274082781,0.007970115355644972,1.0
t1,212,-0.0014187251933171071,0.009304528927344976,1.0
t1,213,-0.0022329919973995893,0.011345233253355135,1.0
t1,214,-0.0007012866359572369,0.007808135331209308,1.0
t1,218,-0.0015426396592429828,0.008527141618664896,1.0
t1,219,-0.0009183546714331316,0.008709017697494086,1.0
t1,227,0.0009007982720651993,0.0075502206193019525,1.0
t1,234,-0.0011859584267354488,0.008805323713535604,1.0
t1,248,-0.0008174712896068117,0.008296002804703322,1.0
t1,259,-0.003375309103311038,0.008699016996830391,1.0
t1,261,0.0002966935388563816,0.009182252933406552,1.0
t1,270,0.0009638997038911945,0.008551116204755004,1.0
t1,287,-0.0019937537476861205,0.008473955873605048,1.0
t1,295,0.00026338302729965354,0.007756718470979015,1.0
t1,320,-0.0009156786959629698,0.008453597331959497,1.0
t1,333,0.00013646230199691474,0.009968272876953215,1.0
t1,338,-0.0017881053226211892,0.009216572676427764,1.0
t1,345,-0.0023255822980609276,0.009178885667433452,1.0
t1,369,-0.0018260444942094231,0.007977093602303429,1.0
t1,384,-0.0005614861490392235,0.008146847903816458,1.0
t1,390,-0.0035499692596204792,0.008080430653873498,1.0
t1,392,-0.0019104788918227393,0.007735553272339558,1.0
t1,393,0.0014465832481444947,0.009587462485303469,1.0
t1,419,0.0004448203342579166,0.009007764690913253,1.0
t1,443,-0.001471338066573541,0.008423362240180664,1.0
t1,466,0.0038506636422859595,0.008875211704524258,1.0
t1,481,0.00023596958814766077,0.007647896516333484,1.0
t1,489,0.001277094378075724,0.008607204849300883,1.0
t1,509,0.000882600925791562,0.009024802430067659,1.0
t1,513,-0.001686262270051823,0.0069876924009914035,1.0
t1,523,-0.0005622033378483451,0.0075091565497403005,1.0
t1,525,-0.004154929617630703,0.009307799183885634,1.0
t1,529,-0.002138094555606847,0.008946482394351248,1.0
t1,540,0.0007946375894679968,0.00897827717071927,1.0
t1,547,-0.0011373399391896844,0.00946670426380555,1.0
t1,560,0.005511448154677317,0.011691640204993749,1.0
t1,561,0.001894698733365951,0.008328123741285368,1.0
t1,565,-4.531060110582073e-5,0.007598010280322117,1.0
t1,589,-0.0014040263305387555,0.007889337119178632,1.0
t1,590,5.446686858815624e-5,0.007421818557885727,1.0
t1,601,0.0015701856584420062,0.01050833804683156,1.0
t1,602,-0.0002552598481791278,0.007685300639193348,1.0
t1,610,0.00035314066567046823,0.007976246604622957,1.0
t1,616,-0.002205778259744183,0.00806794420734822,1.0
t1,621,0.0011905198772950082,0.008313994554752227,1.0
t1,630,-0.0009926549637040015,0.008658620401669107,1.0
t1,635,-0.0027118316171080483,0.007626046866782796,1.0
t1,652,-0.0012095423070209714,0.008939610650726256,1.0
t1,661,-0.0014277028863542126,0.007897399867989471,1.0
t1,685,-0.0010128169550390144,0.008630087471879103,1.0
t1,688,0.0003382576578437927,0.008023850409070174,1.0
t1,694,-0.0011769702172602333,0.008589618871797563,1.0
t1,698,0.0014602944536148401,0.007357785716872847,1.0
t1,702,-0.0005699016736799722,0.009905715802313668,1.0
t1,712,0.0012044858217030185,0.008968820687940752,1.0
t1,715,-0.00152128497812913,0.010947878450442075,1.0
t1,748,-0.0011885887227876598,0.00961579619421254,1.0
t1,763,0.0017649492608318726,0.0074733061532613896,1.0
t1,786,-0.00020727899684801844,0.009137788801390524,1.0
t1,793,0.0030190470459025903,0.008998445049900992,1.0
t1,828,0.004505955469242212,0.00858957532563711,1.0
t1,830,-0.0012655169409018685,0.00802186738673806,1.0
t1,843,0.0003843014909075917,0.009551602121675419,1.0
t1,866,0.0002821750400323988,0.007653583799473763,1.0
t1,895,-0.0009612353652110296,0.009882032678485062,1.0
t1,906,-0.00023507145484132658,0.008742730065186177,1.0
t1,913,-0.0007148844433529274,0.007336573027095159,1.0
t1,928,0.0033509171225482247,0.0077780713253007136,1.0
t1,949,0.003177414147574147,0.008532946304506179,1.0
t1,957,-0.001860317052165343,0.00942653274606695,1.0
t1,982,2.168771707937038e-5,0.007400819698204844,1.0
t1,993,-0.001313101649711075,0.009639849160341657,1.0
t1,995,0.0012366147130617126,0.009839600004910218,1.0
t1,1001,0.0001934973098996212,0.010109997761176522,1.0
t1,1008,0.00011763270619868754,0.009475632864623034,1.0
t1,1022,-0.00533633478264045,0.00961182900112492,1.0
t1,1050,0.000730540108393414,0.008518801576617017,1.0
t1,1054,-0.0027676400459054726,0.010215285278764646,1.0
t1,1072,0.0003577223391931634,0.008071284788539362,1.0
t1,1085,0.0002477098906102278,0.009907668559956171,1.0
t1,1093,-0.0007271361729949461,0.00848591331597211,1.0
t1,1095,0.0007074366406646204,0.007673116776965332,1.0
t1,1100,-0.002200779902006864,0.01061404322586459,1.0
t1,1127,-0.0008139856807880904,0.007530745497770577,1.0
t1,1128,-0.002226752835587826,0.009037399024088016,1.0
t1,1131,0.0008236717879531072,0.009056643462563324,1.0
t1,1163,-0.000616623387189281,0.00955886464760311,1.0
t1,1167,0.0014955403886710448,0.00876842589053144,1.0
t1,1179,6.215403551661141e-5,0.007077116135867081,1.0
t1,1180,-0.0005226117409883154,0.008023107688013101,1.0
t1,1181,0.0015578187437475027,0.009141986472358997,1.0
t1,1182,-0.002664261657926015,0.009544310342182803,1.0
t1,1183,-0.0005309153978202289,0.008105816657357648,1.0
t1,1198,-0.0014417468092369995,0.008206321490860556,1.0
