"marker_id","is_causal","true_effect"
"m1",FALSE,0
"m2",FALSE,0
"m3",FALSE,0
"m4",FALSE,0
"m5",FALSE,0
"m6",FALSE,0
"m7",FALSE,0
"m8",FALSE,0
"m9",FALSE,0
"m10",FALSE,0
"m11",FALSE,0
"m12",FALSE,0
"m13",FALSE,0
"m14",FALSE,0
"m15",FALSE,0
"m16",FALSE,0
"m17",FALSE,0
"m18",FALSE,0
"m19",FALSE,0
"m20",FALSE,0
"m21",FALSE,0
"m22",FALSE,0
"m23",FALSE,0
"m24",FALSE,0
"m25",FALSE,0
"m26",FALSE,0
"m27",FALSE,0
"m28",FALSE,0
"m29",FALSE,0
"m30",FALSE,0
"m31",FALSE,0
"m32",FALSE,0
"m33",FALSE,0
"m34",FALSE,0
"m35",FALSE,0
"m36",FALSE,0
"m37",FALSE,0
"m38",FALSE,0
"m39",FALSE,0
"m40",FALSE,0
"m41",FALSE,0
"m42",FALSE,0
"m43",FALSE,0
"m44",FALSE,0
"m45",FALSE,0
"m46",FALSE,0
"m47",FALSE,0
"m48",FALSE,0
"m49",FALSE,0
"m50",FALSE,0
"m51",FALSE,0
"m52",FALSE,0
"m53",FALSE,0
"m54",FALSE,0
"m55",FALSE,0
"m56",FALSE,0
"m57",FALSE,0
"m58",FALSE,0
"m59",FALSE,0
"m60",FALSE,0
"m61",FALSE,0
"m62",FALSE,0
"m63",FALSE,0
"m64",FALSE,0
"m65",FALSE,0
"m66",FALSE,0
"m67",FALSE,0
"m68",FALSE,0
"m69",FALSE,0
"m70",FALSE,0
"m71",FALSE,0
"m72",FALSE,0
"m73",FALSE,0
"m74",FALSE,0
"m75",FALSE,0
"m76",FALSE,0
"m77",FALSE,0
"m78",FALSE,0
"m79",FALSE,0
"m80",FALSE,0
"m81",FALSE,0
"m82",FALSE,0
"m83",FALSE,0
"m84",FALSE,0
"m85",FALSE,0
"m86",FALSE,0
"m87",FALSE,0
"m88",FALSE,0
"m89",FALSE,0
"m90",FALSE,0
"m91",FALSE,0
"m92",FALSE,0
"m93",FALSE,0
"m94",FALSE,0
"m95",FALSE,0
"m96",FALSE,0
"m97",FALSE,0
"m98",FALSE,0
"m99",FALSE,0
"m100",FALSE,0
"m101",FALSE,0
"m102",FALSE,0
"m103",FALSE,0
"m104",FALSE,0
"m105",FALSE,0
"m106",FALSE,0
"m107",FALSE,0
"m108",FALSE,0
"m109",FALSE,0
"m110",FALSE,0
"m111",FALSE,0
"m112",FALSE,0
"m113",FALSE,0
"m114",FALSE,0
"m115",FALSE,0
"m116",FALSE,0
"m117",FALSE,0
"m118",TRUE,0.569374826052773
"m119",FALSE,0
"m120",FALSE,0
"m121",FALSE,0
"m122",FALSE,0
"m123",FALSE,0
"m124",FALSE,0
"m125",FALSE,0
"m126",FALSE,0
"m127",FALSE,0
"m128",FALSE,0
"m129",FALSE,0
"m130",FALSE,0
"m131",FALSE,0
"m132",FALSE,0
"m133",FALSE,0
"m134",FALSE,0
"m135",FALSE,0
"m136",FALSE,0
"m137",FALSE,0
"m138",FALSE,0
"m139",FALSE,0
"m140",FALSE,0
"m141",FALSE,0
"m142",FALSE,0
"m143",FALSE,0
"m144",FALSE,0
"m145",FALSE,0
"m146",FALSE,0
"m147",FALSE,0
"m148",FALSE,0
"m149",FALSE,0
"m150",FALSE,0
"m151",FALSE,0
"m152",FALSE,0
"m153",FALSE,0
"m154",FALSE,0
"m155",FALSE,0
"m156",FALSE,0
"m157",FALSE,0
"m158",FALSE,0
"m159",FALSE,0
"m160",FALSE,0
"m161",FALSE,0
"m162",FALSE,0
"m163",FALSE,0
"m164",FALSE,0
"m165",FALSE,0
"m166",FALSE,0
"m167",FALSE,0
"m168",FALSE,0
"m169",FALSE,0
"m170",FALSE,0
"m171",FALSE,0
"m172",FALSE,0
"m173",FALSE,0
"m174",FALSE,0
"m175",FALSE,0
"m176",FALSE,0
"m177",FALSE,0
"m178",FALSE,0
"m179",TRUE,-4.04034705576734
"m180",FALSE,0
"m181",FALSE,0
"m182",FALSE,0
"m183",FALSE,0
"m184",FALSE,0
"m185",FALSE,0
"m186",FALSE,0
"m187",FALSE,0
"m188",FALSE,0
"m189",FALSE,0
"m190",FALSE,0
"m191",FALSE,0
"m192",FALSE,0
"m193",FALSE,0
"m194",FALSE,0
"m195",TRUE,-1.04858485838216
"m196",FALSE,0
"m197",FALSE,0
"m198",FALSE,0
"m199",FALSE,0
"m200",FALSE,0
"m201",FALSE,0
"m202",FALSE,0
"m203",FALSE,0
"m204",FALSE,0
"m205",FALSE,0
"m206",FALSE,0
"m207",FALSE,0
"m208",FALSE,0
"m209",FALSE,0
"m210",FALSE,0
"m211",FALSE,0
"m212",FALSE,0
"m213",FALSE,0
"m214",FALSE,0
"m215",FALSE,0
"m216",FALSE,0
"m217",FALSE,0
"m218",FALSE,0
"m219",FALSE,0
"m220",FALSE,0
"m221",FALSE,0
"m222",FALSE,0
"m223",FALSE,0
"m224",FALSE,0
"m225",FALSE,0
"m226",FALSE,0
"m227",FALSE,0
"m228",FALSE,0
"m229",TRUE,-2.20658304188078
"m230",FALSE,0
"m231",FALSE,0
"m232",FALSE,0
"m233",FALSE,0
"m234",FALSE,0
"m235",FALSE,0
"m236",FALSE,0
"m237",FALSE,0
"m238",FALSE,0
"m239",FALSE,0
"m240",FALSE,0
"m241",FALSE,0
"m242",FALSE,0
"m243",FALSE,0
"m244",FALSE,0
"m245",FALSE,0
"m246",FALSE,0
"m247",FALSE,0
"m248",FALSE,0
"m249",FALSE,0
"m250",FALSE,0
"m251",FALSE,0
"m252",FALSE,0
"m253",FALSE,0
"m254",FALSE,0
"m255",FALSE,0
"m256",FALSE,0
"m257",FALSE,0
"m258",FALSE,0
"m259",FALSE,0
"m260",FALSE,0
"m261",FALSE,0
"m262",FALSE,0
"m263",FALSE,0
"m264",FALSE,0
"m265",FALSE,0
