Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,7,-0.0003571872163220909,0.009009328699789905,1.0
t1,12,0.0002690472647463107,0.008513123144046926,1.0
t1,19,-0.0039051598490901073,0.007332327772817826,1.0
t1,20,-0.0006942528399184836,0.008533832690256631,1.0
t1,29,-0.0006355417644723721,0.007136906254859386,1.0
t1,44,-0.0010969598295150307,0.008350747675269617,1.0
t1,45,-0.0013237316998079276,0.008739899916168019,1.0
t1,53,-0.0011079175708631442,0.00914160685731324,1.0
t1,69,-0.0010598425330682264,0.008099654237922813,1.0
t1,107,-0.0008508545290090217,0.008712383740723117,1.0
t1,116,0.00039136258361634793,0.00927608624919262,1.0
t1,122,6.645238659098272e-5,0.009050458766550827,1.0
t1,126,0.0011033376985637288,0.008525094395778528,1.0
t1,128,0.0020997055818939574,0.008863114934735933,1.0
t1,141,-0.001746249825674981,0.007358547332286177,1.0
t1,142,0.0019436593848758746,0.00792331718359047,1.0
t1,150,-0.0005566005045340246,0.008668560840014659,1.0
t1,168,0.003680428087797402,0.00718509167107296,1.0
t1,186,-0.002150248021193894,0.007886655641524257,1.0
t1,208,0.000626733715168994,0.008391260270332187,1.0
t1,212,-0.0017233984353635789,0.008592949014960811,1.0
t1,213,-0.0013538758583282837,0.00792985114228293,1.0
t1,214,-0.00040843176116513673,0.009637823180149914,1.0
t1,218,0.0006361750016079717,0.007985811797589146,1.0
t1,219,0.00037919116618389983,0.008081700877469357,1.0
t1,227,-0.0014581538687576854,0.007742044905251328,1.0
t1,234,-0.0004097999586307271,0.008928975222314598,1.0
t1,248,0.0005960399881852448,0.007476737609060471,1.0
t1,259,-0.002923537728606737,0.008028757102453625,1.0
t1,261,0.0016882341207920242,0.00714217806787993,1.0
t1,270,0.0018646672340655623,0.007200359217935068,1.0
t1,287,-0.0025568320876136804,0.009283858954465355,1.0
t1,295,-0.0007125996561624226,0.007081343601143097,1.0
t1,320,-0.00015477673777289513,0.008841843718707755,1.0
t1,333,-0.0009714247010793323,0.008297343988054692,1.0
t1,338,-0.0011814849210071807,0.00893629347304907,1.0
t1,345,-0.0014363323099700102,0.00909709263363755,1.0
t1,369,0.0007284731490920813,0.007738665211939622,1.0
t1,384,-0.0011394845477673255,0.008211905684693653,1.0
t1,390,-0.003970161122297738,0.007530098943505063,1.0
t1,392,-0.001777685813652291,0.007342614284135423,1.0
t1,393,0.0015885380889073951,0.007575341030591028,1.0
t1,419,-0.0006915003344431369,0.007902781576526123,1.0
t1,443,-0.0008829317522472618,0.008258971681654528,1.0
t1,466,0.005080851898987135,0.008659088593032918,1.0
t1,481,-0.0004039204627054387,0.008665010814958282,1.0
t1,489,0.0011185648904260955,0.00849986758451528,1.0
t1,509,0.0004308658132221477,0.008880884161557643,1.0
t1,513,-0.00207295443097224,0.007570269845383403,1.0
t1,523,-0.0015416802363920127,0.008540538437218623,1.0
t1,525,-0.0017589282604003774,0.00888781222553095,1.0
t1,529,-0.0021946392158095737,0.00878577378584939,1.0
t1,540,-0.0003943440040021926,0.009102326036386374,1.0
t1,547,-0.000957353080831826,0.00947331485740354,1.0
t1,560,0.0048955664245119105,0.008760834303446893,1.0
t1,561,0.0009784366383761836,0.007820305357687948,1.0
t1,565,0.00014690684362333875,0.008890788001421962,1.0
t1,589,-0.0015484034787347873,0.008899834817529463,1.0
t1,590,8.855118725627242e-5,0.007209501014476172,1.0
t1,601,0.0019314219332727822,0.008324974682042394,1.0
t1,602,0.0007892130468580479,0.008474877417547369,1.0
t1,610,0.0018616533395475194,0.008280407334992272,1.0
t1,616,-0.004057717355908565,0.007658455713537352,1.0
t1,621,0.0003123563783010404,0.009232974018191776,1.0
t1,630,0.001003729217544062,0.007929328633009823,1.0
t1,635,-0.001850307649054744,0.008006854271783336,1.0
t1,652,-0.0006784181336452208,0.007240113602898631,1.0
t1,661,0.0005192467818479796,0.008112776032752967,1.0
t1,685,-0.0008024516664390675,0.008303126184515824,1.0
t1,688,0.001363335073859166,0.008061520845032795,1.0
t1,694,0.00024307096508565873,0.0068648912185338565,1.0
t1,698,0.0030216408717615877,0.009304109878415092,1.0
t1,702,-0.0011643865726493866,0.008262612058050473,1.0
t1,712,0.0007120825013742932,0.007660923121421179,1.0
t1,715,-0.0011545839352004104,0.007699747476190031,1.0
t1,748,0.0004223494419395729,0.008270231113334518,1.0
t1,763,0.0009227226611453352,0.00824365108163776,1.0
t1,786,-0.0015794085599232196,0.008360041630415682,1.0
t1,793,0.0027191843471736973,0.0073973155895783755,1.0
t1,828,0.004757562771636531,0.007498150452936549,1.0
t1,830,-0.002159480846779735,0.008115601153406711,1.0
t1,843,-0.002619563304334082,0.008084833372021566,1.0
t1,866,0.0012675821048967217,0.00689349410773777,1.0
t1,895,-0.0010937966120092748,0.008981162870822105,1.0
t1,906,-0.0015247112166084345,0.008922050929173145,1.0
t1,913,-0.0010677457748606686,0.008223194276186433,1.0
t1,928,0.0017131589382099579,0.008029187391437966,1.0
t1,949,0.0022119308461784983,0.00875795558186875,1.0
t1,957,-0.0008412684581996549,0.008483879393287803,1.0
t1,982,0.0005925847720361764,0.00798741623988655,1.0
t1,993,-0.00031192019962621284,0.00807569628154192,1.0
t1,995,0.0014720994678124552,0.008472184608133596,1.0
t1,1001,-0.0005607575968742083,0.008127821527057301,1.0
t1,1008,-6.0454533649266216e-5,0.006809258435349733,1.0
