Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,15,-0.0038906531,0.009871833,0.93
t1,26,0.0014606612,0.010108316,0.89
t1,38,-0.0012078979,0.008942409,0.9499999
t1,95,-0.00094873563,0.010841439,0.95
t1,111,0.00050946977,0.010794249,0.93999994
t1,112,-0.0023848896,0.010991729,0.96
t1,127,0.0023682925,0.008881496,0.90000004
t1,128,0.0036003692,0.009542587,0.94
t1,143,-0.00011671864,0.010552959,0.90000004
t1,155,-0.0012842963,0.009561793,0.9199999
t1,168,0.0036862977,0.010130634,0.92
t1,184,0.0013444675,0.009972259,0.9
t1,198,0.0013319453,0.008659082,0.9400001
t1,238,-0.0014908091,0.0104357805,0.97999996
t1,251,-0.0014975141,0.010963627,0.95
t1,253,0.00093397027,0.011808165,0.93
t1,279,-0.0003540252,0.010841643,0.95
t1,284,0.00018794583,0.010240468,0.9199999
t1,286,0.0024737418,0.010051755,0.95
t1,299,-0.0011818319,0.011576957,0.91999996
t1,302,-0.0022660766,0.011081258,0.97
t1,307,0.0016283339,0.0090830065,0.9200001
t1,333,0.0002934963,0.010033963,0.9
t1,335,-0.0040479675,0.011159593,0.9299999
t1,360,-0.0016374786,0.009125731,0.94000006
t1,366,0.0015042054,0.011259275,0.91999996
t1,374,-0.002547502,0.009544772,0.90999997
t1,391,6.9272784e-5,0.010605956,0.8899999
t1,413,0.002038673,0.008727361,0.92
t1,414,0.0004488956,0.010244323,0.9199999
t1,444,0.000440302,0.010413189,0.9400001
t1,451,0.0008682595,0.011109298,0.9200001
t1,459,0.0034604694,0.009040945,0.88000005
t1,472,-0.0027641642,0.01319931,0.94
t1,490,-0.0015723306,0.009651963,0.89
t1,497,0.00032601462,0.010340312,0.91
t1,507,-0.0013457825,0.009805613,0.94
t1,514,-0.0016987299,0.009523625,0.9400001
t1,523,-0.002079621,0.0094094295,0.93
t1,543,0.00089510414,0.010031537,0.93999994
t1,548,-0.00080169225,0.011082778,0.9400001
t1,550,-0.0007449177,0.00971881,0.87999994
t1,557,0.0013457,0.009757104,0.93
t1,572,-0.0023241807,0.009414779,0.90999997
t1,574,-0.0044096233,0.009820126,0.9
t1,583,-0.0007429862,0.010424561,0.93
t1,593,0.00071044324,0.0109964255,0.89
t1,597,0.00032925303,0.012988508,0.96
t1,598,0.00023887222,0.0091437735,0.90999997
t1,622,-0.00018075902,0.0103468,0.8999999
t1,629,-0.0035159835,0.00944465,0.94
t1,685,-0.0015265507,0.0098756775,0.93999994
t1,689,-0.0031434165,0.010980938,0.87
t1,695,0.00081052794,0.010684327,0.9600001
t1,700,0.0016380841,0.010678163,0.96000004
t1,702,-0.0005227146,0.010145957,0.9200001
t1,709,-0.0012408621,0.011115916,0.9499999
t1,723,-0.0012668587,0.009354122,0.93000007
t1,730,0.00048112398,0.010796546,0.90999997
t1,738,-0.001990255,0.008725168,0.9300001
t1,751,-0.00024391522,0.010176153,0.87999994
t1,759,-0.0023647577,0.010583315,0.93999994
t1,760,-0.0011982264,0.011303228,0.91999996
t1,773,-0.0008730089,0.0109973,0.96000004
t1,778,-0.0014529265,0.009024025,0.96
t1,795,-0.0016546418,0.009270834,0.88
t1,805,-0.00016159983,0.0103543885,0.91999996
t1,806,0.0013125583,0.010015458,0.95000005
t1,813,-0.0007152381,0.010183803,0.93999994
t1,819,-0.0016124792,0.011866578,0.87999994
t1,829,-0.0010162521,0.011571317,0.95
t1,836,-0.00078646257,0.009794104,0.91999984
t1,837,0.0015760363,0.00958632,0.93
t1,843,-0.001521489,0.010919639,0.96999997
t1,846,0.0019979558,0.009764966,0.90000004
t1,852,0.0011733304,0.010781974,0.9199999
t1,856,0.002178503,0.011633555,0.94
t1,867,0.00029724638,0.010096712,0.96999997
t1,879,0.0010308687,0.010426696,0.94
t1,881,0.0009694018,0.010048144,0.9
t1,889,0.0029361427,0.010090601,0.87999994
t1,898,-0.0024742028,0.010830777,0.90999997
t1,914,0.0020841444,0.009700207,0.9400001
t1,927,-0.0014525359,0.010512704,0.9
t1,939,-0.00033138055,0.010716156,0.90000004
t1,957,-0.000998047,0.009824497,0.90000004
t1,977,0.0015662304,0.009688169,0.94
t1,992,0.0008961916,0.010494419,0.93
t1,1016,-0.002494393,0.010859207,0.92
t1,1020,-0.00041449044,0.009894003,0.87
t1,1023,0.001242302,0.008875046,0.90999997
t1,1054,-0.0014497543,0.010387471,0.89
t1,1062,-0.00034285063,0.008975203,0.89000005
t1,1069,-0.0014458423,0.011977889,0.9499999
t1,1091,0.000953298,0.0102898665,0.9500001
t1,1094,-0.0027177809,0.009722943,0.94000006
t1,1096,5.1326617e-5,0.009672168,0.9500001
t1,1097,0.0003914791,0.009767385,0.9
t1,1099,0.00038011489,0.010926384,0.90000004
t1,1104,-0.0004290277,0.011097585,0.89
t1,1112,-0.0007411046,0.009111112,0.8899999
t1,1114,0.0009565846,0.009040153,0.9099999
t1,1157,-0.0027553437,0.011475711,0.93
t1,1164,-0.0013442457,0.011096333,0.9400001
t1,1180,0.0022328058,0.011554325,0.9500001
t1,1193,0.00078027206,0.009772639,0.91999996
t1,1216,-0.00018917694,0.011350402,0.97
t1,1224,9.9222365e-5,0.010306652,0.91999996
t1,1233,-0.003217104,0.010107612,0.89
t1,1240,0.0008015745,0.010728814,0.96000004
t1,1241,-0.0009446342,0.009088206,0.9
t1,1269,0.003799921,0.010235408,0.93
t1,1272,-0.00044003763,0.009351236,0.89
t1,1277,-0.0037837245,0.00936323,0.9600001
t1,1282,-0.00010521549,0.011272577,0.9300001
t1,1283,-5.6467587e-5,0.009449089,0.88000005
t1,1296,-0.0014832104,0.010151393,0.90999985
t1,1298,-0.0013087727,0.01106406,0.91999996
t1,1318,-0.0025342342,0.011732783,0.90999997
t1,1319,-0.0014813736,0.010747185,0.93000007
t1,1321,0.000545596,0.010414071,0.90999997
t1,1336,-0.001643869,0.010397616,0.9
t1,1339,-0.00012318206,0.011722959,0.91999996
t1,1345,0.0017192208,0.008817841,0.92
t1,1352,-0.0036188795,0.010753499,0.90000004
t1,1360,-0.0038015149,0.011519943,0.9200001
t1,1365,-0.002300387,0.009696019,0.9599999
t1,1373,0.0017542916,0.010446225,0.94
t1,1390,0.0023892294,0.010218941,0.93000007
t1,1391,-0.0013099218,0.01024414,0.8999999
t1,1396,-0.0019460896,0.010905445,0.90999997
t1,1407,-0.00040947465,0.010407905,0.93
t1,1433,-0.00027074356,0.012472847,0.9
t1,1451,0.0014399845,0.009246781,0.95000005
t1,1452,0.002098805,0.011467576,0.91999984
t1,1454,-0.0010704295,0.0097892685,0.9300002
t1,1455,8.697111e-5,0.00926212,0.90999997
t1,1462,0.00034544474,0.009807166,0.89000005
t1,1465,-0.0018857245,0.010175582,0.88999987
t1,1485,-9.905774e-5,0.010632991,0.95000005
t1,1500,0.00057101896,0.009998407,0.91999996
t1,1504,0.0008968411,0.010454042,0.9199999
t1,1518,0.00064838474,0.01085114,0.9099999
t1,1547,0.0032886514,0.010945187,0.9400001
t1,1552,0.0006127186,0.010075057,0.94
t1,1564,-0.0041429983,0.010458044,0.9500001
t1,1574,-0.0049090083,0.01064564,0.95000005
t1,1595,-0.0007803395,0.010081987,0.91999996
t1,1606,0.0026999551,0.010016075,0.9499999
t1,1608,-0.0022862055,0.011176733,0.96
t1,1616,0.00012733368,0.009969198,0.96000004
t1,1618,-0.001405537,0.009710791,0.94000006
t1,1643,0.00035724934,0.010009453,0.8999999
t1,1700,-0.0036231934,0.010518061,0.95000005
t1,1729,-0.00080220704,0.009876034,0.93
