Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,7,-0.0007176869530871032,0.007023634531878989,1.0
t1,12,-0.0007579900621189807,0.0056018555018606175,1.0
t1,19,-0.0015145789242952908,0.007695830503152272,1.0
t1,20,0.0008583360656923323,0.007951474143168647,1.0
t1,29,0.000805851087609346,0.0071472354219538625,1.0
t1,44,-1.7699273509535442e-5,0.006525264957760554,1.0
t1,45,0.0009288226756042449,0.006043562039670667,1.0
t1,53,-0.0018364691985488827,0.0073903679762399085,1.0
t1,69,-0.0007748475400654543,0.007050022562177013,1.0
t1,107,-0.00011362947031145438,0.005396928600275194,1.0
t1,116,0.000792242128147312,0.006372418625348499,1.0
t1,122,0.0006389729293398989,0.006728182457140543,1.0
t1,126,-0.0009133115460020512,0.004776286013846755,1.0
t1,128,0.001851423088318996,0.0062791631708908465,1.0
t1,141,-0.0012271532871447922,0.005027300638157496,1.0
t1,142,0.0006202926596513803,0.006624284405015712,1.0
t1,150,0.0003980365099400256,0.005632854760430488,1.0
t1,168,0.0021965857108440837,0.00862135303628159,1.0
t1,186,-0.0010280386460419643,0.005529246839419099,1.0
t1,208,-0.0004832420152638135,0.006187957338501179,1.0
t1,212,-0.0006010965470084131,0.005036264375719934,1.0
t1,213,-4.2708016741947365e-5,0.00433084413120149,1.0
t1,214,0.0007551492929677867,0.007670940283846039,1.0
t1,218,0.0005084191710114143,0.0052730029473408305,1.0
t1,219,-0.0008976332337264802,0.005181068977625415,1.0
t1,227,-3.5675866963495894e-5,0.005820488729165364,1.0
t1,234,-0.0005189627885746257,0.006533293619421274,1.0
t1,248,-3.74965496214696e-5,0.005304494445802788,1.0
t1,259,-0.002113177829060821,0.006901847638653318,1.0
t1,261,0.00014074532859866538,0.0049300760687502375,1.0
t1,270,0.0011959211071371064,0.005767221492439256,1.0
t1,287,-0.0019544390258240604,0.007330431881887595,1.0
t1,295,-0.0010062511984542707,0.0063939629109460005,1.0
t1,320,-0.0008160745212983367,0.005830597928555205,1.0
t1,333,-0.0008139048985615869,0.006526783422767271,1.0
t1,338,-0.0018978982531067203,0.007209945571818004,1.0
t1,345,-0.0018767705777001091,0.007395223188424696,1.0
t1,369,-0.0010694555151105052,0.00631106112461817,1.0
t1,384,-0.001337737581659433,0.008657982277971325,1.0
t1,390,-0.0017189158780217483,0.006112517122044986,1.0
t1,392,-0.0007496559727918065,0.0049968431963531195,1.0
t1,393,0.0002389572383794788,0.007252951315684052,1.0
t1,419,-0.00023338998886127433,0.005408282226812387,1.0
t1,443,-0.0002185771326938105,0.005899071431577076,1.0
t1,466,0.0012274268639992172,0.0064027545747576955,1.0
t1,481,-9.820434608741124e-6,0.006103540018547518,1.0
t1,489,0.001409007386165401,0.006478459610079311,1.0
t1,509,-0.00024443927866982506,0.0057929351991650325,1.0
t1,513,-0.0011729735858285212,0.0066744878866601,1.0
t1,523,8.922573455603819e-5,0.005868634123777768,1.0
t1,525,-0.0005353045619492647,0.006445813529784647,1.0
t1,529,-0.00030233785941521793,0.004696400847412033,1.0
t1,540,-0.0004752430658203845,0.006346502123537514,1.0
t1,547,-0.000762302092517604,0.0037980675785321836,1.0
t1,560,0.0027942629739565084,0.00799332260009708,1.0
t1,561,0.00022449472737236316,0.005787718774174805,1.0
t1,565,0.0007921666276235441,0.006313874393730014,1.0
t1,589,-0.0024081712755436675,0.005547594020872085,1.0
t1,590,0.00044830150223098327,0.005599498598448677,1.0
t1,601,0.0008034255540840195,0.0051355399567928044,1.0
t1,602,0.00020745039426778094,0.006029160523017778,1.0
t1,610,0.00022080712144049037,0.00725022871719835,1.0
t1,616,-0.0008893530281135946,0.007030817918335836,1.0
t1,621,0.0004515356278138973,0.005674307797662362,1.0
t1,630,0.0005103333559018438,0.0044054369825227094,1.0
t1,635,-0.0019706280360407384,0.006967733762967601,1.0
t1,652,-0.0002310323753095093,0.005714908452729669,1.0
t1,661,-0.000638012995212269,0.006164034903717115,1.0
t1,685,-0.0004450045207292107,0.00518116385073117,1.0
t1,688,-0.0008734252824348958,0.006083665160261719,1.0
t1,694,-0.0014466703093752595,0.006456567765043929,1.0
t1,698,0.000561426382364817,0.0058179471811753555,1.0
t1,702,-0.000467003268427871,0.0068559538487529175,1.0
t1,712,2.04455488094971e-6,0.006174854717614426,1.0
t1,715,0.00022309511008003846,0.006290252336637347,1.0
t1,748,-2.9792839744908425e-5,0.005415427546278413,1.0
t1,763,0.0002400593314549749,0.005820921934058058,1.0
t1,786,0.000799243136157485,0.0056997258778807725,1.0
t1,793,0.0008025967722585167,0.006529871947861365,1.0
t1,828,0.0017346009422579123,0.007707283706025121,1.0
t1,830,-0.0017888406352663362,0.005811888291809051,1.0
t1,843,-0.002011617863666937,0.006758349197580242,1.0
t1,866,0.0008042070180414958,0.00732697284881454,1.0
t1,895,-0.0005970563422298961,0.006707231846121611,1.0
t1,906,-0.0015214067068280801,0.007648567970116812,1.0
t1,913,0.00033939380461662654,0.005351601588157933,1.0
t1,928,0.0006174482829066604,0.008039822728932822,1.0
t1,949,0.00117234125997931,0.005973850184208801,1.0
t1,957,-0.00017580345265340275,0.005929507870304501,1.0
t1,982,-0.0008140449807063569,0.007478833456129082,1.0
t1,993,-0.0005648620592809869,0.006058604691313981,1.0
t1,995,0.0008150916010281596,0.007002004855291794,1.0
t1,1001,-0.00022634587616398688,0.006028144751713373,1.0
t1,1008,-0.00040515067067008057,0.00554923507340769,1.0
t1,1022,-0.0016109365111961794,0.0055036892887072204,1.0
t1,1050,0.001979275750140948,0.005437480282945888,1.0
t1,1054,-0.002757689533472967,0.006394153845589838,1.0
t1,1072,0.0006958182600614863,0.006413367642221219,1.0
t1,1085,0.0013409048366097667,0.008352329873910906,1.0
t1,1093,0.00039610207416893506,0.006391054065583528,1.0
t1,1095,-2.857056952877583e-5,0.0060145957206425215,1.0
t1,1100,-0.0012249894692735385,0.0074925022452065,1.0
t1,1127,-0.0002450951001521974,0.0048873571251351325,1.0
t1,1128,7.502607248909801e-5,0.006286371024173468,1.0
t1,1131,0.00036340192436947025,0.007049711689840677,1.0
t1,1163,0.0008334877119425537,0.006067317841450303,1.0
t1,1167,0.0008588261714363054,0.007099358513509463,1.0
t1,1179,0.0010400504526275243,0.007591652994207035,1.0
t1,1180,0.002289764613877579,0.006956929429955387,1.0
t1,1181,0.00010471977129712015,0.0060412513608548305,1.0
t1,1182,-0.0007706668059430555,0.005831436523355823,1.0
t1,1183,0.0010704172132509789,0.005660569459775996,1.0
t1,1198,-0.0013168997321540885,0.006063400394314817,1.0
t1,1199,0.0020938389541780723,0.005799752803331724,1.0
t1,1205,-0.0017493791280617332,0.006263399130904312,1.0
t1,1223,-0.0015590219998532278,0.007460754437414091,1.0
t1,1244,-0.0006815688173562248,0.005382623519779079,1.0
t1,1259,0.0009027324012357428,0.006630825006405489,1.0
t1,1278,0.00018637770531824865,0.0055998451077367475,1.0
t1,1309,0.0010492583717829464,0.007561792370535541,1.0
t1,1325,-0.0005968999113333816,0.005603254482487035,1.0
t1,1327,-0.0023191425403504737,0.008920124171288752,1.0
t1,1328,-0.0007155797811428033,0.005136323578934787,1.0
t1,1334,-0.0005768721727989367,0.005578164764538926,1.0
t1,1368,-3.057322124125113e-5,0.006095946830630821,1.0
t1,1375,-0.0002607222473611315,0.0053154930622348814,1.0
t1,1378,0.0009337354703081567,0.0068037175808182675,1.0
