Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,1,-9.537144840728539e-5,0.009623022349501001,1.0
t1,2,0.0004964654750632948,0.009338803841848365,1.0
t1,3,7.774491664179156e-5,0.010102495724218398,1.0
t1,4,-0.0003147030707426133,0.009781352651628144,1.0
t1,5,-0.0007705409639944334,0.009891363202971676,1.0
t1,6,0.0013068426201878816,0.009856143378614658,1.0
t1,7,0.0016420844497200674,0.009924823567368896,1.0
t1,8,0.0009860380945052264,0.010249254362753963,1.0
t1,9,-0.0011017597464087266,0.009834277895208935,1.0
t1,10,0.001556015172858285,0.011362273252495047,1.0
t1,11,0.00030392769037349774,0.009936043974566298,1.0
t1,12,0.0006177200286346649,0.010766303389654406,1.0
t1,13,-0.0005501957712764169,0.010319058005334085,1.0
t1,14,-0.00159949166233076,0.011803777529645872,1.0
t1,15,-0.0001553141809440315,0.01061976682791231,1.0
t1,16,-0.0005364161514956921,0.010246927334287148,1.0
t1,17,-0.001814951891197776,0.010462716086661496,1.0
t1,18,-0.0010467151224720166,0.010305537113087071,1.0
t1,19,-0.0017334257388125721,0.010525840729170116,1.0
t1,20,0.000401437747346183,0.010582921964431115,1.0
t1,21,0.00220358574011285,0.01096947221373489,1.0
t1,22,0.001727495975108424,0.01164941607051001,1.0
t1,23,0.0007535273137889135,0.009511696384851219,1.0
t1,24,-0.00018713947621695054,0.010157883321016338,1.0
t1,25,0.002946749801184967,0.010653725508255744,1.0
t1,26,-0.00017019029310623,0.010969771198773941,1.0
t1,27,0.0009935048067616753,0.010915806379203342,1.0
t1,28,-0.00013573662134984635,0.014741708832461257,1.0
t1,29,0.0005783151311831438,0.010922260585378936,1.0
t1,30,-0.0010720842684872173,0.01153423865474591,1.0
t1,31,-7.798467186762557e-5,0.011372936717932226,1.0
t1,32,-0.0012937706348974082,0.013352481755540655,1.0
t1,33,-0.0008686857391045365,0.011735200527744696,1.0
t1,34,0.0012726790467531377,0.009908247523971476,1.0
t1,35,0.0011083932943894291,0.013051879623322788,1.0
t1,36,0.0020879450226463747,0.011527299298280617,1.0
t1,37,-0.0007939391343992197,0.01216141574238402,1.0
t1,38,-0.0006529072630914469,0.013284812884399604,1.0
t1,39,0.0011139686956690136,0.0121241491227167,1.0
t1,40,0.00012977488437875836,0.011740792659360707,1.0
t1,41,0.0004267604185914571,0.012358741268852733,1.0
t1,42,0.0005961871132074128,0.01212813440664878,1.0
t1,43,9.199848815078532e-6,0.011400726650791029,1.0
t1,44,0.0006534988082806289,0.012367697700654615,1.0
t1,45,6.774961856412912e-5,0.011900982063963977,1.0
t1,46,-0.0031020414673674623,0.013924878645957187,1.0
t1,47,-0.0009625632286013831,0.012420023185303289,1.0
t1,48,0.00042562020925410377,0.011806207281121273,1.0
t1,49,-0.0005108639028309684,0.011486120929560724,1.0
t1,50,0.0016865734812862919,0.013213243197758526,1.0
t1,51,0.0008169485659630853,0.012699176712568011,1.0
t1,52,0.0014186164658534747,0.012612886126124025,1.0
t1,53,-0.0004686194522951259,0.012584703893557155,1.0
t1,54,0.00020927043611469512,0.01271037043864107,1.0
t1,55,0.000593743585896892,0.012163859555318197,1.0
t1,56,-0.0002073650078575763,0.013751036033780006,1.0
t1,57,-0.0027294255140527545,0.014071765672445662,1.0
t1,58,-5.3290018741261506e-5,0.012969294538707855,1.0
t1,59,4.282271972679199e-5,0.014763691994369664,1.0
t1,60,-0.0013742192463034155,0.012523963606880757,1.0
t1,61,0.0011081953210858616,0.01197249973485616,1.0
t1,62,0.0027295804708620587,0.015652824658023905,1.0
t1,63,-0.0010105431666546276,0.01255770169746471,1.0
t1,64,-0.0014672925247154384,0.012863090180848141,1.0
t1,65,-0.0009670762592775707,0.012308365852574795,1.0
t1,66,0.00013896381134556314,0.014232584826002058,1.0
t1,67,0.0003662970301335864,0.012160875897815173,1.0
t1,68,0.0016101052844409542,0.01324577988784558,1.0
t1,69,0.0003444287414320278,0.014457928822787675,1.0
t1,70,7.036270668184474e-5,0.012728192842738625,1.0
t1,71,-0.0004578845128161942,0.014385254444445892,1.0
t1,72,6.659539300469148e-5,0.013375091296247402,1.0
t1,73,-0.0011735562313088248,0.01175954208261013,1.0
t1,74,0.000690822955487673,0.015106766037928956,1.0
t1,75,0.0010015281530397352,0.012833009047480293,1.0
t1,76,-0.0005026064089024403,0.011944108228215938,1.0
t1,77,-0.001975020126600688,0.014652823982737958,1.0
t1,78,-0.00021348628917805377,0.014266314376992896,1.0
t1,79,0.0004114265362126299,0.012801714559877022,1.0
t1,80,0.0010989051360792924,0.013573366025912739,1.0
t1,81,0.0014809769860879521,0.014687902527055888,1.0
t1,82,-0.0031587622806799106,0.014208269237260351,1.0
t1,83,-0.0005764754567436174,0.01381101929102265,1.0
t1,84,0.0010881462479771153,0.01496830722186829,1.0
t1,85,-0.0016402417895144891,0.013772034619097736,1.0
t1,86,-0.0009683904580718477,0.014069582681427582,1.0
t1,87,-0.0007616445124698695,0.013904759344069746,1.0
t1,88,0.000777376781927888,0.015239595426202701,1.0
t1,89,-0.0007003840095358444,0.014250416197237112,1.0
t1,90,0.0006047175710935421,0.014319266064168985,1.0
t1,91,-5.272592345445694e-5,0.01572347492828324,1.0
t1,92,-0.00020530146939632562,0.015166508077998806,1.0
t1,93,-0.001070259987156599,0.015925844726007755,1.0
t1,94,-0.0010884914904442837,0.015013039667582252,1.0
t1,95,0.0006109017379942261,0.015311825725120751,1.0
t1,96,-0.0014774206860632348,0.014482420126786986,1.0
t1,97,0.0022130589450711524,0.0159842512837652,1.0
t1,98,-0.00011329438408892323,0.015132930075305969,1.0
t1,99,0.0022239545049000287,0.015057817518094154,1.0
t1,100,-0.0011181843549139087,0.015624705721543973,1.0
t1,101,0.0011271305978148587,0.014681756206955556,1.0
t1,102,-0.0011971583944186937,0.01673827602527227,1.0
t1,103,-0.0004917850575013386,0.015079243597290827,1.0
t1,104,0.0015767725894168857,0.01659555807844967,1.0
t1,105,0.001918671577690865,0.014661600505372064,1.0
t1,106,0.001737197641868202,0.016350789811010496,1.0
t1,107,0.0005379152982092155,0.014129095730048615,1.0
t1,108,-0.00026066132416001646,0.017119791164273753,1.0
t1,109,0.000469454395206088,0.017075469695998345,1.0
t1,110,-0.0007325260054689309,0.015014013292807217,1.0
t1,111,-0.0012327704763839653,0.015070377716079908,1.0
t1,112,0.0006266224837678002,0.01509934361104564,1.0
t1,113,0.0003006144231951349,0.016407315211482348,1.0
t1,114,0.0012534692335904674,0.015278590585546849,1.0
t1,115,-0.0015632033142916498,0.014841970676605911,1.0
t1,116,0.003188342163507829,0.016641402460364562,1.0
t1,117,-0.0030239569570100827,0.014498381986728839,1.0
t1,118,-0.0025366527076345685,0.017237206473722236,1.0
t1,119,-0.004432528515478352,0.01601866821793629,1.0
t1,120,-0.00015122459024417844,0.018311481654329866,1.0
t1,121,0.00349820605218784,0.016426431081927158,1.0
t1,122,-0.00038254954758838657,0.01849051621311916,1.0
t1,123,0.0016019682428473968,0.014721682146536675,1.0
t1,124,0.00015744715096147,0.015420377708160567,1.0
t1,125,0.0020082214405855122,0.017190007463810865,1.0
t1,126,0.0030495051996559984,0.017226740793828636,1.0
t1,127,-0.0011415429337431023,0.016765066285322757,1.0
t1,128,0.0005591227908957389,0.01845143333289295,1.0
t1,129,-7.74376022469011e-5,0.01603285696340801,1.0
t1,130,-0.0009541924775529776,0.016371904127536148,1.0
t1,131,-0.001797974419860481,0.015052982070865391,1.0
t1,132,0.0007216643862177966,0.01626412629011617,1.0
t1,133,0.0005311565322803235,0.01825985317693617,1.0
t1,134,0.0017786321188721942,0.01888865759377066,1.0
t1,135,-0.0006764320494590573,0.01627437840102206,1.0
t1,136,0.00010627214420702595,0.01620107365163612,1.0
t1,137,-0.0022036176585791905,0.014460556488843078,1.0
t1,138,-0.00022700935114905137,0.018123047782716867,1.0
t1,139,9.196526730616804e-6,0.016131150129940455,1.0
t1,140,0.0015217324649621105,0.014640792085424244,1.0
t1,141,-0.0030894889066090244,0.015313294696203735,1.0
t1,142,0.0006607850511760982,0.015855313519855203,1.0
t1,143,0.00015788280706877835,0.017018925220921095,1.0
t1,144,0.0013126949774791643,0.015206973312354726,1.0
t1,145,-0.000893824710056405,0.018314696078978978,1.0
t1,146,-0.0020947934221731902,0.015978063232477826,1.0
t1,147,0.0014067464482806096,0.01953903304604902,1.0
t1,148,0.0005403836243009317,0.020200630373032956,1.0
t1,149,-0.00198837303711164,0.014664583116519159,1.0
t1,150,0.000517568602502377,0.01734913851866931,1.0
t1,151,0.0006772229261091057,0.02050841988046387,1.0
t1,152,0.002683659295467985,0.018086669177083445,1.0
t1,153,0.00035194254076270843,0.017024519030737862,1.0
t1,154,-0.0035390054736461327,0.017263789449604546,1.0
t1,155,6.932250189352096e-6,0.017554841761313843,1.0
t1,156,-0.00011600372892486935,0.018257660596050475,1.0
t1,157,0.00029171144135488666,0.021630452009052187,1.0
t1,158,-0.0017445043099011217,0.01658404480337714,1.0
t1,159,-0.0009363791005644519,0.02007435932942691,1.0
t1,160,-0.0017348260424492005,0.016442071880290482,1.0
t1,161,-0.0033712747498478293,0.019089734226714977,1.0
t1,162,-0.00020538061689765328,0.017291648656401554,1.0
t1,163,0.0004379122901269981,0.015449056177334613,1.0
t1,164,0.0007097981882447145,0.017942630786046566,1.0
t1,165,-0.0020478060558675173,0.01922668387794406,1.0
t1,166,0.0013028577490179875,0.017093969052095176,1.0
t1,167,-0.0005289150963239679,0.01720990344684812,1.0
t1,168,0.0009232539401239116,0.01852720042283179,1.0
t1,169,-0.0008991309710903141,0.020742843514511413,1.0
t1,170,-0.0008365013243020988,0.022040193428513013,1.0
t1,171,-7.362382520365439e-5,0.019092338838788647,1.0
t1,172,0.0006417761776446645,0.016567504901971872,1.0
t1,173,-0.00408538270721572,0.01901775586511913,1.0
t1,174,0.0002926394407451142,0.01633925500851612,1.0
t1,175,-0.0014335900360648319,0.01863862450243409,1.0
t1,176,0.0005498633491791003,0.020379463585195195,1.0
t1,177,-0.002375829296882185,0.01515403347739553,1.0
t1,178,0.0015897886472564407,0.018590103425831173,1.0
t1,179,0.00020350373638307445,0.018762067376269405,1.0
t1,180,0.00048107705086139957,0.01821604928816383,1.0
t1,181,-0.0041820708937252695,0.019686574402487795,1.0
t1,182,0.0011188722561294123,0.021379615531083324,1.0
t1,183,-0.0055691597161413465,0.019326074584725246,1.0
t1,184,0.0005708795698945736,0.01948384512446115,1.0
t1,185,-0.0014434651211474763,0.017888368219611733,1.0
t1,186,-0.0012153826620476852,0.016476689095138303,1.0
t1,187,0.00021466831558254452,0.021053805781519726,1.0
t1,188,-0.00025365087785028846,0.019773708197368903,1.0
t1,189,0.001738749031658308,0.017951705175146396,1.0
t1,190,-0.0031822469788687613,0.020438061738374185,1.0
t1,191,-0.0009353090547241445,0.02028516320300003,1.0
t1,192,-0.001400918303912303,0.01871306902050881,1.0
t1,193,-0.0015683921426819223,0.018376490370006007,1.0
t1,194,-0.003575754552378951,0.02076721900393016,1.0
t1,195,-0.0008590900232387711,0.020325111838188012,1.0
t1,196,-0.0028918118255055994,0.023674990267232493,1.0
t1,197,0.00026487227965995387,0.01868713909122846,1.0
t1,198,-0.0004498956437049729,0.022377199414966752,1.0
t1,199,-0.001707118081507883,0.02090083734952506,1.0
t1,200,-0.001520953584502617,0.017761402741212393,1.0
t1,201,0.0015384117045351793,0.01995492975635676,1.0
t1,202,0.0012852464489365816,0.019792362725522344,1.0
t1,203,-0.0016450799155588696,0.018002996494019582,1.0
t1,204,0.00031295956579069156,0.017481191984850205,1.0
t1,205,-0.0036825567542833706,0.019202665655559753,1.0
t1,206,0.003438771562095702,0.021854523534090977,1.0
t1,207,-0.0033149263221604287,0.021363535694284685,1.0
t1,208,-0.00239507384729279,0.02088184091279094,1.0
t1,209,8.006134795024084e-5,0.01905122882305193,1.0
t1,210,0.00173179724104794,0.019547920645829546,1.0
t1,211,-0.0001550022082458623,0.01867055845406961,1.0
t1,212,-0.0020056611181494734,0.02285563627304024,1.0
t1,213,-0.00039305551730508707,0.021847161904163907,1.0
t1,214,-0.0005501950678384886,0.021061454345399102,1.0
t1,215,0.002584954895462811,0.021507947190572987,1.0
t1,216,-0.00011091570640511369,0.01952035749582189,1.0
t1,217,-0.005568375770276719,0.022050371083662867,1.0
t1,218,-0.0005983403191764341,0.02015529655979192,1.0
t1,219,-0.0021983003587255313,0.022730286184143012,1.0
t1,220,-0.003187802954748317,0.02163552379116832,1.0
t1,221,-0.001038788980562295,0.01808446093480006,1.0
t1,222,-0.002977243607502575,0.02066939796429281,1.0
t1,223,-0.0009425606373048456,0.02292131425174965,1.0
t1,224,-0.0009425152725891022,0.019770014661048788,1.0
t1,225,-0.005072295065463851,0.019502230664985038,1.0
t1,226,1.883985611813305e-5,0.02009302927847815,1.0
t1,227,-5.536273045547486e-5,0.023671029542015394,1.0
t1,228,-0.00040879994279441215,0.019529184659211846,1.0
t1,229,0.0005558317020431881,0.020895847393575858,1.0
t1,230,0.0038999584940570165,0.0187198058636361,1.0
t1,231,0.00043493195820603524,0.021520341795221262,1.0
t1,232,-0.002349602507790887,0.018692144653494686,1.0
t1,233,-0.00339810923570653,0.0211247839782169,1.0
t1,234,-0.0016184015422735661,0.022359146243395245,1.0
t1,235,0.0016788032334344237,0.02080678576825712,1.0
t1,236,-0.0007561968015925152,0.024500083004167957,1.0
t1,237,0.0015282480128705005,0.021581308101521007,1.0
t1,238,0.0005750717220854274,0.02089881548029059,1.0
t1,239,-0.0041762649408066815,0.023957472061055033,1.0
t1,240,0.001726864210349686,0.0212425448674757,1.0
t1,241,-0.0016388465645870108,0.02453410931955781,1.0
t1,242,-0.004263625689820188,0.021381592635015625,1.0
t1,243,-0.00042884521333829437,0.024571234798880903,1.0
t1,244,0.00377210500913406,0.021392758325808035,1.0
t1,245,-0.001580577999257517,0.02318908697094021,1.0
t1,246,-0.0002888524073020205,0.020896888934611606,1.0
t1,247,-0.0011308548343516604,0.01991828635312662,1.0
t1,248,-0.0013121417816150303,0.021106432389181806,1.0
t1,249,0.0014573292873775927,0.023675092553680437,1.0
t1,250,-0.003459621485964563,0.02230176728685045,1.0
t1,251,0.0005956728173352146,0.01909847290938959,1.0
t1,252,-0.0010799011087702303,0.02135050061224331,1.0
t1,253,0.0015756048214848606,0.022036517294213156,1.0
t1,254,-0.0009504805069081619,0.024813617028774024,1.0
t1,255,-0.002978666107099554,0.0219298345363451,1.0
t1,256,0.00403164335750676,0.02541232516541309,1.0
t1,257,-0.0017660672146745907,0.021619667040766934,1.0
t1,258,0.0006832529403501607,0.023035000596427227,1.0
t1,259,0.002758578333633789,0.024071084875815777,1.0
t1,260,0.0008839750913724367,0.020589862867214398,1.0
t1,261,0.001308651334144198,0.020717354757101968,1.0
t1,262,0.0026254622467429905,0.023601257322719994,1.0
t1,263,-0.00042607587378464006,0.02317224412596919,1.0
t1,264,0.0012880952885147923,0.022664202488100124,1.0
t1,265,-6.212348268682717e-5,0.02307600630209047,1.0
t1,266,0.001233012696711659,0.02434571818197843,1.0
t1,267,-0.0014992478548158427,0.026852094725575964,1.0
t1,268,0.0021749366151288907,0.023314904233990567,1.0
t1,269,0.0007713802077295416,0.023566602664905005,1.0
t1,270,-0.000392847184336385,0.022649600567194172,1.0
t1,271,0.002405439881183141,0.024811168993495367,1.0
t1,272,-0.0005001295921392535,0.02569497080313708,1.0
t1,273,0.0017891117483832223,0.025606197340403838,1.0
t1,274,0.0039034027452849265,0.022597561431767804,1.0
