Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,7,1.9058961878894405e-5,0.007250672566271096,1.0
t1,12,-0.002098071051042495,0.00843333787354356,1.0
t1,19,-0.0026081763194993183,0.008044582588101125,1.0
t1,20,-0.0016911489855020929,0.008051096572191574,1.0
t1,29,0.00027675819136411585,0.008218589020047452,1.0
t1,44,-0.0008722397808542338,0.00822196624365029,1.0
t1,45,0.00031307392044715597,0.007906945887498207,1.0
t1,53,0.0013412428020187438,0.009179197415392741,1.0
t1,69,-0.0010275969231730636,0.007968162856532988,1.0
t1,107,0.0008373354869799257,0.008417264090608643,1.0
t1,116,-0.0003730419592630023,0.007539952627339329,1.0
t1,122,-0.00015924533334675105,0.008664151939471322,1.0
t1,126,-2.5708244327802414e-5,0.007495888993533799,1.0
t1,128,0.0009702583264000238,0.00833922762264199,1.0
t1,141,-0.0025497268485145537,0.007027373460422761,1.0
t1,142,0.0026154949809931334,0.008411279194594144,1.0
t1,150,3.802340501921269e-5,0.008693307095632603,1.0
t1,168,0.0024781504118174306,0.007131668297606996,1.0
t1,186,0.00014411418053923974,0.008001686045967942,1.0
t1,208,-0.0011494596803082223,0.0078066565379728645,1.0
t1,212,0.0015015833212528621,0.008161016939675457,1.0
t1,213,5.992944616373721e-5,0.007495018635156241,1.0
t1,214,-0.00012806489481281784,0.0076888905099041635,1.0
t1,218,0.001442552822073922,0.008073945158679255,1.0
t1,219,-0.0008864521960559416,0.0068931510963985065,1.0
t1,227,0.00035411555394529817,0.007783644335440061,1.0
t1,234,-0.000510564570836779,0.008938885611030178,1.0
t1,248,0.000743560067484025,0.008759099963970673,1.0
t1,259,-0.0023057722591640264,0.008075405941979273,1.0
t1,261,3.430309020981533e-5,0.006747315924550998,1.0
t1,270,0.00040875651473152664,0.007977040364526,1.0
t1,287,-0.003464202672450743,0.009726759612646909,1.0
t1,295,-0.0014973356731250455,0.007177446616254731,1.0
t1,320,-0.0006606951507654019,0.006719196660814275,1.0
t1,333,0.0007064743693610559,0.007009509909127749,1.0
t1,338,-0.0017075345481980164,0.00803347644308553,1.0
t1,345,-0.00017170974870732095,0.007864236321144703,1.0
t1,369,-0.0005245705929374808,0.0073711334805782675,1.0
t1,384,-0.0031865730982501227,0.0077277259553948175,1.0
t1,390,-0.004421317658227754,0.00836296406506751,1.0
t1,392,-0.0003992881898742825,0.00709660599145593,1.0
t1,393,0.00025027505760665344,0.0088953047718594,1.0
t1,419,-0.002690658587299181,0.007961536035546979,1.0
t1,443,0.0003041140263377129,0.007998492294034362,1.0
t1,466,0.0019335339983604619,0.007183162073979985,1.0
t1,481,5.3796352198406274e-5,0.0087351945322478,1.0
t1,489,0.0007735345807375671,0.008544116761583455,1.0
t1,509,0.0009925670709108395,0.008210594315338724,1.0
t1,513,-0.002424309561280556,0.007515039296525153,1.0
t1,523,0.001821779974176853,0.007664156802136009,1.0
t1,525,-0.001836625695703234,0.008350099894008652,1.0
t1,529,0.0004278980908108835,0.007543397620579848,1.0
t1,540,-0.0006954005941612185,0.0069999929306984844,1.0
t1,547,-0.00039601638509932885,0.008003610248702282,1.0
t1,560,0.0022750674404944608,0.007658745213063223,1.0
t1,561,0.002195410851673103,0.008416539917223633,1.0
t1,565,-0.000781009359130234,0.008192286699833235,1.0
t1,589,-0.0022531209036456166,0.009502317981924363,1.0
t1,590,0.0011215547294927352,0.0067937170635551675,1.0
t1,601,0.002984276109494197,0.00798786658391548,1.0
t1,602,0.00028567938563036136,0.006780326748715085,1.0
t1,610,2.7744784078848104e-5,0.008403698976614245,1.0
t1,616,-0.00393002844762758,0.007929582078269274,1.0
t1,621,-0.00021543386639013063,0.00812124152563958,1.0
t1,630,-0.0002298281794307914,0.008657033602311837,1.0
t1,635,-0.0024173806903534227,0.00782816568847429,1.0
t1,652,-0.0012541167658583236,0.008464164047241853,1.0
t1,661,-0.0012475020111826223,0.007933142425530634,1.0
t1,685,0.0008040921443504022,0.008195431722988806,1.0
t1,688,0.0006731340230671321,0.007955708034720843,1.0
t1,694,-0.0016054643939250445,0.007745118863959398,1.0
t1,698,0.0010528293635901583,0.009589925966111761,1.0
