Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,15,-0.003874375,0.017333364,0.49000004
t1,26,0.0020717187,0.0141182225,0.46999997
t1,38,-0.00446698,0.013813126,0.46999994
t1,95,0.004340436,0.0119432,0.42000002
t1,111,0.0012721816,0.01370284,0.44999984
t1,112,-0.0022361018,0.016452778,0.43999985
t1,127,0.003881138,0.014886596,0.43999982
t1,128,0.009321224,0.022793332,0.51
t1,143,0.0030819892,0.013696878,0.4100001
t1,155,-0.002062244,0.0151273385,0.47
t1,168,-0.00013635906,0.01525256,0.44999987
t1,184,0.006482936,0.019372925,0.49
t1,198,0.0012656411,0.01766964,0.4600001
t1,238,4.0149866e-5,0.016290113,0.48999992
t1,251,-0.0075278203,0.030841034,0.42999998
t1,253,-0.0012523156,0.018703809,0.48000002
t1,279,-0.0014746758,0.0142771,0.48000008
t1,284,0.0019946469,0.010621591,0.47000006
t1,286,0.010793672,0.023823371,0.48999998
t1,299,0.0009191503,0.013821895,0.44
t1,302,-0.0037338075,0.015647154,0.43999985
t1,307,-0.0014365545,0.017877335,0.52000004
t1,333,0.0031384241,0.0144962985,0.41000003
t1,335,-0.006957485,0.02566792,0.41999993
t1,360,-0.006313333,0.015118454,0.45999998
t1,366,0.0020227863,0.011261529,0.4399999
t1,374,-0.004857831,0.014241752,0.48000002
t1,391,-0.00012977656,0.010807629,0.39999995
t1,413,0.004320501,0.0149840955,0.43999985
t1,414,-0.00030837403,0.015065368,0.45999992
t1,444,0.0020375787,0.011011935,0.39999995
t1,451,-0.0022688974,0.015075556,0.37
t1,459,0.0018811222,0.012963094,0.45
t1,472,-0.0036227752,0.019504445,0.49999997
t1,490,-0.0021107097,0.018183226,0.44999993
t1,497,1.7283004e-5,0.01308124,0.40999997
t1,507,-0.0013069462,0.014780304,0.38000008
t1,514,5.8823305e-5,0.013569021,0.42
t1,523,-0.0004460011,0.013288722,0.45999995
t1,543,-0.0011005409,0.012342588,0.4399999
t1,548,0.00047440742,0.014943221,0.43000004
t1,550,4.703916e-5,0.014326424,0.49
