Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,15,-0.003742903256260769,0.009927953200282032,1.0
t1,26,0.0009124393798235874,0.009536271951273937,1.0
t1,38,-0.001986625645991458,0.010315876971007795,1.0
t1,95,0.0014039698968127197,0.00925794548684489,1.0
t1,111,0.0003349166550687222,0.011151808118784365,1.0
t1,112,-0.002957715090448045,0.010703379185887912,1.0
t1,127,0.0008465055368344924,0.010067616587449797,1.0
t1,128,0.0016863668913086396,0.008609308710069503,1.0
t1,143,-0.00013393434962666984,0.010431630232589108,1.0
t1,155,-0.0007033412147958726,0.00867969599190002,1.0
t1,168,0.004930458674835371,0.010523820731771775,1.0
t1,184,0.0036523537232689774,0.009334681853795084,1.0
t1,198,0.001811233449848396,0.008531354616060194,1.0
t1,238,-0.000846754697175274,0.011758206965292837,1.0
t1,251,-0.0016053584029816527,0.009669143151884605,1.0
t1,253,-0.0012285624348265058,0.009322632102360322,1.0
t1,279,-0.0013146777634624996,0.011880165728623363,1.0
t1,284,0.0015167690489928988,0.009378668175660045,1.0
t1,286,0.005494234098302781,0.010924432405180328,1.0
t1,299,0.002265639207214128,0.008726602792666077,1.0
t1,302,-0.002936280407116214,0.011021035034026376,1.0
t1,307,0.0016475113618324244,0.01120701590867521,1.0
t1,333,0.00032035283680960846,0.008766427041265441,1.0
t1,335,-0.0017644334797730131,0.00888645934429157,1.0
t1,360,-0.0016941640526354463,0.010330946315085986,1.0
t1,366,0.00045781358534365186,0.009378443014028943,1.0
t1,374,-0.0013505934185845442,0.009842250650505684,1.0
t1,391,0.000327453406819587,0.008498942976328078,1.0
t1,413,0.002732949837176753,0.010145184210208928,1.0
t1,414,0.0007304482376820899,0.010271383802309726,1.0
t1,444,-0.001552139675632592,0.010770066426513085,1.0
t1,451,-0.003038350029813266,0.011098905963676005,1.0
t1,459,0.002598281386627728,0.009040028782679992,1.0
t1,472,-0.002251063413585896,0.010939584258104878,1.0
t1,490,-0.0019835986257083745,0.011789275224401983,1.0
t1,497,0.004491962461135859,0.010785200156615896,1.0
t1,507,-0.0014779291902032603,0.009048075564101875,1.0
t1,514,0.0008148478181599296,0.009345683964550228,1.0
t1,523,-0.002463091351340103,0.010734502751230985,1.0
t1,543,-0.0018112662987747122,0.010330430840601998,1.0
t1,548,0.0003182373761997225,0.009964275311208198,1.0
t1,550,0.0032016516957796685,0.00927137844228065,1.0
t1,557,-0.0016428935235711082,0.01059409967199318,1.0
t1,572,-0.0035423871686109413,0.009387066526447819,1.0
t1,574,-0.004604607768130762,0.01153458465348627,1.0
t1,583,-0.0011423777919685352,0.008606371832444457,1.0
t1,593,0.0003902190756809995,0.010757463984724653,1.0
t1,597,-0.00013740033814708247,0.008505868112713736,1.0
t1,598,0.003629490052604002,0.008978805326989168,1.0
t1,622,0.002039009467907491,0.012137992097711131,1.0
t1,629,-0.0009930431485064462,0.01086267691935932,1.0
t1,685,-0.0014081864025256004,0.011054076068179932,1.0
t1,689,-0.0013758699702564239,0.008396903329830405,1.0
t1,695,0.0008058996229509626,0.00849336812450618,1.0
t1,700,0.00014035238617694017,0.009753226307377365,1.0
t1,702,0.0005366759322486578,0.013778879899560543,1.0
t1,709,1.8768534901890563e-6,0.011530351571422686,1.0
t1,723,-0.0032288510871733385,0.010200838099915616,1.0
t1,730,0.0022862531530575556,0.010159020998401038,1.0
t1,738,-0.0020245836203162974,0.009469974291056673,1.0
t1,751,0.0010438955864937906,0.00940255890056555,1.0
t1,759,-0.0012914395532196957,0.008535700648229408,1.0
t1,760,-0.0010448709430898454,0.008322764147407328,1.0
t1,773,0.0015355005347064124,0.010671950961484357,1.0
t1,778,0.0022324168696830453,0.010139227712633937,1.0
t1,795,-0.002691397715371563,0.013044425359810848,1.0
t1,805,0.0009983132945973815,0.011971943483921369,1.0
t1,806,0.0005814067113479454,0.011973732523304845,1.0
t1,813,0.000509176035759322,0.009686329239591522,1.0
t1,819,0.0009086443837529111,0.00970217713540141,1.0
t1,829,-0.00120947396017544,0.011227317442985189,1.0
t1,836,-0.001812775837176483,0.009833724657178853,1.0
t1,837,0.00011809448172351658,0.009311551339195522,1.0
t1,843,-0.0016617390194943198,0.011690946028279277,1.0
t1,846,-0.0002413962649220895,0.010755449382013837,1.0
t1,852,-0.0005167360993060805,0.01060671095939148,1.0
t1,856,0.0005558560738802626,0.008912448663507135,1.0
t1,867,0.0001703443991581659,0.010687476813552447,1.0
