Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,15,-0.002930286088976206,0.009432554582435604,0.8099999999999997
t1,26,0.0009798152838128066,0.011813806349077804,0.8500000000000001
t1,38,0.0013265464794872056,0.009850544092046649,0.8000000000000002
t1,95,0.0032220216616791956,0.011585212848950937,0.8499999999999998
t1,111,-0.0024729454515192086,0.008931701276802595,0.7699999999999999
t1,112,-0.0023891536908205,0.009723711882068869,0.8199999999999996
t1,127,7.557864504079029e-5,0.011001050623807771,0.8800000000000002
t1,128,0.004338696839603009,0.00993407421571269,0.8
t1,143,0.00036921122812240035,0.010040154820172115,0.8000000000000003
t1,155,-0.0014575416200578886,0.008612990382473408,0.8300000000000001
t1,168,0.003109516281684145,0.011037490082601796,0.85
t1,184,0.0037860300726409914,0.011458340494074314,0.8600000000000001
t1,198,0.0021646958978958036,0.010806327031424059,0.8999999999999999
t1,238,0.0004779916695828397,0.011757950489419992,0.8699999999999999
t1,251,-0.004380114636417494,0.0097872811129738,0.8500000000000002
t1,253,-7.49144388887191e-5,0.010612181381033493,0.8999999999999999
t1,279,0.00030859081741810583,0.010240913361954773,0.78
t1,284,-0.0003574370995079503,0.008721765843653416,0.7599999999999998
t1,286,0.0045371565030322665,0.010967083669541475,0.8599999999999998
t1,299,-0.0011374141158683685,0.00943287525832227,0.8500000000000001
t1,302,-0.0024687494718812594,0.009784792345659309,0.83
t1,307,0.0019739422861881515,0.008211162019367838,0.83
t1,333,-0.0014252016497858814,0.009690816525979763,0.8600000000000003
t1,335,-0.00206174164888384,0.009967646870526033,0.8499999999999999
t1,360,-0.0024189746093606704,0.012173586671916646,0.8100000000000002
t1,366,-0.00012906668198681443,0.010258207511819117,0.8399999999999999
t1,374,-0.003910892645284387,0.009763395577853754,0.82
t1,391,-7.078956415161757e-5,0.010565215923887546,0.8099999999999996
t1,413,0.0028448818607593467,0.010482769761158243,0.8499999999999996
t1,414,-0.0010288676074025238,0.011023463230726071,0.7999999999999999
t1,444,0.0014071787200327463,0.010586237413191682,0.8200000000000001
t1,451,0.000391155756244919,0.00926048778631062,0.85
t1,459,0.002214937643921804,0.010137291024909331,0.8100000000000002
t1,472,-0.0014334350809625683,0.009899745512887241,0.8600000000000003
t1,490,-0.003299725946085885,0.008581993453372568,0.86
t1,497,0.0028272702075938247,0.010650435549749935,0.8099999999999999
t1,507,-0.00019792057932882808,0.011013911318037176,0.8699999999999997
