Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,15,-0.0038635326,0.0109875165,1.0
t1,26,0.0015148884,0.009622513,1.0
t1,38,-0.0007759107,0.00991561,1.0
t1,95,0.0036797144,0.010132437,1.0
t1,111,-0.0003802467,0.0102462405,1.0
t1,112,-0.0012870114,0.009377144,1.0
t1,127,0.00095123745,0.010018441,1.0
t1,128,0.005783052,0.010041297,1.0
t1,143,0.0030267886,0.010947454,1.0
t1,155,0.0013470748,0.011293051,1.0
t1,168,0.0014564034,0.009213594,1.0
t1,184,0.0019888645,0.009755422,1.0
t1,198,0.004397541,0.010161825,1.0
t1,238,-0.0012108323,0.009252902,1.0
t1,251,-0.0034279395,0.011727645,1.0
t1,253,-0.00016625013,0.011341816,1.0
t1,279,0.00063204276,0.0092506455,1.0
t1,284,0.0017305156,0.009495614,1.0
t1,286,0.0009567435,0.009445196,1.0
t1,299,-0.0015358365,0.010599294,1.0
t1,302,-0.0008838788,0.010326189,1.0
t1,307,6.832278e-6,0.010939084,1.0
t1,333,-0.0007805769,0.0105031,1.0
t1,335,-0.0021186685,0.010937555,1.0
t1,360,-0.004790422,0.009979866,1.0
t1,366,0.0031994956,0.0101526715,1.0
t1,374,-0.0027377387,0.011268951,1.0
t1,391,-0.0010178408,0.010624966,1.0
t1,413,0.00061872916,0.010688034,1.0
t1,414,-0.00047327304,0.009829849,1.0
t1,444,0.0011096464,0.010802596,1.0
t1,451,-0.0022618813,0.010021128,1.0
t1,459,8.170802e-5,0.012009034,1.0
t1,472,-0.0035354681,0.010126108,1.0
t1,490,-0.0012303034,0.010943263,1.0
t1,497,-0.0005670945,0.0114892,1.0
t1,507,-0.0018247872,0.009049759,1.0
t1,514,-0.0008422281,0.0116635,1.0
t1,523,-1.0775249e-5,0.009670922,1.0
t1,543,-0.00058483536,0.010512095,1.0
t1,548,0.0021503547,0.0101493085,1.0
t1,550,0.00052643975,0.009012589,1.0
t1,557,-0.0017303893,0.010551244,1.0
t1,572,-0.0022523259,0.010883182,1.0
t1,574,-0.0053081764,0.010776692,1.0
t1,583,-0.0009576145,0.010063183,1.0
t1,593,0.00025163215,0.009498546,1.0
t1,597,0.00056425907,0.010286051,1.0
