Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,7,0.0017906042450251706,0.019820701660440983,1.0
t1,12,-0.003645654604521599,0.020741722341931765,1.0
t1,19,-0.005220752840080159,0.01647037601355783,1.0
t1,20,-0.00023388138003823772,0.020092716333947956,1.0
t1,29,-0.001912348757634993,0.020621015001902384,1.0
t1,44,-0.0071191133207228145,0.020142836075483513,1.0
t1,45,0.0005700781167153057,0.02010393560460652,1.0
t1,53,0.0010933464079802826,0.020595302398784616,1.0
t1,69,-0.008509206946363413,0.020447207186811468,1.0
t1,107,0.00025725844764957676,0.01836181618449765,1.0
t1,116,-0.0006316821821660986,0.021001847543471723,1.0
t1,122,0.004888718792157883,0.02519917909061445,1.0
t1,126,-0.00648171558151816,0.02021918130167356,1.0
t1,128,0.013191245894677147,0.02745157218195218,1.0
t1,141,-0.003047296332812838,0.018002422772376146,1.0
t1,142,0.005760572942209875,0.018933944495578683,1.0
t1,150,-0.00012176652449639879,0.027366451665924368,1.0
t1,168,0.008146527745216469,0.02130276790734175,1.0
t1,186,-0.0024119425869016413,0.02315903587962801,1.0
t1,208,-0.0037573912029482365,0.023820406619540477,1.0
t1,212,0.0031458165027850793,0.020698964522405394,1.0
t1,213,-0.003730578591889153,0.02069900029986494,1.0
t1,214,-0.0014894511579105639,0.020012953437914944,1.0
t1,218,-0.0016173279035118359,0.02143609952567964,1.0
t1,219,0.00217635471538099,0.0241723508384791,1.0
t1,227,-0.0011608747305201276,0.018701660874011625,1.0
t1,234,-0.004752952906006001,0.025098530008114593,1.0
t1,248,-0.005615554148784706,0.02058882606995219,1.0
t1,259,-0.01151004093123682,0.021308034382273112,1.0
t1,261,0.0005761408980459718,0.018718415051565577,1.0
t1,270,0.006556764012043467,0.019233418754431523,1.0
t1,287,-0.013923979587393838,0.023421424364936324,1.0
t1,295,-0.007903811731039889,0.02160181981624531,1.0
t1,320,-0.001107021856912073,0.02059530204295492,1.0
t1,333,-0.0012986394673468531,0.02085986151153443,1.0
t1,338,-0.0031393189843947167,0.020029140246808866,1.0
t1,345,-0.0027427581595219504,0.01893122615619635,1.0
t1,369,-0.0050974175007571405,0.022511166386070595,1.0
t1,384,-0.008047205046237066,0.02021530267687942,1.0
t1,390,-0.019005182739804685,0.02836828438060957,1.0
t1,392,-0.011158871827673549,0.027586564799724513,1.0
t1,393,0.007142370581269415,0.018619055948779203,1.0
t1,419,-0.004456912879941065,0.018113224539714208,1.0
t1,443,-0.0004150613184410049,0.021411552633777607,1.0
t1,466,0.02177036817709164,0.025116715154600535,1.0
t1,481,-0.001358053092041692,0.02562814038003672,1.0
t1,489,0.0010886951139714807,0.019395841872787964,1.0
t1,509,0.004750798394712564,0.02616694329240694,1.0
t1,513,-0.006245035359759262,0.020768929358910396,1.0
t1,523,0.014595247320161008,0.023216711593533054,1.0
t1,525,-0.0057955454156363405,0.019585151407437724,1.0
t1,529,-0.0028974231026127305,0.02010088609585595,1.0
t1,540,-0.0013451875683731245,0.023625113249157545,1.0
t1,547,-0.003394783711786535,0.017995750346991666,1.0
t1,560,0.010182516005231897,0.026347192049894,1.0
t1,561,0.0038296755870515582,0.020361497431573502,1.0
t1,565,-0.003658528250136795,0.02217512246750605,1.0
t1,589,-0.007993603838283611,0.023030169266848827,1.0
t1,590,0.005054366298608122,0.021702075352226104,1.0
t1,601,0.0021502950509631265,0.024565245082881403,1.0
t1,602,-0.0013481181575474839,0.023713873254068207,1.0
t1,610,0.0003721929054585316,0.024931030854172986,1.0
t1,616,-0.009012173706302546,0.023174397821868215,1.0
t1,621,0.005243564804205643,0.021704593581698226,1.0
t1,630,-0.0015518701952627484,0.02118789565502345,1.0
t1,635,-0.008932927923173913,0.020002225856002687,1.0
t1,652,-0.010863619682450481,0.023699775114295517,1.0
t1,661,-0.003906856814185622,0.021005185634403237,1.0
t1,685,-0.007373858951882309,0.019735673574161425,1.0
t1,688,0.0030613673983044313,0.018836279300588482,1.0
t1,694,-0.0015383289905876035,0.01881874182518728,1.0
t1,698,0.002763064686790812,0.022160125579606664,1.0
t1,702,-0.0012958082004474395,0.023672774086468184,1.0
t1,712,0.002016797761131391,0.02114307734731561,1.0
t1,715,-0.009489749045057169,0.025919412816450948,1.0
t1,748,-0.00220314463534714,0.018034740299558847,1.0
t1,763,0.0048390898768446355,0.02342350636717113,1.0
t1,786,0.0038287138228658385,0.01709644144747199,1.0
t1,793,0.012655412986479472,0.022340472474118078,1.0
t1,828,0.018719858943581785,0.02264269714239528,1.0
t1,830,-0.01065518938621874,0.02098382543073472,1.0
t1,843,-0.008298800122120377,0.025162140924198963,1.0
t1,866,0.013136451183488157,0.019802744714221825,1.0
t1,895,0.0023550535980758846,0.02399555843814293,1.0
t1,906,-0.004845261864060382,0.02362713778307419,1.0
t1,913,-0.00510942753362645,0.017821943457741865,1.0
t1,928,0.0010088276637286182,0.01882404045324458,1.0
t1,949,0.015031353821512784,0.02384483912843293,1.0
t1,957,-0.00604881729245881,0.01916621348770633,1.0
t1,982,0.0005405780439028952,0.02013387157234562,1.0
t1,993,-0.007214276343081606,0.01849819033436983,1.0
t1,995,0.005766356970267008,0.022226888584406527,1.0
t1,1001,0.0011392622068715158,0.024066829411859954,1.0
t1,1008,-0.0005918316533651077,0.019115559976638306,1.0
t1,1022,-0.011581501702006983,0.024347700610046125,1.0
t1,1050,0.001234732517877286,0.022762250236608515,1.0
t1,1054,-0.00474684932664554,0.02213891017411707,1.0
t1,1072,0.004671778662577134,0.01708889778498393,1.0
t1,1085,-0.0012934957204909564,0.020712540407152088,1.0
t1,1093,-0.011035277856009397,0.026147929998836757,1.0
t1,1095,0.005744086207051257,0.01766961463001277,1.0
t1,1100,-0.007188616677789395,0.02343234674406188,1.0
t1,1127,-0.0002987046243992617,0.018961263494591242,1.0
t1,1128,-0.0025078415723874207,0.020260163207044334,1.0
t1,1131,0.0050793477992458844,0.017646457706308887,1.0
t1,1163,0.0007180814865712116,0.01773703090283545,1.0
t1,1167,0.0053957624391357244,0.024286745662102014,1.0
t1,1179,0.0017417125911139018,0.022413855944725385,1.0
t1,1180,0.0016067031907967527,0.01835366264964908,1.0
t1,1181,-0.0023142148360498676,0.01948872480254478,1.0
t1,1182,-0.005976690197524554,0.01945975100366579,1.0
t1,1183,0.0005394310013654581,0.0194388550910413,1.0
t1,1198,-0.007407729840205544,0.022173082905472933,1.0
t1,1199,0.013879539550913377,0.02072639193642464,1.0
t1,1205,-0.022811901980595836,0.028619184779722362,1.0
t1,1223,-0.000545221871204049,0.022149377277343604,1.0
t1,1244,-0.00030119875163462924,0.018885922932872407,1.0
t1,1259,0.005594650556956902,0.01878337790431823,1.0
t1,1278,0.004401183535411886,0.020629040624509952,1.0
t1,1309,0.0017499064443530473,0.019976180801948754,1.0
t1,1325,-0.006708064046764374,0.020485995193290845,1.0
t1,1327,-0.024640193239151748,0.031037989398763684,1.0
t1,1328,0.0011492864666968093,0.020839163642162827,1.0
t1,1334,-0.004725907002774946,0.021652734654068057,1.0
t1,1368,-0.0033250681226223234,0.017906561473124822,1.0
t1,1375,-0.000339114579612355,0.02053350050731223,1.0
t1,1378,0.01485703898580564,0.025768391188985242,1.0
