Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,7,9.29092649177986e-5,0.008849951346230768,0.88
t1,12,-0.0023462482256279126,0.009958890362904987,0.9
t1,19,-0.0027420164077402906,0.008054989551728543,0.7899999999999999
t1,20,0.00046826688685562817,0.009124690014868968,0.8999999999999999
t1,29,-4.0466751061112244e-5,0.009414122551188427,0.8299999999999997
t1,44,0.0007044926157578564,0.007346493856560538,0.7999999999999999
t1,45,-0.0022889274969030413,0.00870227439191346,0.8200000000000001
t1,53,-0.00028961325634233406,0.009453479249470119,0.8399999999999997
t1,69,-0.002508686270457366,0.008518851216787625,0.8899999999999997
t1,107,-0.0006800780118661387,0.01057228397474786,0.8899999999999999
t1,116,0.0005190941737747058,0.008678697669493125,0.8499999999999999
t1,122,-0.00022254933944067853,0.008872962007927176,0.7999999999999998
t1,126,-0.0017630491855727152,0.007949705694956545,0.9000000000000002
t1,128,0.0029616459843285698,0.009852593498800398,0.86
t1,141,-0.0006980131527235271,0.008787915298882855,0.85
t1,142,0.0037337062975421613,0.009214317576614986,0.8599999999999999
t1,150,0.0003217302492737446,0.010266580365114656,0.8299999999999997
t1,168,0.0026539911447222807,0.009604087011813815,0.9000000000000001
t1,186,0.0013423007063913402,0.008147327854501833,0.9
t1,208,-0.0006608915191809425,0.008170198642637733,0.8200000000000002
t1,212,-0.0014427363603738352,0.007725898899673862,0.8400000000000001
t1,213,-0.0019188242439741822,0.007711405663424112,0.8300000000000002
t1,214,1.7150683868036036e-5,0.009238231229927313,0.8799999999999998
t1,218,-0.0011188742788059342,0.00882472311656345,0.7899999999999999
t1,219,-0.0010156316649718102,0.010797474022523276,0.8099999999999998
t1,227,-0.0010701634677413678,0.009311763762342964,0.81
t1,234,0.0010139976881972132,0.010246458715850441,0.8400000000000001
t1,248,0.0010933260436801514,0.009020144124998582,0.8099999999999998
t1,259,-0.0034110068396662695,0.00974104646223419,0.84
t1,261,-0.00048340830648457367,0.00794902711946764,0.8099999999999996
t1,270,0.000578460997206264,0.008260773399036058,0.8099999999999997
t1,287,-0.0037104565921630152,0.007854968543425394,0.8800000000000001
t1,295,-0.0013002152333966082,0.008516875395200912,0.91
t1,320,-0.0015506561599078492,0.007361907933616405,0.8199999999999998
t1,333,0.00013333512326497434,0.009087066087004804,0.8699999999999998
t1,338,-0.0025957486292192337,0.008218853504492512,0.9099999999999999
t1,345,-0.001276046802820532,0.00868244208362064,0.8899999999999997
t1,369,-0.002081481407053243,0.009022912448272963,0.8800000000000001
t1,384,-0.0024951227776384083,0.009574697499429926,0.8999999999999999
t1,390,-0.0043527523865138,0.009381694936938047,0.8499999999999995
t1,392,-0.002467958382849429,0.009329614834832602,0.8700000000000002
t1,393,0.0001139441653293055,0.009179155296682425,0.86
t1,419,-0.002897831251361077,0.00920562740016398,0.87
t1,443,0.0020011802268188796,0.010926951450000971,0.94
