Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,1,-0.00021422773635807038,0.014776046504522222,1.0
t1,2,-0.0005735209651802535,0.013884168053566886,1.0
t1,3,0.00020832962173529301,0.015022390046566867,1.0
t1,4,-0.001987001823035058,0.01529896019988854,1.0
t1,5,-0.001235790330823602,0.015637778068280248,1.0
t1,6,0.0003000272605677356,0.01327752250556251,1.0
t1,7,0.0007768215954725094,0.015526021081475525,1.0
t1,8,-0.0009727040895075559,0.015461408111117021,1.0
t1,9,0.0006148621881086835,0.015390194239394825,1.0
t1,10,-0.0006117416858238998,0.014202045148409606,1.0
t1,11,-0.0004925465300430487,0.015558270863272607,1.0
t1,12,-0.0009496027557808779,0.016244598489255094,1.0
t1,13,0.0018704831753838349,0.01589430729001234,1.0
t1,14,-0.0013989366616992626,0.013443660527321554,1.0
t1,15,-0.0010091590621121068,0.015693780043023138,1.0
t1,16,-0.0017710064174369673,0.01683968951444972,1.0
t1,17,0.0003937193543525539,0.018235950760306537,1.0
t1,18,0.0008735118328232636,0.016710210692361387,1.0
t1,19,0.0002578739338519421,0.016810643045213892,1.0
t1,20,-0.002569242328273308,0.016140980812909114,1.0
t1,21,-1.103417069845244e-5,0.018537668472407186,1.0
t1,22,0.004619959165557924,0.017793350511539116,1.0
t1,23,0.0021224309678819085,0.017999575149945195,1.0
t1,24,-0.0016633598657145232,0.017690465739719993,1.0
t1,25,-0.001602931932477488,0.020027673255598896,1.0
t1,26,-0.0014559286227949254,0.019056558406453414,1.0
t1,27,0.0024482539568857534,0.020048930899952015,1.0
t1,28,-0.0010563929719205906,0.019701083226832266,1.0
t1,29,-0.0012330491731199463,0.01832338822678493,1.0
t1,30,0.0010759753868783597,0.018353424166892215,1.0
t1,31,0.0020644900329014853,0.019214738591369143,1.0
t1,32,0.001149667173207791,0.015643025090702277,1.0
t1,33,-0.003569712727670459,0.018066857193728764,1.0
t1,34,0.0003538625187888606,0.017209202725021463,1.0
t1,35,-0.0008940244926207251,0.01701612158548056,1.0
t1,36,-0.00024535028783300973,0.017039306056806248,1.0
t1,37,-0.0024483293027593687,0.019351498658627616,1.0
