Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,15,-0.00076994626,0.008788937,1.0
t1,26,0.00122645,0.0069981683,1.0
t1,38,-0.0007876341,0.008139892,1.0
t1,95,0.0021531712,0.009630154,1.0
t1,111,-0.0005166538,0.009148568,1.0
t1,112,-0.0011924804,0.006819113,1.0
t1,127,0.0014105394,0.007827951,1.0
t1,128,0.0022698327,0.008378526,1.0
t1,143,0.0008205082,0.008187871,1.0
t1,155,-0.00016114165,0.0070260502,1.0
t1,168,0.0010063961,0.009743332,1.0
t1,184,0.00085436885,0.008595767,1.0
t1,198,0.0018929576,0.008113241,1.0
t1,238,-4.5645455e-5,0.006888676,1.0
t1,251,-0.0023647887,0.007885928,1.0
t1,253,0.0009727607,0.0076618227,1.0
t1,279,0.0009813489,0.0060919696,1.0
t1,284,0.00036654083,0.009223961,1.0
t1,286,0.0014350949,0.005942395,1.0
t1,299,0.0017322344,0.00706059,1.0
t1,302,-0.0013962795,0.007393366,1.0
t1,307,0.0010163167,0.0075098095,1.0
t1,333,0.00084380235,0.0067569334,1.0
t1,335,-0.0018595719,0.007939363,1.0
t1,360,-0.001821466,0.008035727,1.0
t1,366,0.0016468781,0.00939288,1.0
t1,374,-0.0016458005,0.0071618515,1.0
t1,391,1.0951688e-5,0.0075895647,1.0
t1,413,0.0010092381,0.0066316933,1.0
t1,414,-0.0001051331,0.00703992,1.0
t1,444,0.001469143,0.009302543,1.0
t1,451,-0.0007009117,0.008016983,1.0
t1,459,0.00083413656,0.0059251464,1.0
t1,472,-0.00085709116,0.0062543824,1.0
t1,490,-0.00021385816,0.0070099407,1.0
t1,497,-0.0003704807,0.005285177,1.0
t1,507,0.00037071132,0.01050327,1.0
t1,514,-0.00030742568,0.007829459,1.0
t1,523,-0.0013865213,0.0078922985,1.0
t1,543,-0.001286082,0.0064831227,1.0
t1,548,4.2682255e-5,0.006576243,1.0
t1,550,0.0005893002,0.006921227,1.0
t1,557,0.0010241631,0.008481116,1.0
t1,572,-0.0006487276,0.0067530144,1.0
t1,574,-0.0031032192,0.0075662234,1.0
t1,583,0.00035095878,0.006266861,1.0
t1,593,0.0009294024,0.0074030543,1.0
t1,597,0.0009799557,0.00550034,1.0
t1,598,0.0009810067,0.008710103,1.0
t1,622,-0.0004693634,0.0058913073,1.0
t1,629,-0.0019002607,0.007825961,1.0
t1,685,-0.0019699053,0.00831314,1.0
t1,689,-0.002141581,0.0066877105,1.0
t1,695,0.0018224907,0.008419058,1.0
t1,700,-0.0011323928,0.00686995,1.0
t1,702,-0.0013439731,0.00870065,1.0
t1,709,0.00031007422,0.0065203314,1.0
t1,723,-0.0007028772,0.006325905,1.0
t1,730,-0.0005114006,0.006529823,1.0
t1,738,-0.00093943544,0.00831891,1.0
t1,751,0.00084560516,0.0072171297,1.0
t1,759,-0.0022931912,0.008473566,1.0
t1,760,-0.00094832043,0.007512662,1.0
t1,773,-0.0012254777,0.008591174,1.0
t1,778,0.0010394148,0.006644544,1.0
t1,795,-0.0016315979,0.006830047,1.0
t1,805,0.00040287204,0.00727691,1.0
t1,806,-0.00012173781,0.0072604544,1.0
t1,813,-0.00010878544,0.013564917,1.0
t1,819,-0.0007833418,0.007881049,1.0
t1,829,-0.001918287,0.0090441005,1.0
t1,836,-0.0019657856,0.008790285,1.0
t1,837,0.0004989807,0.007901256,1.0
t1,843,-0.00037576197,0.006921485,1.0
t1,846,-0.0015485394,0.008281634,1.0
t1,852,7.399554e-5,0.00788859,1.0
t1,856,0.00030361928,0.0076784613,1.0
t1,867,-0.00010517177,0.0074346205,1.0
t1,879,0.0013771239,0.010584137,1.0
t1,881,-0.00024902998,0.007661978,1.0
t1,889,0.0007299065,0.0077809994,1.0
t1,898,-0.0012065358,0.008352662,1.0
t1,914,0.00097279955,0.007400277,1.0
t1,927,-0.0015988684,0.0065146117,1.0
t1,939,-0.00030229145,0.007539196,1.0
t1,957,0.00031373586,0.0078122355,1.0
t1,977,0.0012470791,0.007933194,1.0
t1,992,-0.0003183624,0.0066463244,1.0
t1,1016,-0.0019298543,0.008119142,1.0
t1,1020,-0.00082925893,0.008073215,1.0
t1,1023,-0.0015718875,0.009221256,1.0
t1,1054,-0.00085675856,0.0063508796,1.0
t1,1062,0.00028456113,0.00711821,1.0
t1,1069,0.0001864526,0.0063667684,1.0
t1,1091,0.0022062159,0.008111063,1.0
t1,1094,0.0005016151,0.008029146,1.0
t1,1096,-0.0011467787,0.009292067,1.0
t1,1097,-0.002123018,0.009181989,1.0
t1,1099,0.0002175409,0.006260609,1.0
t1,1104,-6.110834e-5,0.007414505,1.0
t1,1112,0.00014659044,0.008415753,1.0
t1,1114,-0.0009946546,0.008089736,1.0
t1,1157,-0.0017261213,0.008270264,1.0
t1,1164,-0.00018136362,0.008560237,1.0
