Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,15,-0.005792740213767226,0.01657758099197173,0.3899999999999998
t1,26,-0.0010630066940240134,0.008496006481228098,0.31999999999999995
t1,38,-0.002166454456017606,0.01337032128471268,0.35999999999999976
t1,95,0.003371934220998597,0.014946128046085765,0.38999999999999996
t1,111,-0.002799225286146755,0.01326074211602204,0.36
t1,112,-0.0017934365410883378,0.011282427308006748,0.3400000000000001
t1,127,-0.0004602244122391774,0.012876901420714206,0.3799999999999999
t1,128,0.003181779977482551,0.011322100659625698,0.34999999999999987
t1,143,0.0015569855270190427,0.009238354988165803,0.35000000000000014
t1,155,-0.003664451995449449,0.013352096966413103,0.3000000000000001
t1,168,0.0030146157384864885,0.013523078629702055,0.34999999999999987
t1,184,0.00595099253734649,0.019318861751051488,0.41000000000000003
t1,198,0.0027420876636172356,0.013580586910541021,0.2999999999999999
t1,238,0.0005864974458148249,0.012729449074587137,0.33999999999999997
t1,251,-0.00662216918511935,0.023618361398992493,0.35
t1,253,-0.0002875646624045912,0.012209653062893776,0.4200000000000003
t1,279,0.0011617528706948876,0.014594509677762013,0.38999999999999996
t1,284,0.0019334577048552943,0.01609017451177387,0.40999999999999986
t1,286,0.008489142478484446,0.017535132302672053,0.4600000000000002
t1,299,0.00230500131598767,0.013570749732982746,0.31
t1,302,-0.0023190223584204795,0.011158455001114762,0.35999999999999993
t1,307,-0.00089213551691516,0.012812568364999288,0.27999999999999986
t1,333,-0.00010078906794058804,0.01358222838312,0.3100000000000001
t1,335,-0.0019048208537741419,0.016513588083517605,0.32
t1,360,-0.004766108974921021,0.013930335378550728,0.3999999999999998
t1,366,0.0023173250264845405,0.010545992632620354,0.34999999999999987
t1,374,-0.003245569201051165,0.014862684051909446,0.3699999999999999
t1,391,0.0011586859868269862,0.01198577525755702,0.27999999999999997
t1,413,0.007054697963288879,0.018697469289157553,0.3999999999999999
t1,414,-0.0005461413151917705,0.013101517121234727,0.30999999999999994
t1,444,-0.0005509012718451028,0.011596105050868026,0.35
t1,451,-0.0010362408900743507,0.015141034219747168,0.37000000000000005
t1,459,0.00490649449162957,0.014304131129926985,0.35
t1,472,-0.004139548479498346,0.012996126166323538,0.41
t1,490,-0.002163916947688994,0.012597835579611128,0.37
t1,497,0.004022181506729899,0.01564010363855932,0.4
t1,507,-0.002340619848159304,0.011197090236197764,0.3599999999999998
t1,514,-0.00024042212334264096,0.009731222188632621,0.35000000000000003
t1,523,-0.0013513971559433735,0.011521255910514477,0.3000000000000002
t1,543,0.000606925013212847,0.01201722865489061,0.3599999999999999
t1,548,-0.0009042390996490829,0.011373818302264544,0.35000000000000003
t1,550,0.003232616843744329,0.015662275823217546,0.37999999999999967
t1,557,0.0009506152273300226,0.015237474758062981,0.28999999999999987
t1,572,-0.0043736479306712645,0.015020593980846606,0.3800000000000002
t1,574,-0.011524611494436687,0.02573775682877365,0.42000000000000004
t1,583,-0.0001485186727583609,0.014561230290762128,0.3999999999999999
t1,593,0.0003591220060489533,0.010141855781660663,0.3300000000000001
t1,597,0.0010203673276699152,0.012657732154760792,0.3499999999999999
t1,598,0.0036478208120052018,0.012992559598506542,0.36000000000000004
t1,622,-0.0014311583968840173,0.012349566757984227,0.37999999999999995
t1,629,-0.005819079065469268,0.018149245848665285,0.37000000000000005
t1,685,-0.0018965643446845855,0.013228418478215345,0.40000000000000013
t1,689,-0.003027494720429752,0.014997612438568394,0.35
t1,695,0.0038633274187091344,0.01905495901755404,0.40000000000000013
t1,700,-0.0007415037978396132,0.012321064014014782,0.3500000000000001
t1,702,0.0001617122291321827,0.012053569192351187,0.3399999999999999
t1,709,-0.0016359495948853858,0.014040761842114193,0.34000000000000036
t1,723,-0.0037889518989716545,0.015328578095026437,0.41
t1,730,0.0005325294583426964,0.01564670124908472,0.3299999999999999
t1,738,-0.002271941395445438,0.01395875068614868,0.35000000000000003
t1,751,0.0014285384076896288,0.013608377311708383,0.3599999999999998
t1,759,-0.0025443361802575766,0.014281954461946075,0.3999999999999999
t1,760,-0.003296068788952613,0.012194015402908974,0.36999999999999983
t1,773,0.0015491820347843614,0.018995168143473816,0.36999999999999994
t1,778,0.0023826521086972403,0.009731760640806603,0.2799999999999998
t1,795,-0.0013386877125482536,0.016698008729374395,0.36
t1,805,-0.0005378128251175398,0.012925348370733166,0.31999999999999995
t1,806,0.0007735324357175516,0.01022847267433893,0.35000000000000003
t1,813,0.0008090245506329196,0.01474939096366608,0.35000000000000003
t1,819,-0.0011634126276885304,0.017560783053764094,0.36000000000000004
t1,829,-0.001898666158094172,0.013607474647701819,0.38
t1,836,-0.0017704773824215746,0.011869323730713194,0.3699999999999997
t1,837,0.001495976229660028,0.012851725407950048,0.3899999999999998
t1,843,-0.005024912882961285,0.01736426781455369,0.3899999999999999
t1,846,0.0011345514381444145,0.013624134171761167,0.32
t1,852,0.0007108534845812653,0.015148701031721298,0.36999999999999994
t1,856,0.002026455358446174,0.013157514013601287,0.37999999999999995
t1,867,0.0019359445302104842,0.014398375408598294,0.42000000000000004
t1,879,-0.0006455860618853035,0.012136307934016821,0.3199999999999999
t1,881,7.205369193454846e-5,0.01079331081534543,0.37
t1,889,0.0019084822239434907,0.015934059454565344,0.3199999999999998
t1,898,0.0013495440700504908,0.013057007689375363,0.25999999999999995
t1,914,-0.0009685972227081696,0.010742956430205163,0.3099999999999999
t1,927,0.0001726712567010306,0.01623180422156618,0.3999999999999999
t1,939,0.0011671198390101984,0.012062955097568388,0.3599999999999998
t1,957,-3.297241414113374e-5,0.013979991316128636,0.3099999999999999
t1,977,0.0076176272212238804,0.01806369424866268,0.38999999999999985
t1,992,-0.0010829311815895323,0.015111677589978183,0.35999999999999976
t1,1016,-0.00193591941977796,0.01574948407953607,0.43000000000000005
t1,1020,-0.0005562868521159994,0.011382541880778502,0.36
t1,1023,0.0004196114811719988,0.010410749084541508,0.35000000000000003
t1,1054,-0.001390829144707173,0.010556521163963472,0.32
t1,1062,-0.0018839483760634533,0.011590433461851448,0.33999999999999986
t1,1069,-0.0007870292740936518,0.00796831713396068,0.3699999999999999
t1,1091,0.0028232501793577823,0.012682036857577676,0.3499999999999998
t1,1094,-0.00301545944590119,0.014309413914458231,0.34999999999999987
t1,1096,-0.0009912981292286211,0.010959228838302484,0.2899999999999996
t1,1097,-0.0029498997449768946,0.01097239953825422,0.39
t1,1099,-0.00011111642442791401,0.013395602692449979,0.4099999999999999
t1,1104,-0.0023765007663730077,0.011814682034424918,0.3799999999999998
t1,1112,0.002998065287618266,0.011939376891988129,0.39
t1,1114,0.001209887771932221,0.010007495783863877,0.30999999999999994
t1,1157,-0.0030795343052308164,0.010389414738958352,0.33
t1,1164,-0.003976521643349971,0.01380763266500058,0.4
t1,1180,-0.0007279843985577135,0.00941233325168334,0.3599999999999998
t1,1193,0.0014879426211529458,0.017869761511691902,0.35999999999999993
t1,1216,-0.0020536131764954226,0.01287789824449766,0.3299999999999998
t1,1224,-0.0007871216678536206,0.013104787846838477,0.30999999999999994
t1,1233,-0.0031161010520920217,0.017253563595122305,0.35999999999999993
t1,1240,-0.0010875479294649903,0.01045183682283222,0.29999999999999993
t1,1241,0.0002581110488884779,0.01375914599197059,0.3700000000000001
t1,1269,0.009840775705755502,0.0227106545939275,0.44000000000000006
