Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,7,-0.0016699136071034039,0.006749171540032545,0.6799999999999998
t1,12,-0.0015951633266739114,0.008257978016136798,0.75
t1,19,-0.002380202972867739,0.00854636030323244,0.7700000000000001
t1,20,-0.0015474311808163035,0.00718798018032186,0.72
t1,29,0.0007933382948393558,0.007447465252364094,0.6700000000000002
t1,44,9.784122273026587e-5,0.007707093892172549,0.7599999999999999
t1,45,-0.000883203392861039,0.0075258120866186365,0.6199999999999999
t1,53,-0.0001182338388440651,0.009156110918546583,0.7400000000000004
t1,69,-0.0028772702723981604,0.0074431121879401105,0.77
t1,107,4.168569447229215e-5,0.006738137062104211,0.6799999999999999
t1,116,0.0002085131844724809,0.007357146871828738,0.6999999999999998
t1,122,0.000604121711116845,0.007651987783940543,0.7200000000000002
t1,126,0.00018481647349420728,0.007028357423222694,0.7899999999999997
t1,128,0.0030308530627513497,0.007236778638482343,0.7500000000000001
t1,141,-0.000731919048330293,0.006411625152845314,0.6900000000000001
t1,142,0.0012538834933487942,0.006440795149268269,0.77
t1,150,-0.0012295810547571652,0.006390375613458903,0.6500000000000001
t1,168,0.002145891318419815,0.007158595747780838,0.7599999999999999
t1,186,-0.0007386200056252534,0.006421159113539201,0.7599999999999997
t1,208,-0.0009660889639508634,0.006072046626894903,0.6699999999999998
t1,212,0.001595438422403052,0.006869664076400102,0.7000000000000003
t1,213,-0.001247053662630628,0.0077525532339091765,0.7099999999999997
t1,214,-0.00021755963687146746,0.006618050273242115,0.74
t1,218,4.542342380855534e-6,0.008451491790800725,0.7200000000000001
t1,219,-0.0008510524828190256,0.00699813175226882,0.7099999999999997
t1,227,0.001896412858477751,0.008906157662033364,0.6499999999999998
t1,234,5.139005306827392e-5,0.00600095244593231,0.64
t1,248,-0.0003525420762543349,0.006827106450773033,0.7199999999999996
t1,259,-0.0014033481652506463,0.00736876712124439,0.7699999999999999
t1,261,-0.0005543712003709353,0.007785511710788489,0.6899999999999998
t1,270,0.001178192759622502,0.008680962261921896,0.7
t1,287,-0.0032979439428567465,0.008107953711504632,0.7699999999999999
t1,295,-0.0006721910802701177,0.006953282761232756,0.7900000000000001
t1,320,5.510296463539792e-5,0.007644179579223602,0.7899999999999999
t1,333,0.0012642406289169285,0.006828140973182878,0.7699999999999999
t1,338,-0.0012425357865650391,0.007528903985474303,0.6599999999999999
t1,345,-0.0011502138063109188,0.006571443020151241,0.6400000000000002
t1,369,-0.0011809116609962631,0.0062788240719216055,0.7100000000000002
t1,384,-0.0007055556650011393,0.006033901430773492,0.6299999999999998
t1,390,-0.0027995480785180395,0.007194062818660356,0.71
t1,392,-0.0016117628152752894,0.006051282106905925,0.7200000000000002
t1,393,0.0006438886384245213,0.008037734658907203,0.7600000000000002
t1,419,-0.0011655289639222158,0.007413012249833426,0.7099999999999999
t1,443,0.00034177959040530186,0.006798841699890644,0.69
t1,466,0.0038013821019255135,0.008307859350069228,0.7199999999999999
t1,481,0.0013541370031156827,0.007383458271135681,0.7000000000000001
t1,489,0.0005881590029869914,0.008699885262519205,0.7199999999999999
t1,509,0.00038661036808582523,0.007939859191904252,0.7699999999999996
t1,513,-0.0012001773988334994,0.00603091370465103,0.7299999999999998
t1,523,0.0001805142452006562,0.006540545292144209,0.6499999999999996
t1,525,-0.0009470954163553539,0.006145589837683359,0.6
t1,529,-0.0010427473385828526,0.0076272382808297125,0.6399999999999999
t1,540,7.314013364177905e-5,0.008192045526671176,0.7300000000000002
t1,547,-0.00030661654941251836,0.007388440549636505,0.7400000000000002
t1,560,0.0025996179956388173,0.007138848747500018,0.6999999999999998
t1,561,-0.000489232494274729,0.006951922900833295,0.7600000000000003
t1,565,-0.001351042398682065,0.007181739025909957,0.7099999999999999
t1,589,-0.00010093829793679726,0.00895102238099307,0.6900000000000002
t1,590,0.0005191507471836286,0.007159383750412749,0.7
t1,601,0.0015115436518123668,0.006855678381560197,0.7300000000000001
t1,602,-0.0014116521923674386,0.007021490315330343,0.6500000000000001
t1,610,0.0009785215048743942,0.007191503282745324,0.7500000000000001
t1,616,-0.0017223523676851815,0.006431082993284479,0.6999999999999998
t1,621,0.0027573893007913253,0.00913113044299992,0.6200000000000003
t1,630,0.0007016803609448387,0.007210878693066686,0.67
t1,635,-0.0008629268457195763,0.008473971649966385,0.6199999999999999
t1,652,-0.0007938686241503286,0.008071000215379693,0.6699999999999999
t1,661,-0.0015519953982796617,0.007481450390807892,0.7299999999999999
t1,685,0.0004475510041231185,0.007788951959935794,0.7299999999999999
t1,688,-0.0006263757550034239,0.007469250875995218,0.6900000000000002
t1,694,-0.0006351289723074837,0.006747674851729848,0.6699999999999997
t1,698,0.0013368055350777917,0.008494590223656963,0.78
t1,702,0.0009047537505617099,0.006537585486524694,0.6500000000000001
t1,712,0.0005343938228448027,0.006425551401368819,0.6699999999999998
t1,715,-0.0006170646050484554,0.006794466102187217,0.7500000000000001
t1,748,-6.81657251835773e-5,0.00804972091494556,0.7200000000000001
t1,763,0.0009695564968937761,0.005678027083848196,0.6199999999999997
t1,786,0.0011162144417450452,0.008137880273687054,0.71
t1,793,0.0004616755053990423,0.007274004199238389,0.64
t1,828,0.0011384159427082804,0.006779870727941802,0.6500000000000001
t1,830,-0.0016067500974013592,0.007332809813776763,0.7500000000000003
t1,843,-0.0014878170591872595,0.006993838349668001,0.7199999999999999
t1,866,0.0024652693301616263,0.008250448276211006,0.6799999999999998
t1,895,0.00017484626234742128,0.007439192771278921,0.6799999999999998
t1,906,-0.0020358871338478856,0.008535149379979304,0.6400000000000001
t1,913,0.00012241673361433863,0.008230657938119291,0.7400000000000001
t1,928,0.0016905580915934156,0.007185010844341103,0.71
t1,949,0.0021283260164779126,0.0068110650981095455,0.7099999999999997
t1,957,0.000535210289104685,0.009132158129773835,0.7100000000000001
t1,982,0.0006139105694849235,0.0065161959064742574,0.7299999999999999
t1,993,-0.00021328133251050492,0.008573117408069549,0.7000000000000002
t1,995,-0.0003425354822985692,0.00683076942092676,0.7099999999999996
t1,1001,0.0012551762298038023,0.006924177533962562,0.7000000000000002
t1,1008,0.0004786531138258336,0.007194262344223722,0.7300000000000001
t1,1022,-0.0026112078515505522,0.007610011943800814,0.6899999999999997
t1,1050,-0.0009405914008645279,0.008095987358623172,0.6699999999999998
t1,1054,-0.0017160153752032977,0.0075414833058302525,0.73
t1,1072,0.0002240323504696596,0.008160088160457758,0.7299999999999998
t1,1085,0.0006532953297685852,0.006661757272492488,0.7
t1,1093,-0.001694315370468108,0.008362130874605155,0.7000000000000002
t1,1095,0.000854193969007603,0.00789788694813082,0.78
t1,1100,-0.0013084371173809558,0.006964305098302821,0.7300000000000001
t1,1127,-0.0022201317185801574,0.007289519188272752,0.66
t1,1128,0.00017295217954409775,0.006515964249103102,0.6599999999999999
t1,1131,0.0004586769168188864,0.007161346317056179,0.7400000000000001
t1,1163,-0.00041451136964727465,0.007932210386230485,0.6399999999999998
t1,1167,0.00011119282631003101,0.0076904051753596755,0.6999999999999997
t1,1179,0.0015235700591444596,0.008386408238330442,0.6800000000000003
t1,1180,-0.0006086516837624902,0.007293820255670755,0.73
t1,1181,0.0002250702882101478,0.006886368642124632,0.74
t1,1182,-0.0010527429745519528,0.006612089750252489,0.7599999999999999
t1,1183,-0.0007916453610671172,0.007272466234749699,0.8000000000000002
t1,1198,0.0018918886568900699,0.006917202795247501,0.7299999999999995
t1,1199,0.0015336994294267957,0.006909080655713998,0.7400000000000004
t1,1205,-0.003463607610329007,0.008136449212468115,0.7200000000000002
t1,1223,0.00037510331490727105,0.00681024417261982,0.6299999999999999
t1,1244,-0.0005240293334928385,0.007764468044448314,0.6799999999999998
t1,1259,0.0015975051400292908,0.006001446648452032,0.75
t1,1278,0.00054295184349487,0.005961157172805163,0.7300000000000002
t1,1309,0.0008133840733617984,0.0055702702760033074,0.6200000000000001
t1,1325,0.00012868516940400872,0.007499700908830022,0.7199999999999999
t1,1327,-0.0029953395861107464,0.008450216940673258,0.7900000000000003
t1,1328,-0.0002177594896945329,0.00604762178248048,0.7199999999999999
t1,1334,-0.0016093299202122663,0.008147519161700305,0.6900000000000001
t1,1368,-0.0006008367240131021,0.008278182339581637,0.6799999999999998
t1,1375,-0.00013129187433789154,0.006898782807105425,0.7300000000000003
t1,1378,0.0010894378788386286,0.0074963393362675575,0.6599999999999999
t1,1387,0.0024204466200953892,0.00581677325186765,0.71
t1,1408,-0.0016602682783821887,0.007627321995328195,0.6900000000000002
t1,1425,0.0015069438384647013,0.007571219781958564,0.7700000000000001
t1,1437,-0.0008864145881499355,0.007311014761921065,0.67
t1,1454,0.0004321518190386884,0.0069886675640931225,0.5999999999999998
t1,1457,-0.0016038210556332505,0.008216489046714584,0.6899999999999998
t1,1459,2.6264662696968744e-5,0.00779414427725188,0.71
t1,1479,-0.00196862677774222,0.007915546026442339,0.6799999999999996
t1,1487,-0.0005050174968659435,0.007629749833239273,0.72
t1,1495,-0.0012996344630061517,0.006885677873927065,0.7199999999999999
t1,1501,-0.0015573143744749302,0.006740545219340676,0.7999999999999999
t1,1503,0.0004479030782149301,0.006809617212152297,0.7200000000000001
t1,1507,-0.0007223760297849087,0.007047490400123266,0.6700000000000003
t1,1515,-0.000238218815048383,0.008446021806319726,0.7999999999999997
t1,1584,-0.0007236298511017131,0.006974492654886762,0.71
t1,1593,-0.003244905672752075,0.00685445652324799,0.74
t1,1595,-0.0003899579314775834,0.0066557768984363596,0.7100000000000002
t1,1612,0.0013494074002609845,0.00685036789858108,0.7700000000000001
t1,1617,0.0004137770329276107,0.006533257444301206,0.6900000000000002
t1,1619,0.0007301967976072118,0.00663943350633158,0.6999999999999997
t1,1623,-0.000680206125191561,0.007956415462958237,0.7299999999999999
t1,1624,0.0019896224097478293,0.007523406566730181,0.7499999999999999
t1,1632,0.0008718373862397932,0.008093440073871161,0.7299999999999999
t1,1677,0.0010282669331807262,0.00650099192687788,0.6499999999999999
t1,1687,0.0009165952319627104,0.006175702738617406,0.6900000000000002
t1,1697,-0.0002666987050395194,0.007945823731128851,0.6900000000000001
t1,1716,-0.0015910339245049604,0.00787922004564268,0.7700000000000001
t1,1731,-0.0003430895212612279,0.007733998819594492,0.6800000000000002
t1,1750,0.000491933145870332,0.008226164358109704,0.7700000000000001
t1,1790,-0.0006008320223707962,0.008581340301705107,0.7400000000000001
t1,1794,0.00042219024067255087,0.007131939326537737,0.6599999999999999
t1,1804,0.001979871613054347,0.007370703044639916,0.6599999999999997
t1,1807,0.0009991886622386999,0.006670496292251912,0.7200000000000004
t1,1812,-0.001105604421004868,0.006277357471910277,0.6400000000000001
t1,1822,-0.0009974926885507416,0.007557868399846906,0.6699999999999999
t1,1828,-0.0006956972114319009,0.0059037371310155734,0.7300000000000002
t1,1841,0.000704656557165705,0.006491061844603472,0.63
t1,1844,0.001056201844092736,0.008075434660478213,0.7400000000000001
t1,1903,0.000330636996342672,0.00722431789886378,0.6300000000000002
t1,1905,0.0012233175385143833,0.008444062668767363,0.7500000000000001
t1,1917,-0.0006626623806167973,0.007556437855271763,0.6899999999999998
t1,1925,-0.0005707692774939528,0.006312734053629014,0.6700000000000002
t1,1953,-0.0014863492157233507,0.008296762248577099,0.77
t1,1956,-0.0005610417228682769,0.006681622088371638,0.66
t1,1967,-0.0013119414443055076,0.006157388918022428,0.6899999999999997
t1,1974,-0.0003926800823128116,0.00648182572170177,0.6300000000000001
t1,1978,0.000764423989984646,0.006979143151590196,0.6799999999999999
t1,1979,0.0008386557500019756,0.006497919229090846,0.6700000000000004
t1,1980,0.0009023769920440057,0.007871398166740248,0.7799999999999999
t1,1982,-0.0006996156207857895,0.007581449196875181,0.7399999999999999
t1,2014,-0.0013054391710514666,0.007126707829320586,0.6900000000000001
t1,2015,-0.0003275485872396812,0.007334429144330047,0.6499999999999999
t1,2027,0.002086564199970975,0.008451720669803365,0.72
t1,2030,-0.000301833833487841,0.007532217707586941,0.6399999999999999
t1,2039,0.00035301525302875385,0.006358805616498461,0.6299999999999998
t1,2052,-0.0007946032378590733,0.005443916949508475,0.63
t1,2059,0.000308279351617672,0.007744724447908816,0.7600000000000001
t1,2077,0.0008727010292319384,0.008411787605835245,0.7999999999999996
t1,2084,0.0021550358233190293,0.007412887103510762,0.78
t1,2097,-0.000708468647747046,0.007546414822341821,0.6900000000000003
t1,2099,-0.0011284162915703247,0.007416037264983754,0.8000000000000003
t1,2108,0.0014900011831815159,0.007449894294262777,0.6599999999999998
t1,2113,0.0006065617238698428,0.006716326590716639,0.6900000000000001
t1,2117,-0.0014752504825408456,0.008093027403653062,0.7000000000000001
t1,2123,0.0008528763987523296,0.00804602813167489,0.7499999999999999
t1,2143,0.000423531744032426,0.007564562593189219,0.74
t1,2156,0.00017607513898080398,0.006361111819917615,0.6499999999999997
t1,2157,0.00048008066816982104,0.006562911480443895,0.7099999999999997
t1,2164,-0.0006746000746419344,0.006869592584108058,0.6599999999999998
t1,2172,0.002590275656949055,0.007073590493774732,0.6599999999999998
t1,2213,0.000569123827187407,0.006646283101039432,0.6899999999999998
t1,2240,-0.00032935774059257485,0.007979314213680092,0.6799999999999999
t1,2243,-0.0015080463805712987,0.007610018926361375,0.7400000000000003
t1,2247,0.0005785534303512386,0.0076412813803031394,0.7000000000000001
t1,2257,-0.0005240517481431923,0.006388104108225995,0.68
t1,2267,-0.0010713263411788459,0.008600871489846826,0.7799999999999998
t1,2269,0.0023442799404179283,0.006752356741291379,0.6799999999999998
t1,2285,0.0010466402236721875,0.006445276128536857,0.6899999999999995
t1,2287,0.00016977863192613093,0.007575285285679835,0.7100000000000004
t1,2295,-0.002193772030314281,0.009452423455218247,0.7099999999999999
t1,2301,-0.0028102528497816756,0.007565666841585823,0.7500000000000001
t1,2325,-0.0005841880579291422,0.006338339334512244,0.7599999999999998
t1,2330,-0.001933422770043864,0.007961447118948724,0.6899999999999997
t1,2348,-0.0009498712531517089,0.007496784014919292,0.6900000000000002
t1,2361,-0.00021689303488118207,0.006969104076414743,0.6899999999999998
t1,2370,-0.0017847563504496521,0.008069792092192241,0.7200000000000001
t1,2371,-0.0005176816455078488,0.007829789022104688,0.7399999999999998
t1,2388,0.0007982204306546624,0.008000088794728452,0.69
t1,2391,0.0003316033572635586,0.0074876156255100695,0.7700000000000004
t1,2421,3.0036479583817956e-5,0.007901533966654866,0.7100000000000001
t1,2424,-0.002443680484252485,0.008498215680132043,0.7100000000000001
t1,2425,-3.5987401979614186e-5,0.008465621482042213,0.7100000000000001
t1,2437,-0.0008357688000770818,0.006256985775370696,0.6499999999999997
t1,2455,0.003074755399559832,0.0068946062109318295,0.6800000000000002
t1,2460,-0.0004042688711077563,0.007550843669538933,0.76
t1,2461,-0.0016923958717793483,0.009003154356155849,0.7999999999999999
t1,2465,0.0011725014701505821,0.006645164712103155,0.65
t1,2481,0.0012398071565250378,0.007012916640275066,0.7500000000000001
t1,2484,0.0002805043730325988,0.008104018929841049,0.6799999999999999
t1,2485,-0.0006320500937147869,0.007285840546623041,0.7199999999999998
t1,2489,0.0018498120926509903,0.00794744391797964,0.6599999999999999
t1,2495,-0.0008892407346387712,0.007841560445318413,0.6599999999999999
t1,2502,0.0018709673303757143,0.007906604102977603,0.7299999999999999
t1,2504,-0.00046609962401660633,0.0066797909917625745,0.6699999999999998
t1,2506,0.0010658523157067502,0.0069532536497258525,0.66
t1,2526,0.0009256266427489948,0.006300754495648315,0.6499999999999996
t1,2540,0.00044447265322694254,0.0068662453972893256,0.7400000000000001
t1,2543,0.0007161277052411984,0.007791957778309886,0.7599999999999998
t1,2568,-0.0006288150543972893,0.00668117264299516,0.75
t1,2579,0.00014338886205435953,0.006821473623839187,0.6999999999999998
t1,2580,-0.0013477600025429714,0.00760584691776742,0.6699999999999998
t1,2587,-0.0015597081560627462,0.008407975846116715,0.7199999999999998
t1,2593,0.00044879636965092294,0.0067595956806302355,0.6999999999999997
t1,2601,-0.0007951978166290089,0.008726984373309758,0.6900000000000001
t1,2611,0.003022715946187259,0.007699179082218426,0.7100000000000001
t1,2619,0.0013061585013045259,0.007470563588225895,0.6399999999999998
t1,2620,-0.0006635418737023839,0.00689744348555978,0.78
t1,2627,0.0018204988544934342,0.007478745756961457,0.7100000000000002
t1,2630,-0.001705261773789596,0.006873953042118969,0.7500000000000002
t1,2631,-0.0006379503181754413,0.00783675961534629,0.7000000000000002
t1,2633,0.0009519854362753551,0.006973352450952769,0.73
t1,2635,0.0025201721936399264,0.006733158213993835,0.7
t1,2650,-0.0005189130684159992,0.006848942661858495,0.7700000000000001
t1,2651,-0.0015033247111077052,0.008392926522154563,0.7599999999999997
t1,2659,-0.0009210532683401841,0.006402412759203409,0.6799999999999999
t1,2673,0.00011120556829102381,0.00841796169316486,0.68
t1,2689,-0.0011964614695244723,0.00859075111078722,0.6500000000000001
t1,2709,0.000820960024572284,0.008015314492859959,0.72
t1,2711,0.0008879258321408749,0.006908212933424711,0.6599999999999998
t1,2722,-0.0010063747148174808,0.007693564452231833,0.62
t1,2732,-0.0010569705538419616,0.007898160377426041,0.8
t1,2758,0.0010182071946167129,0.008017716159133976,0.7700000000000001
t1,2760,-0.001624179733246393,0.006660891858060315,0.7100000000000001
t1,2789,0.0002640065480911333,0.006694189902290114,0.6799999999999998
t1,2792,0.0014159660643209117,0.007952298680346174,0.7600000000000002
t1,2799,-8.337336668135401e-5,0.008799036676932657,0.6500000000000002
t1,2807,-0.0007365385395130024,0.007410141048575041,0.7099999999999996
t1,2812,-0.000619655240135212,0.007191001313399628,0.75
t1,2818,0.0003445009590580532,0.005916938914679332,0.7100000000000003
t1,2822,0.0007084958715833666,0.007159268560772502,0.67
t1,2823,-0.0022627926565428726,0.006698595022653681,0.6700000000000002
t1,2833,0.00011214365078356874,0.007886325764077542,0.7200000000000001
t1,2836,0.0005702740377781255,0.006716539973582729,0.6799999999999998
t1,2850,-0.0021019108857645787,0.00708049405518022,0.72
t1,2851,0.0004893871124261279,0.00861599574703549,0.6899999999999997
t1,2860,0.0006568782728923224,0.007384232701999746,0.71
t1,2868,0.0012465474805067732,0.006766780877447313,0.6599999999999997
t1,2914,-0.0019934732763744736,0.007063437768170515,0.66
t1,2935,0.0027538666140591323,0.006798002434304247,0.7400000000000001
t1,2939,-0.0029230645238758433,0.007522633925073919,0.7700000000000001
t1,2956,-3.4345460638973374e-5,0.007764869729174887,0.68
t1,2975,-0.0007492448665463383,0.007928056347045182,0.7199999999999996
t1,2977,0.0032136609081808293,0.007279723495123581,0.7300000000000002
t1,2978,-6.784924563633389e-5,0.007095269252555271,0.7100000000000001
t1,2988,-0.000245362959736856,0.008272995205704181,0.7699999999999999
t1,2993,-0.0005014784313226414,0.008147894940709648,0.7299999999999998
t1,2994,-0.0004028320912402446,0.006886885995364218,0.6500000000000001
t1,3021,0.0008837105560410696,0.006673909033336977,0.7000000000000001
t1,3036,0.002525501665707006,0.00837286562100527,0.7100000000000002
t1,3049,0.001717289379570109,0.006870118132920027,0.5999999999999999
t1,3052,0.0023277778741252557,0.007420913162097465,0.6099999999999999
t1,3071,0.0011201584416790842,0.008039343137276372,0.69
t1,3076,-0.002524490636021683,0.007308674545212109,0.6699999999999999
t1,3077,0.00027166404510446337,0.008687957251693182,0.7300000000000001
t1,3102,0.0008379236735098976,0.006524707073758469,0.6900000000000002
